DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke,POP,City,LAT,LONG
7.9,35,4.3,30.8,24.8,15.1,5,8.5,4.1,"3,672",CA,37.4585705,-121.906949
10.8,27.4,4.9,38.8,21.4,14.4,9,9.8,3.9,"4,150",CA,33.94936083,-117.252599
8.3,19.4,3.6,34.1,24.8,9.5,9,9.6,2.6,"5,775",CA,33.61681221,-117.9386378
8,29,6.7,32.4,31.2,6.7,5.3,6.7,4.1,"4,248",CA,38.33188307,-122.3009773
10.4,24.7,4.9,30.9,30.1,20,6.7,9.4,3.1,"3,262",CA,33.95392708,-117.2395682
11.7,28.2,4.5,33.7,26.3,14,4.9,8,1.6,"3,771",CA,33.54621096,-117.1978867
8.9,24.4,5.5,29.4,20.5,15.1,3.4,8.5,2.9,"4,321",CA,37.68291366,-120.9665448
11.1,19.1,7,29.3,32.7,18.3,5.7,10.3,2,"6,055",CA,37.28576367,-120.4462352
14.2,24.5,3.9,35.3,27.4,25.3,2.6,8.7,3.1,"6,727",CA,33.94707035,-117.2790431
9.9,24.3,6.8,31,30.5,10.1,5.5,7.3,3.8,"6,042",CA,37.65910906,-120.965699
10.81,18.3,6.1,31.67,26.4,19.2,6.5,9.74,2.9,"5,214",CA,37.69435741,-120.9850631
10,26.5,2.6,34.3,25.5,14.2,6,9.4,2.8,"2,625",CA,37.39081764,-122.0804482
7.6,33.6,4.7,29.3,32.9,16.2,6.7,9.1,4.3,"2,495",CA,37.29156408,-120.5134535
16.4,28.6,5.2,29.6,29.3,16.8,6.3,9.8,3.6,610,CA,33.63788759,-117.1521305
11.5,18,5.6,25,31.4,13.1,5.2,8.3,4.2,"1,970",CA,38.30673808,-122.3456558
8.9,29.8,6.8,24.3,29.3,13.7,6,6.9,3.1,"6,845",CA,33.93384736,-118.2061463
9.4,34,4.8,31,22.9,15.2,4,9.7,3.3,"6,958",CA,33.63324404,117.8679794
8.6,18.3,2.3,29.2,23.3,9.3,6.5,10.1,2.1,"2,098",CA,33.62886853,-117.6733179
7.3,26.4,5.5,26.6,35.6,8.9,5.1,8.6,3,"4,220",CA,33.60038176,117.9028769
14.2,26,2.1,31.67,24.2,18,6.8,8.2,2.6,"9,882",CA,37.42164485,-121.8964332
10.4,29.4,3.2,30,28.7,21.6,5.1,9,3.5,"6,075",CA,37.40194696,-122.1055301
8.1,34.7,9.4,30.4,28,27.5,5.2,7.8,2.7,"4,905",CA,33.71380644,-117.2152747
7.3,18.1,8.2,29.2,34.5,10.6,5.9,8.3,2.8,"1,146",CA,33.92394604,-118.0671762
13.6,20,5.7,28.7,28.7,15.8,7.5,10.7,1.9,"5,257",CA,37.64368425,-120.969576
11.3,25.4,4.2,28,30.1,23.9,5.2,9.74,2.7,"6,556",CA,33.93199363,-117.2002245
10,25.5,3.8,30.7,26.7,17.6,8.1,9.5,4,605,CA,33.64551332,-117.9437114
13.1,32.7,3.7,30.3,31.4,11.4,5.1,9.1,2.5,"1,907",CA,33.65609367,-117.1885988
9.4,25.5,5.2,24.8,24.1,17.7,5.9,10.2,2.2,"5,957",CA,33.8974317,-117.2217753
7.9,29.7,5.3,44.5,24,7.9,7.3,8.8,2.8,"6,366",CA,33.91705244,118.2033536
9.8,31.8,3,33.5,29.2,20.7,5.8,9.2,3,"6,396",CA,37.37864104,122.0625866
12.1,26.8,6.1,28.2,23.9,14,6.3,8,2,"8,224",CA,33.56700266,-117.1561358
10,23.9,5.3,31,31.7,15.4,2.7,9.8,3.2,"3,612",CA,33.92385697,-117.27979
10.6,20.7,2.9,32.6,24.5,10.6,4.6,9.1,2.3,"2,870",CA,37.41647572,-122.0942585
10.7,31.8,6.8,27.9,29.3,15.9,5.7,7.6,1.8,"3,968",CA,37.31836697,-120.4779431
10.1,20.9,4.5,29.8,25.1,7.9,6.6,9.5,3.4,"3,466",CA,38.29181579,-122.297874
9.2,34,5.4,48.3,22.6,18.6,5.7,8.5,2.3,"4,080",CA,37.69408964,-121.0044601
13.4,32.2,5.2,26.3,27.7,11.4,4.5,8.5,3.6,"5,496",CA,33.92128501,-118.0896892
11,25.7,3.2,30.3,27.5,16.9,4.9,8.8,1.8,"6,696",CA,33.57619328,-117.6493013
6.3,35,3.2,34.8,24.7,16.9,6.7,10.1,2.8,"3,182",CA,33.69621503,-117.1494298
11.2,18.9,6.9,30.4,27.3,11.4,7,9,2.8,"4,016",CA,37.79896619,-121.2107071
10.2,25,4,32.9,29.5,8,4.2,6.5,3.2,"5,566",CA,38.29465403,-122.307434
7.1,18.7,4.6,31.4,26.8,12.1,4.7,9.3,3,"4,825",CA,33.89457971,-118.1040525
10.81,24.4,4.5,34.8,23.7,18.9,3.4,9.5,2.2,"6,453",CA,33.5686507,-117.2240958
4.9,28.8,4.7,32.9,23,5.8,4.5,10.4,3.5,"1,530",CA,37.61295001,-121.0225874
7.8,30.47,5,34.2,24.1,15.8,4.7,9.74,4,"3,280",CA,33.915786,117.269824
12.8,24.2,4.7,29.4,28.2,18.7,5,10.2,4.6,"4,795",CA,33.62060117,-117.9169048
9.1,22.2,3.5,29.2,30.8,12.7,6.2,6.2,2.3,"5,729",CA,33.67778196,-117.1537079
10.4,32.1,8.1,29.1,33.2,9.4,7.9,8.5,4.7,"3,721",CA,38.3429381,122.3240244
10.1,20.8,4.4,28.7,31.1,8,3.2,10.6,2,"6,972",CA,33.92319534,-118.1941848
8.5,24.4,4.5,30.2,32.9,19,4.2,9.1,2.3,"3,567",CA,37.59725194,-121.0018912
8.8,22.7,4.7,30.3,31.2,12.6,7.3,8.8,3.1,"4,933",CA,37.60954002,-121.0093008
11.2,23.8,4.1,30.9,29.8,17.8,2.9,8.3,3.8,"6,649",CA,33.87847552,-117.2120255
6.1,23.6,3.8,29.1,29.1,16.5,3.8,9.4,2.8,"4,623",CA,33.63987108,-117.6316729
8.7,30.2,3.8,29.2,25.4,16.2,5.2,10.3,4.9,"5,404",CA,33.58914871,-117.2186764
10.3,27.2,5.1,32.8,22.3,13.9,5.1,9.9,2.8,"4,743",CA,37.81857916,-121.2386509
11,25.5,5.2,31,28.6,14.9,5.6,8.5,2.5,"3,193",CA,33.91005153,-117.2306582
9.8,20.4,6.1,29.6,25.8,15.4,7.4,9.1,3.5,"6,188",CA,37.67640755,-121.0216617
10.4,28.2,3.8,27.3,29.3,21.8,6.3,7.5,2.3,"5,768",CA,37.43568659,-121.9129193
10,28.3,6.3,30.3,23.9,12.8,4.7,9.2,2.6,"3,213",CA,37.30719236,-120.4917854
6.2,35.4,6.1,32.7,23.7,14.8,7.2,10.1,2.3,"3,863",CA,33.75080138,-117.1592856
12.1,30.5,4.6,42.4,29.4,14.8,4.1,8,2.6,"4,780",CA,33.94553866,-117.2040032
9.3,31.8,5.9,32.4,32.5,19.6,4.2,8.9,3,"5,778",CA,37.66010073,-121.0035721
8.5,35.3,4,29.8,30.2,9.5,11.4,8.9,2.2,"4,900",CA,33.91264429,-118.0648469
9.8,28.7,8.5,30.9,27.4,22.9,4.2,8.9,2.4,"2,594",CA,33.73571844,-117.2066627
6.7,27.5,4.8,29.7,23.7,15.5,5.4,10.4,4,"3,152",CA,33.95427985,-117.2309756
8.4,27.1,5.6,28.4,21.2,11.1,6.8,8.9,2.3,181,CA,37.43438455,-121.8529792
10.1,28.2,7.1,33.7,28.3,12.8,5.2,7.8,1.7,857,CA,33.61493019,-117.8780202
12,18.1,5.9,33.1,27.6,10.2,5.5,9.6,2.8,"3,949",CA,37.81964881,-121.221735
10.3,34.1,5.4,29.4,31.5,13.8,9.1,8.4,2.2,"6,548",CA,33.60915222,-117.6853239
8.7,23.3,6.7,31.2,19,14.4,4.2,7.4,1.9,"6,216",CA,37.67980778,-121.0032806
12.6,20.8,5.6,33.6,24,9.8,4.8,9.8,2.7,28,CA,37.38839081,-122.1052464
18.3,20.4,4.5,39.6,26.8,14.2,3.6,8.8,3.1,"3,803",CA,33.93545684,-117.2406623
12.5,26.7,5.4,28.3,26.8,13.2,8.4,10.4,2.4,"6,431",CA,38.31709167,-122.2915766
8.6,34.6,4.1,30.3,27.6,19.2,3.8,9.74,2.7,"2,612",CA,33.58124024,-117.6535606
7,19.9,4.3,35.3,25.8,12.9,6.1,8.6,2.4,"8,249",CA,33.62251041,-117.8561534
6.8,23.5,7.1,31.9,27.4,11.2,7,7.9,3.5,"1,626",CA,33.61198954,-117.9163784
10.8,23.1,3.8,29.8,23.3,14.3,4.6,8.2,2.8,"2,373",CA,37.4335929,-121.8707107
7.7,28.4,6.1,28.5,23.9,10.8,5.1,8.4,2,"6,585",CA,37.67262687,-120.9667084
10.2,26.8,4.2,24.2,24.9,10.6,7.2,9.74,2.6,"4,458",CA,37.64492196,120.9254717
10.3,23.9,5.6,29.6,30.2,7.9,5.2,8.9,6.3,17,CA,37.24181835,-120.5290508
10.81,20.2,3.2,35.2,27.3,18.3,6.7,10,2.2,"11,149",CA,33.58626706,117.1521685
10.2,18.8,4.9,35.2,33.8,13.1,3.7,9.5,2.5,"2,370",CA,33.9407332,-118.2136665
7.1,21.4,4.5,31.8,21.1,17.2,5.8,10.1,2.6,"4,105",CA,33.91236645,-118.0951779
8.2,24.8,7.6,33.1,25.5,10.9,3.1,8.9,4.7,"2,196",CA,37.63933084,-120.9936492
10.7,34.1,3.4,33.7,32.7,13.1,6.9,10.4,2.4,"3,102",CA,33.62229873,-117.6746131
15.9,16.3,2.9,39.9,28,18.1,2.5,9.5,1.6,"5,565",CA,37.39444151,-122.0896549
9.6,19,6.2,28.3,32.2,14.4,5.7,8.8,3.6,"4,487",CA,37.2919111,-120.4789321
10.81,34.8,6.2,30.5,25.9,14.5,5.7,7.1,2,247,CA,37.70410985,-121.0567654
10.8,18.4,3.9,29.2,30.4,13.4,5.1,9.2,2.1,"2,719",CA,37.37876332,-122.0823435
8.8,33.4,4.7,35.6,32.4,16.2,3.1,9.9,2.8,"4,071",CA,33.94884791,-117.2207855
12.1,30.4,6.1,32,32.9,7.3,4.8,10.2,1.7,70,CA,37.80803488,-121.2576548
9.7,15.1,4.7,31.2,30.4,14.4,8.3,8.6,1.4,"3,242",CA,38.32980159,-122.328082
11.4,30.1,3.5,37.8,24.7,15.6,5,9.1,2.3,"6,602",CA,33.59404203,-117.6465212
9.2,30.2,3.5,36.4,27.8,13.4,6.3,8.9,2,"5,092",CA,37.44029862,-121.8966335
9.7,20.3,5.8,31.4,34.7,9.4,3.9,9.8,2.9,"6,488",CA,37.79851069,-121.2006271
8.8,30,13.5,28.7,25.3,13.9,6.1,9.1,3.8,"4,543",CA,33.70142552,-117.1928889
12.6,35.3,3.8,31.67,30.7,14.1,4.1,9.2,3.1,"5,171",CA,33.68889225,-117.1906001
12.8,29.5,5.8,49.4,27.1,13.3,7.3,8.4,3.7,"2,014",CA,38.29832658,-122.3262008
11,19.2,4.1,31.67,28,15.7,4,10.8,3.1,"4,888",CA,33.89554911,-117.239288
12.8,20.7,6.7,30.9,29.8,16.1,4.3,7.6,3,"2,380",CA,37.31390381,-120.5082944
8,19.2,5.5,32.9,25.8,17.97,5.3,8.9,2.8,"3,303",CA,37.6293235,121.0150791
10.81,36.2,4.4,35.3,36.8,19.5,6.3,7.9,2.6,"2,719",CA,33.92789967,-118.0841494
13,24.5,3.4,33.2,25.8,20.2,5.7,10.2,1.8,"8,245",CA,33.88471639,-117.194824
11.2,19.2,6.4,30.1,30.7,18.5,4.1,9.8,3.3,"4,218",CA,37.62518012,-121.0031522
10.6,21.5,3.9,27.4,29.7,7.4,4.4,8.9,2.1,"6,401",CA,33.8984771,-118.091192
6.7,24.6,7.5,28.9,19.6,17.2,6.3,9.7,3.3,"2,862",CA,37.66816147,-120.9161612
6.5,25.9,3.1,27.5,21.9,18.9,6.3,8.3,3.4,"3,624",CA,33.64528466,-117.6399964
9.3,21.9,5,23,32.2,17.4,3.1,8,2.6,"4,451",CA,33.91208539,118.1946061
8.1,27.1,5.6,29,24.7,14.7,5.5,9.2,2.4,22,CA,33.53875418,-117.1711012
7.4,32.9,4.6,33.2,29.9,16.9,4.1,7.3,3.9,"4,713",CA,33.59305145,-117.87
11.4,20.8,3.3,34.7,22.6,8.2,5.1,8.8,2,"4,901",CA,37.43949815,-121.8818675
14.6,19.1,5,27.5,29.8,11.1,4.9,10.4,2.4,"3,626",CA,33.59122162,-117.6666499
8.7,18.9,2.8,28,22.3,19.6,2.5,9.4,1.3,"1,577",CA,33.66165391,-117.6288009
12.7,32.6,4.7,34.4,28.4,10,7.7,10,2.5,"4,922",CA,33.92203971,-117.2272173
8,18.2,4.6,28.3,24.9,7.9,4.3,9.3,2.3,"4,287",CA,38.28879505,-122.2751581
12.4,24.2,4.3,26.7,29,18,6.9,8.5,3.3,"4,930",CA,37.69373529,-121.0584295
8.6,15.6,4.6,34.5,29.8,15,7.7,7.9,1.6,"4,070",CA,33.96471532,-117.2132553
5.2,34,5.6,34.4,29.2,12.3,3.8,9.4,2.6,16,CA,33.59843299,117.1202835
10.1,27.6,5.1,21.6,31.2,14.7,4.8,7.6,4.8,"4,249",CA,37.78852227,-121.2235216
6.2,31.6,6.2,27.8,23.4,11.6,4.1,8.3,2.6,956,CA,33.6450205,-117.8973289
7.5,17.8,3.8,33.8,30.9,17.97,4.3,8.9,2.7,"4,480",CA,37.40590975,-122.0838764
9.4,30.9,5.4,27.5,26,7.9,3.1,9.8,3.7,"3,623",CA,37.64971989,-120.9941025
9.8,28.9,3.4,31.67,29.4,18,5.3,7,3.2,"5,924",CA,37.45030377,-121.9161876
12,35,8.2,26.6,28.8,14.3,7.3,9.1,1.9,"3,264",CA,37.30403548,-120.4781907
12.1,27.2,6.1,30.8,31,10.7,6.5,8.7,2.9,"6,102",CA,37.66013227,-120.9486971
11.8,17.5,3.2,27.5,40.4,13.1,5.9,9.5,2.9,"4,267",CA,37.40115267,-122.0744298
8.9,26.9,4.1,27.2,24.9,13.5,4.7,7.5,3.4,"3,648",CA,37.29372691,-120.4241184
7.7,27.6,4.4,30.4,29.5,17.97,5,9.3,2.7,"7,246",CA,33.59096015,-117.8320531
11,25.5,4.9,30.7,27.2,8.3,10,8.5,1.6,"2,080",CA,33.9479047,-117.1624893
11.5,27.5,3.5,31.8,25.9,15.2,7.1,9.9,1.7,"12,593",CA,33.5492614,-117.1630376
9.5,19.4,4.5,37.2,41.8,15.7,4.1,7.3,2.6,"3,731",CA,33.92051312,-117.137913
10,21,5.3,38.9,32,12.8,5.4,8.6,2.7,253,CA,33.63648262,-117.1265675
13.1,33.1,5,27.9,31.7,14.8,4.5,9.8,2.9,586,CA,37.35989116,122.06971
8.5,34.1,4.7,34.7,32.5,11.1,5,7.5,3.8,"5,267",CA,33.93357301,-118.2196226
9.5,33.2,5.5,31.1,32.5,17.97,2.9,9.5,2.7,815,CA,37.42738726,-122.0805178
14.6,27.6,5.5,28.4,22.4,10.8,4,10.3,2.9,"1,674",CA,33.64875612,-117.884293
9.3,29.4,5.6,36.5,24.6,16.5,2.3,9.7,2.6,"1,844",CA,37.8203547,-121.2302807
7,19.9,4.6,31.2,27.5,11,6.3,8.5,2.4,"3,819",CA,33.64143297,117.6614058
10.8,15.4,2.4,33.8,30.7,18.3,7.5,9.1,2,"2,754",CA,37.40691727,-122.1134452
9.2,25.8,3.6,32.1,31.7,7.2,3.3,9.5,2.1,"6,943",CA,33.92470827,-118.2193045
8.7,25.1,7.3,32.8,27.5,12,4.8,9.5,3.8,"1,279",CA,33.57501054,-117.26758
13.2,20.4,4.6,36.2,29.7,10.4,3.3,8.1,1.9,"5,486",CA,33.56464465,-117.1737474
8.9,28.3,4.1,35.1,25,7.7,6.6,7.5,2.3,"2,460",CA,38.31579978,-122.2818495
11.5,26.2,5.6,31.2,30.9,19.7,6.3,9.6,2.6,7,CA,37.36966792,-120.4781021
13.2,31.3,5,32.4,34.3,13.8,5.1,8.4,3.21,"5,810",CA,37.65969541,-120.9325924
9.2,16.7,3,33.2,27.3,20.5,5.4,9.3,2.4,"2,589",CA,33.65699005,-117.6403828
9.2,21.3,3.6,30.4,27.2,8.6,4.9,9.9,2.2,"5,261",CA,37.3841258,-122.0933076
9.8,20.1,6,29.5,21.8,12.1,3.6,8.8,2.3,"3,648",CA,33.90652202,-118.0577671
10.81,24.6,2.9,32.7,25.1,14,6.5,8.7,2.2,"1,342",CA,33.68997947,-117.1408017
9.7,20.1,4,31.1,25.7,17.2,4.7,9.1,2.2,"3,670",CA,33.9118905,-117.2218309
8.8,21.6,4,35.7,28.7,13,6.5,9,2.1,"4,956",CA,33.91029635,-118.1866149
10.8,25.3,4.8,33.3,26.8,14.7,4.8,8.2,2.4,"4,177",CA,33.92273643,-117.2393879
10.7,20.8,4.1,30.6,27.8,13,4.4,8.5,4.3,"4,883",CA,37.43200597,-121.880585
11.2,37.5,3.5,35.4,29.3,12.8,5.7,8.3,3.1,"3,468",CA,33.72334047,-117.144874
8.6,21.1,5.4,31.2,29.3,16.9,7.2,8.6,2.8,"2,038",CA,33.94377289,-117.2347522
8.4,33.7,3.7,33.8,26.9,13.5,5.4,10.1,3.1,"4,368",CA,37.78653771,-121.2603937
7.3,32.4,4.1,30.9,23.4,13.5,5.3,8.8,3.4,"5,715",CA,33.60597525,-117.6438219
8.1,28,4.6,31.67,40.1,15.9,5.2,11.3,1.9,"6,881",CA,33.8912101,-118.0911533
6.2,28.5,5.6,28.7,20.5,17.3,5.1,9,3,"2,743",CA,38.30580496,-122.3106842
9,27.6,4.4,32.4,32.3,16.1,6.5,9.7,4.4,"1,714",CA,37.43731727,-121.9047133
9.6,27.2,5.4,31.1,26.1,17.97,3.6,9.2,1.9,"5,917",CA,33.63199365,-117.8842196
9.2,32.5,5,33.5,18.3,17.97,8.4,9.1,4.8,"2,489",CA,37.65510221,-121.0312197
11,20.2,4.2,30.6,22.4,6.5,5.1,9.74,3.2,"3,299",CA,33.95670897,-117.2523984
7,25.3,3.3,38.3,24.3,13.9,4.3,9.8,3.7,"4,489",CA,33.90884872,-117.1909761
7.8,30.1,4.8,33.6,21.1,8.4,5.5,8,2.2,"2,349",CA,38.28857343,-122.2618131
7.7,33.9,5.5,29.1,29,6.2,5,9.1,3.3,"3,308",CA,33.91914925,-117.2480601
11.7,26.4,3.7,30.3,31.8,13.6,3,9.5,3.5,"10,378",CA,33.58631301,-117.187955
9.1,24.3,4.8,30.5,29.6,15.2,2.4,8.3,2.5,"4,815",CA,37.67184757,-120.9505451
6.5,24.4,7.1,27.9,27,20.6,5.7,9.1,2.8,"4,438",CA,37.29272742,-120.4990996
7.9,23.8,4.9,37.1,27.8,17.5,3.3,8.5,2.8,"3,721",CA,33.91319921,-118.086485
8.8,29.6,5.6,28.8,33.5,18.9,5.8,7.8,3.21,3,CA,37.64587712,-120.921623
9.3,29.9,4.1,27.2,25.1,17.3,6.9,9.5,2.8,"6,023",CA,34.59523909,118.1743804
7.2,24.3,5.7,21.6,30.6,13.5,7.9,8.8,1.4,"3,204",CA,34.17231844,-118.1246769
11.6,29.3,4.8,22.8,33.5,13,6.3,8.7,3.7,"3,062",CA,37.74530646,-122.1571745
7,18.9,5.1,26.1,27.2,19.2,4.8,10.8,2.6,340,CA,33.80743396,-117.8170248
8.4,28.8,3.6,30.7,24.4,20.4,3.2,9,3.2,"6,452",CA,33.84962527,-118.3827737
8.9,33.7,9.9,28.2,29.3,14.4,5.4,7.6,2.2,219,CA,40.66664885,122.3306343
11,21.5,6.8,39.2,36.4,19.4,8.6,9.2,2.3,"1,295",CA,34.10901776,-117.7438276
10.81,23.3,5.9,31,23.1,9,5.1,9.3,10,"1,159",CA,37.94183821,-122.2869247
7.3,29.5,5.9,28.6,28.7,8,4.4,9.4,1.8,"3,323",CA,37.76460559,-122.1709596
10.5,27.9,4.8,28.3,28.2,8.9,5.3,8.8,1.7,"3,053",CA,34.10769969,-117.403123
6.8,32.6,2.9,28.2,26.9,18.6,4.3,8.7,2.4,"11,640",CA,34.1118415,-117.5607306
11.6,22.1,6.6,31.67,24.3,16,5.3,8.9,3.1,"6,093",CA,40.55322257,-122.3483225
13.3,26.8,4.5,34.2,27.5,14.1,4.8,8.7,3.9,"5,659",CA,33.17704012,-117.3602987
11.2,22.9,5,24.3,25.1,17.97,5.4,11.3,1.9,"3,414",CA,37.78312871,-122.2143965
9.9,22.1,4,31.7,26.3,6.8,5.8,12.1,2.7,"4,052",CA,34.06726147,-117.6409852
8.3,33.6,5,31.1,35.2,9.8,5.2,8.4,2.2,"5,369",CA,34.0887227,-117.3711097
6.2,17.7,5.7,27.6,36.9,19.4,5.6,9.1,3.7,"3,997",CA,34.07895535,-117.6561451
8.8,20,4.2,33.1,28.9,13.4,3.5,9.8,2.3,"4,657",CA,34.23250127,-119.186518
11.8,24.1,3.8,31.6,24.5,12.7,5.4,8.6,3.6,"3,842",CA,33.83466044,-118.3877661
10,24,4,26.6,31.8,17.9,4,9.2,2.9,"5,471",CA,34.15192617,-118.1144868
10.3,20.6,4.8,28.7,28,10.7,5.2,9.1,2.4,"3,064",CA,34.56176161,-118.1047576
11.4,26.2,3.3,32.8,26.9,14,3.4,10,2.9,"9,335",CA,33.83682815,-117.2254314
9.8,26.9,6,32.3,21.9,10.3,3.4,10.9,3.1,"6,584",CA,34.0818185,-117.7649727
10.81,26.5,6.1,25.8,28.1,7.7,4.3,9,2,"3,414",CA,37.75418155,-122.1887801
8.6,31.3,4.7,31.1,25.4,15.8,10,10,1.9,"4,780",CA,34.14116748,-119.1680928
10.9,31.8,3.6,31,29.7,17.7,5,9,3.4,"5,188",CA,34.15039351,-117.5602659
7.8,30.4,5,25.1,24.5,15.7,3.6,8.3,1.7,"7,353",CA,37.9485499,-122.3399756
7.5,21.8,4.4,29.6,25.8,12.3,2.3,8.1,2.8,"3,818",CA,34.15374012,-118.0900163
13.9,26.3,4.1,31.6,18.2,20.5,4.1,9.9,2.4,"4,760",CA,34.02492437,-117.6305659
11.4,25.6,4.2,28.6,29.3,13.1,7.3,9.5,3.3,"3,738",CA,34.05774348,-117.7503191
7.6,29.6,4.4,29.7,28,12.3,5.6,9.7,2.6,"3,175",CA,33.25445441,-117.3231936
7.8,33.5,5.8,22.7,30.7,10.1,5.5,9.1,3.6,"2,468",CA,40.56210033,-122.4126963
13,22.6,4.4,28.5,24.1,13,4,9.4,2.8,"1,703",CA,37.809532,-122.298236
11.1,25.5,3.3,31.4,25.6,17.1,7.6,9.9,2.2,"5,381",CA,34.05028261,-117.8132622
10.81,25.1,5.2,34.4,24.6,18.7,7.4,7.7,3,"1,385",CA,34.15827402,-118.1641562
11.9,27.9,7.5,25.4,29.7,18.5,5.3,8.7,3.3,"1,581",CA,40.58269013,-122.3904027
10.1,19.5,6.3,24.2,29.8,10.3,7.2,7,2.2,"3,761",CA,33.17437334,-117.2674157
13.9,20.2,3.5,27.6,25.4,15.1,4.9,8.8,2.3,"3,883",CA,34.14882537,-117.4162791
14.4,26.6,4,27.8,29.1,13.3,4.3,8.2,2.3,"4,197",CA,37.81144769,-122.2321836
9.1,27.5,4.3,28.3,32.8,9.5,10.3,9.2,2.8,"6,936",CA,33.22993512,-117.2750744
5.5,25.8,3.2,27.3,28.6,11.7,6.8,9.3,3,"4,721",CA,37.47007181,-122.226008
9.2,19.7,4.7,28.4,29.6,17,4.8,8,2.8,"3,182",CA,34.0555601,-117.1894606
8,24.5,4.9,30.9,30.7,16.5,3.4,8,2.8,"6,835",CA,34.03749306,-117.7572043
8.1,24.2,2.5,27.8,28,16.6,4,9.5,2.7,"4,156",CA,37.83048364,122.2638645
6.4,35.4,5.5,43.8,27.8,13.3,5.4,10.5,5,"7,225",CA,34.0477051,-117.7604509
12.8,28.2,6.3,29.6,24,9.1,4.2,11.1,2.1,"5,966",CA,34.1860272,-119.2344655
10.5,33.4,6.6,29.3,29.1,10.7,5.9,8.4,4.4,"3,767",CA,40.60265395,122.4117602
12.2,31.2,4.8,30.9,28.5,16.1,4,9.5,3.2,"4,494",CA,33.19197305,117.3188244
8.8,26,3.9,33,27.5,9,3.6,8,2.3,"4,970",CA,34.10062328,-117.5866987
8.7,18.7,4.5,33.3,23.7,11.1,6,8.7,2.8,"5,435",CA,34.21092507,-119.23171
10.7,26.8,4.7,35.6,29.7,14,5.8,9.3,3,"4,109",CA,37.77652278,-122.1931966
9.2,17,4.8,30.6,20.4,11.1,6.3,8.2,2.7,"4,361",CA,34.11318871,-117.3648067
11.7,29.7,4.9,26,21.7,16.1,4.8,9.9,2.7,"5,543",CA,34.11394241,117.5959301
10.81,29.6,4.9,26.1,36.4,12,5.2,9.1,2.1,"7,858",CA,34.15111646,-119.1821358
8.6,36,4.7,27,25.4,15.2,5.2,9.3,2.8,"2,944",CA,37.48004882,-122.2479592
10.1,31.3,5.3,30.1,28.7,18.1,5.9,7.8,1.9,"4,321",CA,34.04291019,-117.6470475
11.4,23.4,4.9,32.3,27.6,17.97,4.4,10.1,3.7,"4,374",CA,37.81772952,-122.2600767
8.8,24.4,4.6,33,25.9,17.8,4.4,9.6,2.3,"1,677",CA,37.8263114,122.2158646
9.6,19.3,6.6,25.5,31.9,6.9,6.7,9.2,1.7,"3,450",CA,37.78646628,-122.2502831
12.3,26.6,4.7,31.67,25.1,18.9,4.5,8.4,2.3,"3,328",CA,34.07170505,-117.7311684
12.6,23.3,5.4,24.9,25.4,15.7,2.5,8.9,2.3,"5,814",CA,34.07807405,-117.6368989
12.3,30.47,4.7,35,31.3,16.4,5.2,9.5,1.9,"6,387",CA,34.62301069,-118.2213156
8.2,24.9,6.1,23.4,21.1,17.97,6.2,8.5,2.6,"3,751",CA,34.58349074,-118.1256195
10.5,24.8,4.7,31,56.9,15.5,4.8,10,3.4,"3,869",CA,34.13409557,-118.1748811
7.4,22.9,6.5,29.5,29.4,13.9,4.8,12.4,2.1,924,CA,34.53767649,-118.0608749
13.5,23,3.6,29.6,31.9,13.6,4.9,7.8,2.2,"7,479",CA,37.64413587,-121.8414325
11.3,17.1,4.5,27.2,28.4,7.2,4.9,8.9,7.4,"5,991",CA,37.78537627,122.1574776
10,22.6,4.4,19.5,27.6,19.2,5.6,8.7,2.1,"6,448",CA,34.06286545,-117.1476464
12.2,23.7,4.9,30.3,36.3,11.5,5.1,8.1,3,"4,306",CA,37.74461301,-122.1803622
10.5,31.6,5.6,28.2,26.9,15.1,3.3,8.4,3.1,47,CA,37.95211483,-122.3202298
10.8,22.6,5,31.1,26.3,9.8,4,8.9,3.6,"5,778",CA,34.18609718,-119.1833977
10.6,27.8,3,28.9,29.8,12.3,5.4,9.4,2.3,"7,663",CA,34.12852364,-117.5343762
12.6,24.2,3.4,23.7,29.3,12.5,4.1,8.9,2.2,"7,060",CA,34.00814012,117.5757345
8.8,18.3,4.1,34.3,31,16.1,4.8,8.7,2.1,"2,429",CA,37.48971465,-122.229422
9.6,22.4,2.4,29.7,24.8,15.2,6.1,11.6,2.3,"5,373",CA,34.245475,-119.172068
6.7,20.3,12.6,31.8,27.9,9.8,9.1,9.5,4.6,"2,788",CA,37.80042652,-122.270732
11.1,33.4,4,32.4,23.1,21.8,4,7.9,3,"5,003",CA,33.20441101,-117.3431088
6.8,27.5,7.9,32.8,28.8,17.2,4.1,9.6,4.5,"2,145",CA,37.79556097,-122.2218696
12.3,18.9,5.6,31.6,29.6,13.9,4.4,8.6,2.6,29,CA,37.93407243,-122.3205929
12.5,37.7,3,30.3,31.1,12.1,5.3,8.3,2.7,"1,991",CA,37.81596057,-122.2569405
9.1,26,4.9,28.9,24.5,9.1,6.1,9.2,2.7,"3,243",CA,37.79823074,122.2296737
10.2,31.1,5.7,30.6,27.7,25.8,4.2,11.1,2.6,123,CA,33.83679682,-117.8331845
13.4,20.9,4.5,30.5,29.3,10.4,4.6,8.4,2.8,"4,660",CA,33.83057774,-117.8256696
