DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke,POP,City,LAT,LONG
20.2,30.8,6.7,27.5,31.3,25.5,7.8,13.5,2.8,"2,484",AL,34.68979727,86.56091911
13.5,54.2,3.9,36.3,33.7,29.3,9,10.3,2.1,"4,216",AL,33.47906233,86.81280631
13.1,30.4,6.1,35.1,52.2,32.3,10.1,13.7,2.2,"4,379",AL,30.65060681,-88.19920104
5.4,36.1,7.5,30,47.6,14.7,12.6,9.3,2.3,"3,338",AL,33.56324496,-86.76404741
10.81,52.7,5.6,38.2,34,27.4,11.5,9.7,7.9,9,AL,33.4345805,-86.72632921
10.81,42.9,6,19.1,28.2,13.8,6.1,9.74,2.5,182,AL,33.17992806,-87.38376031
10.81,30.47,6.7,35.5,29.7,17.97,5.3,10.6,2.4,"1,878",AL,34.76287824,-86.628492
19.3,39.8,5.7,20.8,54.2,25.2,6.9,11.1,1.9,539,AL,32.37611483,-86.12160542
6.8,45.8,6.6,35.7,29.3,25.5,5.7,11.9,2.6,"2,058",AL,30.68687358,-88.06021802
15.1,35.4,8.7,29.4,37.8,17.97,17.6,9.7,0.4,"4,402",AL,30.63260663,-88.16482514
8.6,30.8,7.2,26.8,51.3,15.3,11.5,9.74,2.1,"3,992",AL,33.51760084,-86.81068875
22,41.1,7.9,34.7,56,29,8.1,13.3,6.8,"4,536",AL,30.68257783,-88.11448248
4.2,42.7,11.4,43.7,20.8,20.2,13.8,10.7,2.4,"2,577",AL,33.55254061,-86.80168937
23.2,27.5,5,33.7,56.8,24.3,14,12.8,2.7,"4,679",AL,33.39849466,-86.79889143
13.8,40.4,8.4,33.9,33,16.6,11.3,12.9,4.3,"1,184",AL,30.70029009,-88.21926191
27.6,48.1,4.3,32.6,28.5,18.4,11.3,13.2,2,70,AL,34.79009445,-86.78348313
12.7,43.5,6.2,32.1,32.2,22.3,9.2,11.6,5.3,"3,125",AL,30.68277338,-88.18063037
15.6,28.1,4.5,35.7,29.3,26.4,4.8,9.4,5.3,"4,964",AL,32.33312941,-86.22370267
