DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke
8.3,42.9,5.2,39.6,40.4,25.5,6.9,9.6,4.7
16.6,46.8,7.5,13.1,41,18,5.5,13.9,3.7
8.5,33.6,10,35.8,26.8,21.1,6.3,13.1,6.2
9.3,29.3,7.4,41.4,30.1,17.97,9.2,12.3,3.2
18.8,30.6,5.3,31.67,42.7,27.4,3.4,10.9,3.21
21.2,39.4,5.7,35.4,55.9,18.1,6.3,10.2,3.21
9.4,29.9,6.5,40.4,34.6,27.6,7.6,8.9,8.6
13.7,27.4,3.6,38,52.2,26.8,12.1,13.5,3.1
22.7,27.3,5,39.5,32,18.4,8.6,10.3,6.1
18.5,48,3.4,31.9,48.8,18.3,7,10.2,5.1
13.5,45.5,11.5,39.3,40.9,17.97,12.2,13.8,4.4
10.8,32.1,6,30.4,34.1,19.9,8.2,9.74,6.9
20.2,24.2,9.2,37.4,27.7,10.8,6.3,14.6,3.6
11.6,30.2,9.9,38.7,42.9,26.5,6.2,9.8,3.21
16.2,35.3,1.7,33.3,45.9,17.1,11.1,8.9,6.8
15.3,54.3,2.4,39.5,43,25.9,7.5,10,5.3
13.8,30.9,7.7,40.4,41.6,8.8,6.6,9.3,4
8.6,27.7,3.8,31.67,31.7,27,6.3,13.9,4.4
7,26.5,3.9,34.5,45.1,19.9,8.5,9,3.3
8.8,31.5,6,34.3,60.5,30,12.5,11.6,5.2
8.8,39.8,8.8,37,38.3,8.5,6,11.7,7.4
9.9,41.3,10,38.9,39.8,13.3,6.5,10.5,6
8.3,36.3,8.5,32.6,36.6,14.8,6.3,9.2,5.5
11.9,25.5,9,30.1,55.2,30.4,5.5,11.3,5.6
10.81,39.9,4.2,34.9,65.9,28.1,6.8,12.3,5
10.4,26.4,6.7,38.2,26.7,12.4,12.2,11.1,2.7
23.4,30.47,4.9,36,29.6,21.2,13.3,9.9,7.3
15.2,28,8.7,29.8,56,16.3,4.9,9.5,5.8
17.6,26.9,8,34.9,37.7,14.9,13.1,12.3,2.8
21,38.9,4.5,38.1,35.7,16.8,14.4,12.4,1.8
20.5,28.2,10.3,39.2,20.6,19.3,12.3,10.9,3.21
8.2,31.4,8.8,39.3,41.6,17.1,8.9,12.1,2.6
12.5,30.7,7.9,38.3,44.1,10.9,7.7,11,3.21
