DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke
7.6,24,6.4,35.2,42,30.3,11.2,11.4,1.5
9.8,32.9,9.1,31.67,28.8,21.6,4.9,10.1,3
9,26.5,5.6,31.6,42.5,10.3,4.7,8.2,2.8
16,22.8,6.7,36.4,35.9,15.5,12.7,6.7,4.6
10.2,29.9,6.4,26,33.6,19.2,7.2,9,2.8
10.8,32.4,10.6,38,35.1,21,4.9,11.5,2.7
18.2,27.5,3,19.1,23,18.3,7.4,7.6,2.6
8.3,36,7.4,17.5,33.6,18.3,11.7,8.3,3.2
21.5,38.3,6.5,33.8,30,23.3,8.6,5.9,4.3
5.6,27.8,10.3,35.6,27.9,22.7,8,8.1,2.9
15.5,46.5,4.4,32.7,43.7,16.3,8,10.2,2.7
9.8,32.6,4.8,29.1,32.8,23.6,12.2,8.5,2.9
10.6,28.1,7.7,32.8,37.4,16,8.9,8.7,3.4
14.2,47.7,3.3,28.8,39.4,22,9,9,4.3
14.4,31.2,11.1,25.8,29.5,18.9,13.1,7.8,4.4
13.8,32.7,9.5,34.7,23.5,32.1,6.9,8,4
11.3,28.4,3.6,32.9,18.2,28.8,8.4,8.4,3.2
9.1,30.9,14.1,24.3,55.3,19.7,8.8,9.7,2.7
13.6,33.6,9.4,31.67,37.4,20.6,8.8,10.1,3.7
13.4,34.9,8.8,33.2,35.3,30.4,10.7,8.3,2.1
12.6,30.3,5.7,42.9,38.3,16.3,6.7,6.3,6.5
9.3,23.2,5.7,36.8,30.9,17.1,4.9,8.5,4
9.9,30.47,9.9,27.6,44.8,15.1,7.7,12.1,6.7
18,39.2,6.4,30.8,35.2,14,7.9,10.4,2.8
19.9,34.1,5.6,47.4,44.2,17.5,3.3,9.9,0.5
8.4,30.8,5.6,37.5,31.6,17.3,9.4,9.8,3
19.9,37.9,5,37.2,49,17.7,9.6,11.3,2.6
17.9,35.2,7.7,31.1,27.7,30.7,6.9,8.7,3
5.7,27.9,16.2,20.2,40,18.5,6.3,11.4,4.1
10.1,32.3,3.7,34,39,12.1,10.3,8.5,7.5
10.5,42.6,9.2,35.6,31.6,29.7,9.7,7.4,3.9
14,27.3,6,32.6,23.2,17.2,8.1,7.9,1.6
10.81,36.5,7.6,32.6,36.1,27.3,8,8.7,1.6
11,39.2,7.3,34.1,28.6,27.1,6.9,8.3,5.3
8.8,29.1,10.8,34.8,34.5,23,8,8.5,3.2
14.6,36.9,9.2,24.7,40.8,17.4,5.7,9.1,3.8
19.8,33.9,5.1,39.7,29.1,19.5,9.2,8.8,3.8
14.1,24.2,8.5,32.2,28.2,21.9,6.4,6.8,5.5
15.1,26.9,7,34.9,46.5,17.6,4,9.7,6.5
15.6,32,8,34.2,17.7,19,9.9,6.7,6.7
16.4,22.4,7,32.3,32.2,29.6,7.4,8.7,4.8
9.5,39.8,3.7,31.67,30.3,21.9,7.5,8,7.1
12.7,26.6,8.6,37.2,28.4,22.4,14.7,6.5,6.2
18.6,28.1,5.4,15.7,30.7,25.8,5.9,9.3,4.2
11.9,28.8,5.2,30.9,39.7,27.2,8.9,8.3,3.9
6.1,28.2,8.6,38.4,53.1,18.1,7.9,8.9,4.9
7.2,30.6,4.6,35.1,34,15.8,7.9,10.6,6.4
18.3,28.5,2.9,28.8,41.8,9.9,8.4,10.5,7.4
5.4,33.3,5.4,30.1,36.8,26.1,12.1,12,4.5
9.9,33.3,10.2,31.1,29.1,16.2,6.3,10.6,5.7
8.6,26.8,6,42.2,27.1,15.3,7.1,6.9,2.3
20.7,28.4,5.1,32.7,35.4,24,12.7,11.2,2.6
12,26.1,4.4,34.9,39.2,30.3,8.7,8.1,7.2
15.4,32.8,4.8,37.9,44.7,23.3,6.8,8.7,4.9
8.6,42.2,3.3,29.5,20.9,25.6,6,9.7,2.7
12.8,40.6,5.6,37.7,27,17.4,11.4,9.74,2.7
11.5,27.9,3.4,33.2,34.8,22.6,6.3,6.8,4.1
14.8,32.4,5,34.5,34.7,13.8,8,8.7,7.7
11.5,33.5,8.8,33.6,40.7,23.2,10.3,7.2,1.9
4.4,35.4,5.3,28.2,28.7,29,11,10.5,2.9
10.1,34,7,34.6,42.2,22.9,5.4,10.8,3.6
8.5,31.4,3.9,36.7,23.4,17.97,8.2,8.5,2.1
11.6,30,3,32.3,26.6,15.2,5.1,9,6.5
10.81,30.2,7.1,32.5,46,27.8,12.4,8.7,3.6
13,28.9,9.3,36.5,28.5,25.2,13.3,10.4,6.5
11.9,31.6,5.8,28.6,31.7,22.8,8.9,6.4,1.5
4.1,37.2,5.2,33.7,37.8,8.9,7.5,9.8,2.9
12.9,41.6,5.8,27.9,43,20.3,5.6,7.5,3.1
5.6,30.7,8.9,35.6,25,15,16.5,9.6,3.8
16.7,23.4,8.5,33.5,42.9,18.6,4.9,7.7,3.7
7.8,33.3,6.8,31.67,21.1,23.7,1.5,7.8,2.4
10.2,20.3,6.9,36.1,33.2,26.3,5.8,10.1,4.6
12.1,42,5.2,29.5,25.6,18.7,10.4,8.3,3.9
17.6,31.1,5.7,35,39.9,14.1,8.7,10.2,3.3
15.2,37.6,3.8,36,37.9,20.5,13.6,11.5,2.1
11.1,30.47,9.2,34.8,32.7,17.1,2,9.2,3.8
10.2,32.2,5.6,38.4,40.2,26.2,11.7,11.4,4.7
18.3,28.3,5.6,32.4,33.4,20.4,11.2,9.3,2
11,30.6,7.2,31.3,52.2,10.3,10.8,6.3,5.3
9.6,32,5.8,34,31,19.2,4.9,8.9,1.2
14,40.8,4.9,39.9,28.2,24.1,13.8,7.1,5.4
11.2,38.8,6.2,34.3,32.8,19.8,13.1,7.1,2.8
10.9,29.1,5.2,40,31.6,22.6,14,8.3,3.5
15.4,27.9,7.1,31.67,38.7,23.4,8.6,8.4,7
9.9,35.7,6.6,30.6,25.3,15.3,4.1,6.7,2.8
18.1,28.7,10.1,34.6,33.7,21.5,9.6,8.8,2.3
23.9,36.8,5.6,27.7,24,15.3,9,8.9,5.7
13.2,35.5,4.3,34,34.1,17.97,10.2,8.7,4.9
15.8,49.6,8.8,41.9,47.9,20.2,7.2,9.7,2.4
10.4,32,1.9,36.4,49.9,17.7,2.9,7.2,4.6
14.5,32.4,3.8,35,41.3,15.2,9.1,9,2.9
10.5,18.2,8.8,35.2,33.5,35.9,5.5,9.74,4.9
7.6,44.5,2,34.8,27.2,20.8,5.6,10,7.4
12.1,33,10.6,34.7,27.4,20.6,8.3,9.5,3.4
10.4,30.5,5.8,26.1,11.3,16.9,5.9,9.4,2.1
8.1,30.47,12,28.7,29.3,15.7,11.7,8.2,2
8.3,31,7.2,29.6,38.2,16.3,4.9,8.4,6.2
10.9,27.3,16.2,35.9,21.6,24.1,9.3,11.7,4.5
10.3,27.1,5.9,34.9,33.4,17.97,6.5,7.3,3.5
21.1,24.8,6.9,35.8,25.4,14.5,11.6,12.4,2.8
14.2,33.5,4.3,37.8,50.2,32.3,7.8,6.5,2.9
10.7,36.8,6.9,32.5,34,17.9,6.8,7.8,8.5
11.9,37.3,3,33.2,36.9,17.97,7.8,6.6,3.7
14.3,39.5,8.2,28.5,35.7,23.3,10.7,8.6,3.6
18.6,28.9,10.7,35.7,42.3,19.6,11,7.6,4.6
6.2,43.2,9,38.1,27.7,12,9.9,8.2,4.9
17.9,29.4,4.7,31.4,47.3,17.97,7.4,9.1,0.9
10,41.1,6,29.9,31.9,13.3,10.4,8.3,2.8
12,44.3,9.8,29.7,32.2,22.9,12.1,8,4.6
16.2,42.6,11.5,33.5,30.6,27.1,11,11.5,4.2
9.9,27.5,9.3,33.9,39.4,34.4,12.5,8.5,4.7
12.1,27,5.5,34.4,34.6,19,5.2,7.9,4.4
17.7,30.4,7.2,35.4,46.4,12.3,3.5,7.1,3.1
18,35.5,5.8,37.4,28.4,15.4,11.6,7.8,3
8.1,35.6,9.4,32.5,36.8,21.3,10.3,10.4,1.6
9.2,22.8,4.1,31.6,18.3,17.1,17.3,9.2,5.3
11.1,31.4,3.8,26,27.2,11.8,7.7,8.3,3.8
11.4,38.2,9.3,36.3,23.1,11,10.6,8.3,4.8
15.4,45.9,9.1,31.7,41.3,20.9,7.6,9,4.5
11.9,22.6,11.1,36.5,53.1,20.5,8.9,8.9,1.9
7.4,24.4,7.7,36.4,33.1,25.9,12.2,10.1,3.1
10.9,36,2.8,31.2,52.2,16.7,9.6,11.4,2
9.6,30.9,7.7,30,39.2,13.9,6.5,9.74,5.5
5.9,24.6,5.5,31.9,19.1,25.5,6.1,7.7,2.6
10.7,30.8,5.7,29.4,32.1,15,12,9.74,5.3
10.2,23.4,5.3,44.1,34.5,18.9,8.2,9.4,3.9
14,32.3,9.4,41.3,26.8,13.2,10.5,8.7,6
16.4,34,8,34.5,38.2,18.1,11.7,8.6,2.5
12.5,26.4,6.5,33.7,32.9,12.7,9,8.4,2.6
19.7,25.5,8.9,23.9,27.7,14.5,8.2,9,5.8
18.1,27.9,7.9,25.2,36.6,31.6,7.7,9.3,2.4
7.4,23.5,5.6,24.7,32.3,23,8.2,9.74,5.6
11.4,22.8,6.7,28.9,40.4,25,8.8,7.1,5.8
5.8,36.1,6.2,31.67,33.3,18.5,6.4,8.8,3.4
10.3,33.3,8.9,31.67,32.2,14.6,8.8,13.6,4.2
11.6,34.3,6.1,33.2,32.4,24.7,13.3,6.7,8.4
14.5,23.4,7.7,35.7,44,25.8,6.3,6.9,2.6
15.9,27.2,4.4,37.1,32.6,15.4,8.1,8.7,5.1
11.1,28.5,4.7,27.4,20.7,14.9,5,11,2.9
15.6,31.5,7.2,28.4,24.7,17.5,6.3,7.9,3.1
11.2,30.9,10.1,32.6,27.9,17.5,8,12.7,3.2
18.7,25.4,6.2,43.6,29.6,24,2.2,8.4,3.21
14.4,30.6,6.2,27.4,35.8,28.3,10.5,8,2.5
11.5,30.4,20.3,35.3,32.8,18.8,7.8,7.9,1.3
17.4,32.9,6.5,36.6,37.3,27,7.4,8.5,3.4
12.8,32.7,4,32.3,29.6,17.8,8.9,12.5,2.9
22,23.9,9.3,36.4,29.5,15.1,7.6,11.2,3.6
9.9,33,7.4,30.6,29.8,21.5,11.2,12,4
18.5,42.3,4.8,35.7,46.5,8.8,5.8,11.6,3.6
17,32.2,7.6,21.7,22.2,15.7,5.2,11.6,3.9
7.9,40.5,5.3,23,40.1,9.3,17.9,10.6,3.8
8.4,25.4,6.8,33.2,46.7,14.8,6,8.5,4.1
10.1,36.2,9.4,41.3,31.8,14.8,6.5,8.4,4.3
18.4,33.8,9.5,38.3,38.4,32,3.6,6.3,3.6
19.1,37.1,5.8,37.7,39,18.2,4.9,11.7,4.2
22.7,31.4,9.7,34.5,28.7,22.8,6.1,7.6,5.2
9.4,27,2.4,31,25.8,19.4,14.7,8.8,1.9
18.2,36,4,35.8,38.5,25.5,15.4,10.3,3.7
12.6,36,5.7,30.4,30.8,14.7,8.9,8.8,2.6
16.6,36.5,11.2,36.2,23.1,16.1,16.1,8.3,4.2
9.7,35.4,4,29.9,22.5,28.5,8.4,6.7,4.5
12.2,30.8,6.7,34.1,42.7,18.9,11.5,8.7,2.3
12.3,26.1,11.3,30.5,33.7,26.4,8.3,11.7,3.1
18.7,23.6,10.7,29.2,35.6,13.3,9.2,8.5,3.7
10.7,37.8,3.1,31.3,42.9,17.6,3.3,7.6,6.5
11.2,30.9,11.1,32.6,43.4,19.9,10.3,10.3,6.5
5.8,26.8,5.9,40.2,35.7,17.97,8.2,10.2,1.6
9.7,28.7,5.8,36.1,40.8,23.9,7,7.2,2.1
11.3,35.4,3.7,41.8,32.9,20.4,4.8,10.6,1.6
12.4,24.2,8.5,39.7,23.4,19.9,12,8.2,3.21
11.9,39.8,10.6,33.6,27.9,17.97,7.4,8.1,3.5
13.2,26.4,7.1,42.8,36.9,32.4,7.8,8.5,8.5
12.7,30.3,11.1,34.7,35.6,28.2,10.3,11,3.21
23.3,47.3,6.3,34.1,35,32.6,6.1,6.9,1.1
10.2,26,10.5,31.67,38.9,16.7,7.2,9.9,3.6
10,34,9.2,34.4,36.2,23.3,8.4,5.8,4.5
6,26.1,4.2,34.6,40.9,20.5,9.8,9.7,2.8
15.3,24.7,7.3,22.7,47.1,22.2,10.7,9.1,6.9
24.7,23.1,8.4,36.4,24.9,28.2,9.6,11.6,4
13.7,26.7,4.5,34.5,29.2,20.5,5.7,7.2,4.4
18.5,29.5,6.9,36.6,36.8,16.7,6.7,8,2.5
6.4,33.7,7.4,23.7,8.7,21.9,10.4,7.6,3
3.5,30.6,2.7,33.9,31.7,22,12.4,10.2,3.21
9.4,35.6,4.3,33.8,44.9,13.7,7.7,8.2,3.3
18.2,46.9,6.9,27.7,33.9,23.4,7.2,7.9,3.6
5.5,30.8,2.1,33.6,16.9,26.5,9.5,12.6,6.2
20.9,34.1,8.4,29.9,41.7,16.9,11.3,8.3,3.9
19.4,34.9,9.7,33.4,34.9,14.5,7.2,9.1,4.9
21.4,34.2,4.8,36,26,24.1,14.5,8.6,3
10.3,37.6,9.5,33,36.5,21.6,8.6,10.7,3
11.7,24.8,5.7,30.3,53.2,18,9.8,8.7,3.3
10.81,33.6,8.6,37.1,31.8,20.9,9.4,6.8,3.8
8.3,26.2,3,35.5,43.5,15.9,9.5,10.9,9.2
7.1,29.1,6.7,41.1,41.3,20.8,14.7,9.7,2.6
10.81,27.3,5.6,27.1,55.6,16.2,8,8.9,3.6
7.5,30.47,5.9,21.4,29.3,19.3,8.4,9.74,5
12.3,29.1,6.7,30.6,24.2,15.5,8.4,9.5,1.6
16.4,30.5,9,33.5,33.9,21.8,12.4,9,7.3
11.8,30.47,2.8,42.5,31.4,14.4,10.8,10.3,5
12.6,34.7,7.4,26.3,26.5,23.1,6.7,8.3,3.2
16.5,29.3,8.6,34.1,36.8,17.8,9.2,9,3.2
19.3,26.4,4.8,35.9,35.1,22.3,8.5,8.4,3.6
13.1,31.8,6.9,29.5,45.7,16.6,9.6,9.1,4.1
9.5,31.7,13.3,31.4,35.1,17.9,8.2,7.8,2
10.2,30.9,9.8,38.2,29.3,27.2,8.3,9.3,2.8
10.6,27.5,7.8,24.2,38,19.5,7.4,9.3,3.9
17.9,42.1,5,33.7,27.3,16,9.2,9.2,2.8
6.5,39.5,6.8,33,27.3,16.8,5.3,10.4,4.3
13.2,26.5,8.6,31.5,39.3,13.2,7.5,8.1,3.8
15.5,36.5,5.9,38.8,34.4,18.3,6.9,11.9,2.5
12.5,29.7,12.1,26.4,26.1,15.6,4.6,8.1,4.4
9.6,25.8,8.7,33.1,50.7,23,13.2,6.9,5
7.9,32.3,3.1,36.4,42.3,17.3,7.1,8.5,8.7
10.6,46,6.8,27.1,35.3,17,7.6,8.3,4.5
8.8,30,5.5,29.9,33.3,14.4,12.3,9.3,3.7
8.3,33.2,10,34.1,30.8,29.6,6.3,11.7,2.8
16.1,37.8,6.1,32.8,35.9,14.6,3.9,8.3,8.5
5,26.1,9.5,33.9,31.2,15.6,5.7,9.3,4.7
18.4,42.6,10.6,29.1,26.5,24.8,2.6,8,2.4
23.3,29.7,7.5,41.5,41.4,29.8,14.3,8.9,6.8
12.1,35.2,9.6,39.9,40,17.97,3.5,6.5,4
13.1,30.1,6,35.2,35.3,23.3,9.5,7,2
20.6,29.8,6.9,32.2,35.5,24.6,9.5,7.4,3.1
12.6,38.1,10.1,34.6,35.9,17.5,8.7,12.6,3.8
1.5,26.6,9.5,32.5,32.8,21.4,13.9,6.6,1.5
22.7,32.4,8.2,36.8,55.4,25.8,7.6,8.4,4.5
11,39.3,6.4,18.6,25.7,14.8,4.5,13,3.1
14.9,28.3,4.4,28.6,37,24.1,9.7,10,3.9
5.8,27.6,5.6,31.8,46.1,22.8,9,9.7,3.6
8.8,24.2,10.9,37.4,36.2,22,6.2,7,4.6
6.5,26.3,6.7,32.5,16.1,17.7,9.1,10,3.3
12.7,35.1,9.2,35.8,34.3,27.1,9.2,7.1,7.6
8.2,32.9,8.7,33.6,39.8,14.2,9.5,10.1,8.3
16.7,33.8,8.9,35.7,29.5,17.9,6.7,7.4,1.9
10.4,46.8,9.1,29.5,31.1,19.4,9.8,6.6,2.8
12.4,31.3,5.7,38.3,30.5,21.3,3.6,6.2,5.8
11.8,28.7,8.4,29.5,27.3,22.5,9.7,11,2.2
13.6,30,7,31.67,32.7,25.6,8.3,8.2,2.2
17.9,27,2.5,40,31.3,25.6,6.3,6.9,3.4
10.2,43,5.8,39,30.1,16.2,7.9,7.7,4.3
12.5,31.1,6.5,38.1,44.4,21.8,7.4,11,7.4
6,30.1,5.6,31.6,27.9,16.8,7.1,8.8,1.9
12.1,30.47,6.3,37,28.5,16.1,3.6,8.1,4.3
4.7,29.1,7.5,35.7,34.9,17.1,6.6,10.4,5
9.5,28.5,4.5,20.7,23.3,18.9,14.7,12,3.21
14.1,23.9,5.5,27.1,38.3,18,11.3,8.2,7.4
5,30.9,9.5,32.6,24.4,19.9,5.8,9.74,2
9.8,46.2,4.3,36,15.4,19.7,6.3,8.3,4.7
11.6,22.8,3.6,34.3,60.4,21.5,7.3,10.4,4.2
23.1,26.2,8.7,31.1,13.8,11.9,5.9,7.8,3.9
13.4,27.2,9.2,32.1,21.9,18.4,15.5,8.1,2.4
7.5,33.5,5.7,36.2,35.5,28.8,10.1,8.3,3.9
15,39.3,12.4,31.1,31.5,18,4.1,9.8,2
17.5,48,11.3,28.1,34.6,22.3,6.1,9,4.6
8.8,38.5,6.6,26.1,32.2,13.3,6.6,8.5,4.6
8.1,35.7,5.6,34.6,36.3,13.8,6.8,10.5,2.6
12.7,43.8,10,22.5,57.4,12.7,8.8,8.1,3.21
7.6,40.6,7,44.4,30.9,16.8,9.3,9.8,3.2
10.8,35.1,5.3,35.1,39.5,25.6,4.6,11.7,4.5
18.1,25.5,6.6,32.4,35.8,16.2,5,8,3.9
7.8,32.3,4.8,25.8,52.3,15.1,4.4,9.6,4
13.7,22.3,9.5,30.7,34.4,36,11.8,8.6,2.4
14.1,30.7,9.2,31.6,23.8,37.9,12.3,10.9,5.6
9.6,45.1,8.1,44.7,45.4,19.2,11.1,6.7,2.5
8.6,25.3,13,35.7,42.8,14.6,6.9,7.8,1.1
14.1,45,5.2,16.4,33.2,24.7,8.7,6.4,3.21
9.3,27.6,9.6,34.5,29.3,15.2,11.2,8.8,3.1
16.1,31.5,6.4,37.4,33.6,17.7,10.1,9.7,1.6
17.4,26.9,8.4,38.1,31.2,14.9,9.6,6.7,2.2
10.5,25.9,3.5,33.6,39,17.97,9.9,9.2,2
9.4,37.6,5.4,30.5,47.9,27,7.6,10.7,3.21
13.5,36.6,10.3,33.6,35.5,30.6,9.8,10.4,5.3
8,26.9,8.2,26.8,33.2,30.9,9.5,9.74,1.4
13.2,39.1,8.1,34,36.9,14.3,11,9.7,7.1
10.81,27.2,7.2,38.6,34.2,10.8,13.2,8.6,5.2
8.9,32.2,8.1,26.2,28.4,26.4,6.3,8.6,5.5
21.9,22.4,7.6,35.3,34.7,22.2,8.1,6.5,3.8
17.9,39.6,4.7,30.6,31.4,16.6,6,9.2,1.9
10.5,52.1,6.7,29,18.6,21.7,10.3,7.9,2.8
11.8,46.3,8.2,40.7,34.7,18.5,14.3,8.4,2
12.9,24.4,5.7,33.7,32.8,18.7,13.8,9.4,3.2
9.6,32.7,10,30.9,29.2,21.7,7.3,12.6,4.5
10.6,26.5,2.9,32.9,25.7,20.1,9.3,8.3,2.4
7.6,27.5,6.6,29.5,44.9,13.8,14.1,8,1.9
13.5,28.7,4.1,33.6,23.4,20.5,4.8,8.3,4.8
5.9,33.5,5.7,30.8,41.8,36.7,11.3,12,3.9
21.5,35.7,5.8,32.4,23.9,15.6,6.3,8.7,7.7
5.5,39.9,6.6,38.1,34.6,19.4,9.4,6.2,4.6
5.4,29.9,5.2,28.4,28.6,21.5,6.1,8.9,4.7
13.6,32.4,3.5,28.3,44.1,28.9,6.3,8.7,3
11,50,4.8,37.1,27,24.4,11.1,8.3,4
10.7,33.7,4.1,24,32.1,20.3,10.9,6.9,4.4
10.9,36,7.5,31,33.7,13.5,7.6,9.6,4.4
10.3,31.1,10.3,31.6,40.4,15.1,9.3,9.2,4.6
9.4,47.7,5.6,31.67,42.8,16.1,4,10.7,2.2
12.7,43,10.7,32.4,19,17.9,11.5,9.74,2.9
10.7,32.3,7.5,31.8,34.5,17,9.7,11.7,4
13.6,43.4,6.7,32.1,25.4,15.5,6.3,10.1,4.7
16.3,25.4,4.2,28.3,56.6,15.3,4.9,8.6,2.4
13.1,27.2,5.9,31.67,32.6,22.2,9.1,8.1,3.5
5.7,23.9,4.8,36.2,38.2,15.4,5.4,9,4
5.6,29.9,4.1,30.5,30.7,31.3,7.4,10.3,2.5
10.81,28.7,12.8,40,36.4,17.2,8.3,7.9,3.21
11.2,35.9,8,30.4,42.3,19.3,4.7,7.8,2.5
17.2,26.1,2.9,34,51.8,30.4,4.6,8.1,3.2
9.9,20.4,8,33.8,26.3,15.6,8.1,8.2,2
10.2,35.5,5.4,22.1,29.3,23,8.3,10.1,1.8
8,34.5,9.4,37.6,28.2,24.5,5.3,8.5,2.2
6.3,24.5,9.9,31.67,31.9,12.4,7.5,7.8,3.7
10.81,25.5,5.1,32.5,37.3,31.3,5.7,6.4,4.3
10.6,30.47,4.6,34.2,51.6,21.7,9.2,8.1,2.4
5.7,33.4,5.2,33.2,25.6,21,5.1,8.9,3.9
9.7,34.4,6.3,31.67,29.3,11.2,7.4,9,6.8
9.2,22.7,8.6,11.5,28.8,17.5,5.4,7.8,3.6
7.9,30.4,6.8,29.8,27.4,11.4,4.3,7.9,1.7
8.4,23.9,3,25.2,28,22.8,7.4,11.5,5.8
8.1,23.4,5.9,34,47.9,29.8,8.6,6.9,3.9
6.2,30.47,7.7,32.7,36.1,24.7,11.5,12.1,6.7
10.8,41.1,10.4,28.6,26.3,12.1,8.2,8.3,2.9
10.81,25.7,5.7,34.9,48.6,12.2,9.9,11.9,4.2
12.1,20.3,9.1,38.4,25,17.3,6.3,6.6,7.6
16.1,28.5,6.9,27.4,36.4,37.6,6.3,8.1,2.6
12.5,33.4,9.5,38.8,49.7,17.7,6.1,7.4,3.8
5.2,31.4,5.3,25.3,49.6,23.3,6.5,10.3,3.2
7.4,28.4,7.9,32.7,40.5,13,6.4,8.4,3.7
15.8,23.4,0.9,27.7,50.4,17.9,10.1,9.1,2.2
5.8,24.5,8.1,33.5,31.7,14.1,9.5,7.8,3.2
17.3,31.1,2.5,34.3,29.3,19.8,6.5,7.9,3.21
2.4,22.7,4.5,34.7,26.8,14.8,6.4,7.3,0.9
11.7,35.2,8.2,38.2,42.4,17.8,4.7,6.7,3.2
7.2,29.8,4.2,41.1,40.9,17.1,8.9,7.8,5.8
8.6,25.4,5.4,35.1,21.7,19.5,8.4,8.3,3.6
8.7,21.7,1.7,31.2,17.3,18.4,10.1,10,3
9.2,32,5.5,13.9,39,14.8,6.9,9,3.5
7.7,27.9,9.6,32.4,47.6,25.4,7.5,8.8,6.6
10.4,43,5.6,34.9,29.8,17.97,7.1,8.2,7.5
20.6,40.7,5.6,32.8,32.9,19,8.7,8.5,1.8
10.2,40.1,7.5,33.2,39.4,16.4,12.8,9,4.3
8.6,30.47,4.3,20.4,26.4,13.7,6.6,7.9,4.3
6.3,35.9,8.5,30.3,30.9,12.4,6.8,9,3.1
9.5,25.4,6.2,34.1,32.4,26.6,9.3,11.7,3
7.3,40.6,10.7,36.6,26,17.9,6.2,7.8,4.1
9.6,27.1,5.6,35.8,32.8,17.8,5.4,10.4,1.6
20.4,25.1,5.6,24.5,29.4,16.1,8,7.9,2.8
19,26.7,8.8,36.2,29.8,13.1,8.4,8.1,4.3
7.2,32,7,32.8,29.9,23.3,7.8,9.2,2.3
9.3,25,8,29.8,9.7,21.2,6.7,7.3,6.4
7.6,23.9,7.9,37.3,33.9,24.7,9.8,8.7,3.3
10.6,29.8,6,33.6,37.9,22.1,4.9,8.7,3
11.9,23.1,8.7,35,46.3,12.3,14.7,9.74,3.4
18.8,33.2,6.5,33.3,31.7,20.9,8.1,11.1,2.9
6.3,24.2,8.7,19.2,50.5,18.8,9.2,8.4,3.5
8.2,28.1,6.8,33.7,39.7,25.3,5.8,9.5,7.4
8,38.2,11.7,36.2,49.6,18.4,6.3,8.4,4.4
8.1,25.3,9.3,32.1,34.4,27.9,6.8,8.8,2.1
19.6,35.9,7.5,34.3,39.2,15.8,9.3,9,2.9
10.1,27.5,8.4,29.6,35.3,21.4,6.8,8.3,3.1
10,42.4,5,31.1,20.7,21.1,9.3,7.9,5.4
8.6,30.47,4.7,39.8,27.9,19.8,9,10.3,6
7.6,22.6,6.8,28.7,29.3,26.4,6.7,7.2,3
9.2,30.47,3.7,26.9,31.5,32.2,5.7,10.6,5.3
6.3,25.2,7.4,28.4,29.2,25.7,6.6,12.1,3.4
10,22.9,5,33.6,40.9,20.5,8.2,7.8,3.21
9.4,31.5,6.6,32.3,31.5,28,10.7,9.1,3.2
9.6,33.2,3.4,29.5,32.9,16.5,7.2,8.9,4.1
8.8,29.9,7.9,34.4,27.7,18.1,7.4,7.9,2.5
5.5,24.9,3.1,28.2,37.5,15.7,9.1,11.9,1.7
13.3,26.6,6.2,29.4,33.1,15,8.6,9.74,5.6
15.7,27.7,6.3,32.1,43.6,17.5,9.4,8.5,3.1
11.9,23.2,9,29.8,30.1,14.6,5.5,7.8,4.4
8.6,35.3,10.2,35.7,30.2,24.4,8.1,7.7,3.7
11.1,28.4,5.6,34.8,39.1,15,8.1,7.9,4.5
6.5,37.3,5.4,36.1,31.7,18.2,10.8,7.4,2.5
10.3,21.1,10.3,22.4,20,21.7,3.9,9.5,4.1
5.6,25.9,8.2,33.3,15.5,11.5,9.3,8.1,4.1
10.2,28.8,10.6,32.4,25.4,16.3,7.1,8.9,2.9
30.9,32.1,5.6,34.5,43.3,19.9,5.6,12.1,5.4
16.2,33.5,5.6,28.7,34.7,14.2,16.3,8.5,3.21
7.1,41,5.3,12.8,48,20.8,6.6,8.2,3.9
10.4,30.8,4.6,33.9,33.7,25.4,7.9,8.1,2
16.2,22.6,6.4,38.2,36.9,17.3,3,11.9,2.7
12.9,29.1,3.4,9.1,31.8,22.2,6.3,7.5,3.3
13.5,23.8,3.8,31.9,21.9,16.7,6.3,12,2.9
8.8,32.9,7,32.2,47.8,20.9,8.9,7.3,6
9.2,27.6,3.2,25.9,33.1,11.7,10.2,9.4,2.5
12.8,30.9,5.8,28.2,29.6,16,6.7,8,4.5
12.5,26.9,8.7,34.7,50,25.8,5.4,7.3,3.5
4.6,35.1,7.9,35.8,35.9,22.2,4,8,3.6
18.6,22.9,5.6,36.8,31.3,18.9,4.1,7.3,3.3
6.8,23.9,4.2,30.9,40.1,16.5,9.1,9.9,4.8
7.5,36.5,7.3,22.8,34.1,14.8,5.3,8.6,6
3.9,24.7,5,36.7,24.3,15.3,11.3,10.4,6.6
6.3,23.7,3.2,30.6,29,13.2,8.3,7.4,2
18.3,33.5,3.9,30.3,41.7,14.9,8.1,10.5,4.7
6.6,30.47,5.8,36.1,19.9,13.8,2.6,8.1,3.5
21,21.2,8.4,32.3,34,21.7,5.7,8.1,2.1
9.9,29.9,10.1,28.1,29.3,14,11.3,12.2,2.7
8.9,30.47,4.3,37.7,32.9,13.9,6.3,8.4,3
8.6,26.4,3.2,35.7,28,20.6,6.9,10.6,2.6
6.7,31.4,8.4,31.67,32.9,18,9.8,8.5,1.8
12.8,24.2,9.4,37.1,27.4,17.97,6.3,7.2,3.21
11.3,30.8,6.3,21.8,20,24.7,12.3,7.3,4.3
5.6,23.1,8.6,36.9,24.6,23,7.4,12.4,3.4
11.3,33.1,5.3,28.9,38,31.1,9.7,12.5,2.2
7.7,24.4,9.3,17,51.6,17.97,5.3,9.74,2.1
