Year,HD_M_Value,HD_M_US,HD_M_REL_US,HBP_M_Value,HBP_M_US,HBP_M_REL_US,HC_M_Value,HC_M_US,HC_M_REL_US,OB_M_Value,OB_M_US,OB_M_REL_US,DB_M_Value,DB_M_US,DB_M_REL_US,Target_Value
2017Centract,6.1,6.4,-0.046875,28.4,32.4,-0.12345679,19.1,34.1,-0.4399,27.1,30.1,-0.099667774,24.5,10.8,1.268518519,2.9
2017Centract,5.1,6.4,-0.203125,13.7,32.4,-0.577160494,35.5,34.1,0.0411,28,30.1,-0.069767442,17.9,10.8,0.657407407,3.7
2017Centract,3.6,6.4,-0.4375,29.1,32.4,-0.101851852,30.7,34.1,-0.0997,29.6,30.1,-0.016611296,14.9,10.8,0.37962963,2.1
2017Centract,6.4,6.4,0,28.9,32.4,-0.108024691,20.8,34.1,-0.3900,46.6,30.1,0.548172757,10.7,10.8,-0.009259259,3.3
2017Centract,4.8,6.4,-0.25,30.6,32.4,-0.055555556,32.3,34.1,-0.0528,39.2,30.1,0.302325581,21.2,10.8,0.962962963,1.6
2017Centract,3.2,6.4,-0.5,27.1,32.4,-0.163580247,35.7,34.1,0.0469,26,30.1,-0.136212625,13.2,10.8,0.222222222,1.9
2017Centract,3.4,6.4,-0.46875,26,32.4,-0.197530864,29.4,34.1,-0.1378,42.6,30.1,0.415282392,10.6,10.8,-0.018518519,3.4
2017Centract,6,6.4,-0.0625,31.4,32.4,-0.030864198,26.8,34.1,-0.2141,47.5,30.1,0.57807309,18.4,10.8,0.703703704,3.6
2017Centract,4.4,6.4,-0.3125,28.4,32.4,-0.12345679,34.7,34.1,0.0176,21.1,30.1,-0.299003322,13.7,10.8,0.268518519,3.7
2017Centract,3.9,6.4,-0.390625,25.9,32.4,-0.200617284,30.8,34.1,-0.0968,40.9,30.1,0.358803987,11.1,10.8,0.027777778,1.8
2017Centract,4.5,6.4,-0.296875,13.2,32.4,-0.592592593,33,34.1,-0.0323,21.3,30.1,-0.292358804,13.2,10.8,0.222222222,3
2017Centract,5.3,6.4,-0.171875,29.6,32.4,-0.086419753,43.7,34.1,0.2815,21.2,30.1,-0.295681063,11.1,10.8,0.027777778,3.4
2017Centract,4.3,6.4,-0.328125,35.1,32.4,0.083333333,33.7,34.1,-0.0117,23,30.1,-0.235880399,11.5,10.8,0.064814815,2.9
2017Centract,4,6.4,-0.375,28.9,32.4,-0.108024691,33.9,34.1,-0.0059,50,30.1,0.661129568,13.1,10.8,0.212962963,3.4
2017Centract,4,6.4,-0.375,31.4,32.4,-0.030864198,31.9,34.1,-0.0645,28.6,30.1,-0.049833887,11.4,10.8,0.055555556,3.3
2017Centract,3.8,6.4,-0.40625,27.5,32.4,-0.151234568,32.6,34.1,-0.0440,30.9,30.1,0.026578073,12.9,10.8,0.194444444,2.8
