HD_M_Value,HD_M_US,HD_M_REL_US,HBP_M_Value,HBP_M_US,HBP_M_REL_US,HC_M_Value,HC_M_US,HC_M_REL_US,OB_M_Value,OB_M_US,OB_M_REL_US,DB_M_Value,DB_M_US,DB_M_REL_US,Target_Value
4.2,6.4,-0.34375,32.3,32.4,-0.00308642,34.1,34.1,0,30.3,30.1,0.006644518,12.2,10.8,0.12962963,3.4
4.7,6.4,-0.265625,28.3,32.4,-0.12654321,21.8,34.1,-0.360703812,30.6,30.1,0.016611296,10.8,10.8,0,9.2
5.8,6.4,-0.09375,33.8,32.4,0.043209877,36.7,34.1,0.076246334,17.3,30.1,-0.425249169,9.9,10.8,-0.083333333,3.1
4.4,6.4,-0.3125,27.4,32.4,-0.154320988,27.1,34.1,-0.205278592,22.1,30.1,-0.265780731,14.7,10.8,0.361111111,2
4,6.4,-0.375,33,32.4,0.018518519,35,34.1,0.026392962,25.7,30.1,-0.146179402,8.1,10.8,-0.25,7
3.5,6.4,-0.453125,24.4,32.4,-0.24691358,27.5,34.1,-0.193548387,25.3,30.1,-0.159468439,11.4,10.8,0.055555556,2.6
5.5,6.4,-0.140625,28.1,32.4,-0.132716049,33.7,34.1,-0.011730205,22.5,30.1,-0.252491694,3.4,10.8,-0.685185185,2.9
4.1,6.4,-0.359375,26,32.4,-0.197530864,32.6,34.1,-0.04398827,22.8,30.1,-0.242524917,9.7,10.8,-0.101851852,2.6
4.9,6.4,-0.234375,26.6,32.4,-0.179012346,31.4,34.1,-0.079178886,14.1,30.1,-0.531561462,23.1,10.8,1.138888889,2.7
4.7,6.4,-0.265625,27.4,32.4,-0.154320988,33.2,34.1,-0.026392962,28.6,30.1,-0.049833887,9.2,10.8,-0.148148148,2.5
3.9,6.4,-0.390625,31.2,32.4,-0.037037037,30.2,34.1,-0.114369501,29.3,30.1,-0.026578073,12.2,10.8,0.12962963,4
4.1,6.4,-0.359375,25.7,32.4,-0.206790123,37.7,34.1,0.105571848,36,30.1,0.196013289,11.4,10.8,0.055555556,3.7
