HD_M_Value,HBP_M_Value,HC_M_Value,OB_M_Value,DB_M_Value,Target_Value
4.4,31.4,42.2,35.1,13,2
4.5,24.7,31.1,18.6,6.7,3
2.3,25.1,30.7,22.6,5.8,3.2
5.3,23.1,32.9,19.9,14.3,2.8
5.2,37.4,32.6,33,6.6,2
2.9,25.4,29.8,33.5,5.1,3
4.9,26.4,31.4,20.5,12.2,1.8
5.9,30.2,28.6,24.5,8.7,2
5.7,27.2,32.1,30,16.6,1.4
5.3,22.8,31.3,21.3,9.6,2.5
3.8,26.1,32.1,19.6,13.1,1.9
2.5,21.3,31.7,21.1,4.8,2
4.6,26.2,29.3,28.8,10.4,1.7
7,24.8,32.6,34.6,9,4.1
5.1,26.4,33.2,34.1,12.8,1.3
4.9,25.9,34.9,20.9,5,2.7
5.4,30.5,29.7,27.1,7.2,4.1
5.6,24.2,30.5,20.3,8.1,2.3
5.5,24.5,33.8,30.1,7.7,2
4.1,30.3,31.1,18.7,8.9,3.1
7,21.7,33.2,22.5,13,4.7
3.8,21.8,30.6,33.8,15.2,2.4
5.6,26.3,32.7,17.9,6.4,2.9
6.8,25.9,25.8,21,8.6,3.3
3.2,26.2,30.7,33.9,8.7,2.2
5.6,26,29.1,22,10.1,4.2
5.5,22.8,37,29.4,8.1,2.5
6,21.9,30.6,31,14.8,2.4
5.2,24,35.5,32.7,12.6,1.1
6.5,29.2,21.6,26.1,7.7,3.3
4.1,38.4,31,26.3,8.4,2.4
13.4,27.7,32.6,29.4,5.8,3.4
4.7,28.4,32,22.2,5.5,2.3
4,51.9,33,19.9,9.7,3.1
5,23.5,32.4,23.9,8,2.1
5.6,25.5,29.7,31.7,11.1,2.6
4.9,26.4,31.1,29,8.7,4.3
3.9,23.9,35.2,30.9,5.5,3.4
5,22.6,33.5,26.6,8,4.5
5.3,21.7,29.5,27.9,19.8,1.8
6.3,23.7,28,20.2,12.1,2.7
3.1,24.3,32.8,20.8,11.1,3.1
4.2,25.3,30.1,30.1,7.2,2.8
4.6,25.7,31,21,6.8,1.4
4.9,17,33,17.8,6.9,2.9
3.4,26.8,29.8,23.8,14.5,2.4
5.8,28.4,30.3,24.3,12.8,2.4
5.8,27.9,31.6,33.1,7.5,4.1
12,23.5,31,34.1,5.9,2.8
6.1,30.6,34,27.1,7.9,3.5
4.6,30.1,28.9,30,15.2,2.7
5.6,24.9,34.8,33.6,8.6,1.8
5.4,31.1,33.1,16.8,7.9,5.4
3.2,22.9,33.1,17.3,16.3,2.6
4.6,19,31.3,33,7.8,3.4
4.8,23.5,32.8,28.8,14.1,4
4.1,23.8,32.7,21.2,5.9,2.9
4.7,32.6,30.9,18.9,13.2,2.6
6.9,26.2,30.8,31.5,11.5,4.3
0.5,29.5,31.4,19.3,8.8,3.1
4,21.4,24.2,22.8,6.9,3.2
5.5,29,27.9,20.5,8.8,3.8
5.1,35,29.8,23.5,16.9,3.6
3.8,26.9,33.8,19.6,18.5,2.6
4.9,15,30.8,20.4,10.9,2.3
4.8,18.5,31,28.2,21.1,2.4
6.5,24.2,31.4,22,8.3,2.6
4,24.7,30.3,22.8,7.1,2.4
4.2,28.8,29.2,36.2,9.2,2.1
6.4,27.9,29,27,6.4,2.8
4.5,19.8,29.6,29.8,7.7,1.8
5.7,22.1,27.5,33.4,6.5,2.6
5.6,31,34.6,27.5,7.8,2.5
4,23.9,33.1,20.4,7.7,2.4
5.8,24.5,23.6,23.6,7.7,3.2
3,27.1,32.4,34.7,8.5,2.7
5.2,25.4,34.4,17.8,8.9,2.9
4.6,38.9,31.7,20.2,3.1,2.9
2.9,40.2,32,33.8,4.6,1.6
4.3,25.3,33.8,34.4,16.8,2.6
4.4,27.6,34.3,17.3,16.7,2.8
5,24.3,34.9,19,7.2,2.4
5.8,22.9,32.2,27.8,17.9,2.1
5.6,36.3,33,32.5,8.5,1.8
5.3,25.5,29,35.6,9.1,2.8
4.9,24.3,32.6,36.2,12.9,1.7
5.5,26.4,29.6,21.7,11.3,1.8
5.4,23.8,28.8,20.3,6.5,3
7.8,27.1,31.2,20.8,6.4,3.3
3.2,20.8,32.6,28.8,8.1,2.2
5.6,30.4,32.6,16.8,6.1,3.2
3.6,24.7,29,32.2,17.6,2.4
4.8,24.4,30.1,19.5,6,2.1
2.5,25.8,37,18.5,18.6,1.6
6.1,27.4,30.5,24.4,7.9,2.1
6.3,30,31.1,21.5,13.8,3.9
5.5,18.7,20.1,17.8,12.2,2.7
6,24.7,31.3,28.5,7.6,2.9
4.9,29.5,26.4,20.5,11.1,2.7
5.3,23,31.3,25.5,9.4,3.6
3.4,28.6,30.1,21.3,7.5,2.3
5.7,24.1,26.3,29.9,6.5,2.9
4.7,21.6,30.4,32,11.4,3.2
6.1,26.6,31.3,18,9.9,3.4
2.2,28.6,32.5,24.8,4,2.4
3.9,24.6,34.3,30.2,11.2,2.4
5,26.6,24.4,20.6,6.5,3.7
4.9,29.4,28.5,26.5,7.2,3.3
4.8,30.1,26.9,47.5,7.8,2.7
4.2,23.8,30.8,25.1,6.5,3.9
4.8,23,31.5,33.4,7.3,2.8
4.9,27.3,32.3,21.1,13.9,2.1
4.7,29.4,30.2,29.4,6.1,3.5
4.3,29.9,33.8,35.3,7.3,2.7
4.7,25.8,28.9,34.1,7.5,2.2
5.2,20.6,30.2,20.6,7,2.1
6,25.7,30.2,33.9,14.6,3.9
4.2,23.5,29.9,27.2,10.7,2.4
5.2,25.8,31.8,34,7.7,2.8
5.4,20.6,31.6,33.7,8.4,2.9
2.6,36.7,27.5,22.6,5.1,2.2
6.2,21.9,29.7,18.3,12.5,3.6
4.3,20.6,34.1,25.3,9.6,3.1
5.3,23.8,29.5,31.9,22,4.1
4.6,24.8,29.8,23.8,12.2,2.6
5.8,30.5,27.3,19.2,14.9,2.7
5,24.5,34.4,26.7,9.2,1.4
4.7,23.1,32.3,31.3,11.3,3
3.5,29.5,33.3,33.6,8.6,3.6
4.5,23,33,29.7,9.2,3.4
7,27.5,29,19.8,7.5,2.8
3.5,22.1,30.8,34.7,9.2,2.9
7.5,26.9,31.9,28.2,8.5,2.2
5.7,25.6,29.8,22.6,6.9,2.7
5,24.8,28,23.1,7.2,2.4
4.9,26.3,30,16,10,0.9
3.4,21.4,33.1,36.4,5.5,3.2
5.2,10.9,34,18.4,6.2,2.5
5.2,27.7,32,26.4,11,2.8
4.4,26.4,36.4,29.6,7.6,3.6
5.1,26.6,31.4,25.2,7.7,2.6
5.2,24.9,34,20.4,10.3,2.4
4.8,28.1,31,22.5,5,2.6
5.4,26.7,30.1,30.3,7.4,2.6
5.5,29.4,36.9,35.5,7,3
4.8,28.3,24.8,30.5,6.2,2.6
3,25.4,26.9,23.6,5.8,3.4
4.4,25.7,26.3,28,15,2.5
6,22.4,27.5,33.5,7.8,2.5
4.7,23.6,31.3,27.7,12.6,2.5
4.3,23,32,23.5,6.9,2.1
5.2,28.4,26.4,20.4,7.6,3.1
6,24.7,31.2,19.3,5,2.6
4.5,24,30.8,21.1,15.6,1.8
4.4,22.8,36.1,34.4,6.9,3.9
5.1,28.5,33.7,11.7,14.5,2.5
4.3,24.6,27.4,28.3,13.2,2.6
4.3,32,30.1,19.9,10.8,2.6
3.2,28.7,29.9,31.1,11.4,4.2
5.8,27.9,32.7,32.1,4.8,3.3
5.7,24.9,23.9,22.1,12,2
3.3,27.8,33,23.9,4.2,2.1
5,27.3,32.9,20.5,14.2,2.5
3.1,25.6,30.3,15.7,6.3,2.5
5.2,28.1,31,26.9,7.9,2.5
6.6,25,32,26.8,8.2,2.3
2.4,28.4,29.9,25.2,6.1,3.3
5.6,22.6,30.2,19,12,2.8
4.6,27.1,30,34.4,17.2,2.2
3.5,30.5,30.3,28,11.2,2.3
5.7,24.9,27,25.8,10.5,2
4,25.7,33.8,28.9,12.6,2.5
4.6,22.6,33,29.8,9.3,7.9
4.5,24.1,33.3,19.3,14.4,3.1
4.9,29.1,26.7,33.2,10.5,3.9
5.9,27.9,34.9,18.4,12.6,2
6.3,25,24,33.3,12.5,2.7
3.6,27,29.1,25.6,13.1,2.1
3.9,43.7,34.6,21.9,9.9,3
4.2,21.7,31.4,21.6,31.4,2.3
4.8,26.2,31.8,22.4,11.1,2.7
3.7,22.4,25.6,18.5,18,2.4
5.7,17.7,31.1,29.7,24.2,2
5,24.4,32.1,19.6,10.3,1.8
4.4,23.8,30.7,24.1,9.9,2.6
4.8,19.4,31.2,31,23.7,2.1
4.7,23.8,32.5,17.9,20.2,2.2
5.2,31,28.1,21.9,10.5,2.3
2.9,21.7,27.6,21,11.3,2.5
5.4,24,32,23.4,12.1,4.3
4.4,29.2,33.2,27.3,6.7,3.3
3,27.8,26.7,17.9,19.6,3.4
5.4,25.4,31.8,31.6,16.7,2.1
1.1,27.7,30.8,17,15.2,2.8
4.3,27,34,25.1,17.6,2.4
5.4,25,34.4,26.5,16.7,2.5
4.7,13.8,31.3,19.6,14.4,2.4
5.6,21.1,30.7,30.6,11.2,3.4
4.8,24.8,43.5,23.2,24.6,2.8
4.8,27.2,32.6,33.3,10.7,4.3
4.1,43.1,31.6,26,21.6,2.8
4.3,21.7,33.8,28.9,16.3,2.7
6.6,23.9,29.8,26.7,12.2,3.2
3.5,25.7,30,26,12.9,2.8
4.7,19.6,29.2,25.8,10,2.2
9.4,28.6,29.9,31,12.9,2.9
6.5,19.8,31.4,25.1,20.7,1.7
4.4,23.3,30,24,13.3,7.2
3.2,29.3,37.6,23.3,7.9,2.4
3.7,25.7,28,23.5,10.9,2.9
6.5,33.9,29.5,19.9,10.4,2
4.3,27.5,31.4,22.8,10.1,3.7
6.5,25.2,29.6,21,6.5,2.4
4.3,17.6,28,31.1,9,4
3.8,26.9,32.6,27.6,16.5,3
5.5,24.9,32.9,26.6,10.9,2.6
5.8,26.8,33.7,21.6,13.5,3
5.5,20.5,31.8,22.2,11.4,3.7
2.3,21.9,25.1,22.5,10.7,2.9
5.1,46.6,32.7,18.7,10,2.5
4.2,24.9,31.5,25.1,8.7,1.2
4.8,37.3,36.4,17.4,7.9,2.8
5.2,30.3,24.5,30.1,17.2,2.7
5.8,26.9,32.2,30.6,9.1,3.4
4,28.2,31.6,33.9,8.6,2.5
4.1,21.1,30.9,31.9,15.3,2.8
4.3,23.4,32.2,25.7,12.3,2.6
5.1,25.8,29.7,23.9,16.9,2.2
4.9,24.9,35.1,29.5,8.6,2
4.3,25.6,24,24.7,11.5,1.2
2.9,26.3,14.2,27,13.8,2.6
5.5,39.3,31.6,20.3,9,2.3
5.1,25,26.7,17.8,11.2,2.1
6,26.4,31.7,20.6,9.8,2.5
5,28.8,33.2,23.9,8.6,2.5
5.1,28.6,30.7,36.2,10.4,2.4
5.8,5.5,34.2,35,9.8,3.1
4.7,29.7,32.8,20.3,9.5,3.7
4.8,30.1,32.7,23.6,10.2,2.8
4.8,23.7,34.3,20.1,10.3,2.8
6,26.9,32.6,19.9,10,3.3
6.4,27.8,29.4,33.6,10.5,2.5
5.5,27,29.8,21.5,11.4,3
4.7,27,34.6,34.9,11.6,3.1
5.2,19.7,31.3,19.1,10.9,2.1
4.7,17.1,33.1,30.6,9.8,1.5
4.6,24.4,32.1,34.4,8.8,1.5
4.9,25.8,29.7,12.8,10.4,2.3
4.8,22.8,31.5,28,12.8,4.2
5.8,27.8,31,20.9,9.1,3
5.4,18.3,26,30.6,9.2,2.8
7.3,24,30,32.7,12.9,1.8
4.9,21.9,33,24.5,18.1,2
3,28.6,31.8,25.9,8.5,2.6
3.5,27.3,32.2,20.4,8.2,4.7
5.3,19.4,30.4,27.3,11,3
5.7,26.9,31.7,21.2,8.7,3.5
1.4,25.2,29.8,27.4,11,2.5
6,30.3,32.3,21.1,9.4,2.8
3.8,29,29.8,32.4,9.1,3.4
4.4,24.6,31.6,20.8,8.1,3.7
5.1,30,36.5,26,7.4,3.6
1.9,29.9,32.1,18.3,10.3,2.3
4.7,29.9,31.9,26.9,5,2.3
4.7,25.6,33.2,15.8,9.2,2.8
5.4,19.5,35.7,33.7,9.7,3.2
3.8,19.1,33.1,20.8,8.8,2.7
4.9,24.4,31.3,34.3,8.8,2.2
4.5,25.9,35.4,19.9,8.1,1.7
3.3,25.3,33,31.4,9,2.9
5.3,29.9,32.8,30.2,7.4,2
3.2,46,30.4,22.3,8.9,2.4
5.8,26.4,36.9,16.8,9.1,2.8
3.8,28.2,29,30.7,8.3,4
8.2,27.2,33.4,16.8,12.9,3
3.7,25.9,32.7,27.6,13.3,4.5
5,31.7,27.4,34.3,15.7,3
5,27.7,33.5,25.7,20.9,2.7
4.5,26.1,26.3,25.1,11,2.9
4.3,23.3,31.7,19.1,20.1,2.2
3.9,24.7,31.4,26.6,6.7,2.8
2.3,9.9,31.2,24.6,9.1,1.9
4.1,25.4,34.7,28.1,15.1,4.4
3.5,21.8,27.6,19.8,4.2,4
4.2,26.8,29.9,19.6,12.2,2.5
5.8,31.7,26.7,24.2,16.1,1.8
5.3,25.2,30.4,24.9,12.9,3.8
4.7,18.2,31.9,19.3,11.2,8.9
4.7,23.3,39.1,26.5,19.3,2.8
5.2,26,33.6,21.9,19,2.7
6.1,20.4,31.9,24.1,3.5,3.4
3.5,25.3,29.9,20.5,7.1,4.1
4.8,27.4,26.4,21.2,14.6,2.9
5.7,24.6,29.4,35.5,4,3.2
2.8,25.1,29.6,28.2,13.7,2
5.2,30.2,31.8,30.1,18.4,3.2
6.2,40.8,34.3,26.3,13.7,3
4.6,21.2,33,21,7.8,2.7
5.9,24.9,26.4,29.9,8.8,3.2
5.7,33.1,35.5,34.6,9.5,3.8
4.6,24.3,29.4,32.3,3.9,2.7
4.6,24.5,21.9,34.2,16,2.4
3.9,25.1,32,19.4,10.4,2.3
4.6,15.3,31.6,26.2,5,2.7
4.4,31.4,34.6,20,5.4,4
5,23.7,30.7,20,10.5,3.2
4.1,32.6,30.9,31.5,13.1,2.7
3.9,26.9,25.6,26.1,12.6,3.2
5.2,26,30.3,29.8,15.6,2.2
3.5,24.8,30.8,17.7,17.1,2.1
4.7,28.5,37.1,26.9,6.6,3
6.6,25.4,34.6,32.1,11.6,3.3
4.6,27.7,30.9,28.2,20,2.1
5.4,23.2,32,28.7,17.7,1.3
6,22.9,31.4,19.4,18.7,3.1
5.6,25.9,34.1,34.7,13.9,3.4
5.3,22.1,35.4,16.3,10.4,1.6
4.7,28,27.1,28.4,14.8,2.6
3.2,17,30.7,32.2,18.2,2.4
7.1,34.6,31.6,35.4,11.6,2.1
5.2,30.9,26.6,19.2,7,3.3
4,25,33.5,18.2,2.8,2.6
2.2,26.9,29.2,31.8,10.2,2.3
5.7,33.2,31.6,23.8,10,2.1
4.9,26.1,31.8,20.1,9.7,2.6
4.9,25.7,28.1,35.4,19,2.2
3.2,13.3,32.4,25.6,15.9,3.2
4.7,25.5,28.4,18.9,10.9,2.8
5.2,31.5,30,32.7,17.4,2.5
5,28.7,32.1,20.2,22.8,2.8
6.3,21.6,32.6,27.8,5.4,3.1
5.7,27.7,34.4,33.1,3.9,2.5
5.1,24.6,33.2,28.1,2.8,3.5
5.4,24.9,32.5,22.4,4,2.6
0.9,26,29.7,29.6,2.2,2.8
5.5,31,30.7,22.5,5.8,2.4
5.1,26.3,29.4,36.2,4.6,2.9
4.1,28.1,30.5,20.9,16.6,2.5
5.9,26.3,31.7,30.3,10.7,2.1
5.3,24.1,33,34.2,16.2,3.9
5.8,26.3,31.3,18,11.9,2.6
4.1,38.5,33.3,30.9,12.5,2.7
5,23.9,34.2,17.8,18.5,2.5
5.5,31.5,27.6,28.1,3.5,3.9
4.2,24,33.9,28.2,12.5,2.4
4.1,25.7,32.9,22.2,6.8,4
5.2,16.9,31.9,17.2,13.7,3.3
2.9,22.7,28.2,24.3,7.6,3
5.9,26.4,26.3,24.6,17.6,3.3
4.8,22.4,29.2,18.4,19.8,2
4.7,22.3,34.8,18.9,16.6,2.7
5,31.2,31.1,29,17.2,2.1
4.9,25.6,33.9,18.9,13.7,3.4
4.5,26.2,29.6,23.2,5,2.5
3.5,26.6,29.9,19.7,7.4,4.8
4.3,27.4,29.6,25.7,13,2
7.4,25.1,28.7,19.8,9.5,2.6
5.4,30.5,31.5,18,17.6,3.9
4.5,22.4,31.3,29.3,11,2.8
3.1,28,35.4,27.9,9.5,1.8
4.9,38.3,30.9,29.9,8.1,2
4.2,27.8,35,18.1,11.4,2.3
4.2,25.9,36.1,23.9,17.4,1.9
3.9,24.6,30.7,34.4,10.4,3.1
5.1,24.7,34.7,26.9,8.4,1.9
4.5,28,33.4,28,5.7,2.7
3,22.6,28.5,19.5,13.8,2.4
3.3,26.9,33.3,18.2,3,2.8
6.7,10.6,30.1,26.2,8.5,3
4.2,30.6,33.8,22.2,8.5,1.3
5.4,28.4,31.5,17.5,9.4,4.5
6.3,22.7,30.8,33.8,17.7,1.8
4.6,40.6,37.8,20.4,4.1,2.7
3.3,26.8,31.9,31,17.3,3.4
5.2,20,33.3,28.7,13.7,2.7
5.5,23.9,32.4,26,8.4,3.2
5,27,35.3,18.1,5.4,4.1
5.1,30.2,31.9,19.7,18.5,3.5
3.7,24.8,23,31.9,20.3,2.4
6.3,26.6,31,33.4,11.2,2.6
9,33.2,32.4,22.6,5.9,3.7
5.6,29.7,31,31.2,5.3,3.1
4.8,28.8,32.8,21.1,12.6,4.3
3.7,24,32.7,26.7,15.7,2.6
5,24.8,28.4,33.3,8.2,2.7
4.1,26.2,31.1,22.2,12,2.2
5.5,29.8,34.3,30.6,17.1,3.3
5.5,23.9,33.5,17,7.8,2.9
5,23,33.1,29.1,12.6,2.5
5,34.8,32.2,18.5,11.6,2.9
4.8,25.1,26.4,24.3,14.9,3.4
6.2,27.8,10.8,20.2,15.1,2.2
5.1,27.5,32.4,22.8,7.2,3.4
4.9,25.9,35.4,25.7,19.6,2
5.5,26.3,28.7,24.8,14.1,3.6
4.8,37,30.9,23.7,15.3,3.3
9.6,23.1,31.3,32.7,6.7,3
4.4,18.8,25.7,34.4,3.6,2.5
5.1,30,25.9,33.4,10.7,2.9
3.8,27.5,32.5,19.6,10.2,2.7
4.4,19.2,24.3,20.3,6.2,2.5
5.8,26.4,23.8,21.4,20.5,3.1
5,25.6,29.4,29.9,5.7,2.2
4.5,20.8,29.8,25.1,16.8,2.3
5.6,22.9,32.8,18.9,8.7,3.1
5.7,26.4,34.6,20.4,8.6,1.3
5.4,22.8,29,24.6,11.5,3
3.8,30.2,30.9,25.2,18.1,3.1
5,29.9,34.5,21.5,11.6,2.6
2.6,28,30.7,30.1,9.9,2.9
6.3,37.6,29.9,21.3,13,1.3
4,22.3,31.5,27.8,5.6,1.7
5.7,25.5,30.9,16.4,10.7,3.3
5.3,26.5,33.9,27.4,8.9,2.4
4.7,25.7,32.2,32.6,4,2.7
6.1,24.8,35,25.4,13.8,3.7
4.4,40.4,32.2,34.5,11.6,2.2
6.9,26.4,33.7,18.3,19.4,2.4
5.8,23.4,31.1,20.8,8.6,2.7
6,20.7,35.7,26.7,23.7,2.6
3.2,21.4,31.7,20.6,13.3,2.9
4.3,21.7,27.7,27.4,16.2,2
4,26.8,27.8,30.6,18.9,6.7
5.5,27.3,31.7,28,10.1,3.4
5.5,24.9,32.5,19,12.1,2.7
4.9,23.1,30.9,32.7,4.7,2.8
5.3,28.3,31,27.7,7.9,2.3
5.2,25.9,37.1,18.8,11.3,2.6
4.9,22.3,30.3,23.5,7.2,3.4
3.8,40.8,31,29.3,9.7,2.8
3.9,25.7,29.5,28,11.8,2.2
5.4,22.8,37.2,34.9,10.7,3.6
5,27.5,32.5,35.4,15.6,1.7
2.2,27.7,35.3,24.1,3.6,2.6
6.6,40.8,31.6,18.9,19.4,4.8
5.8,19.3,31.1,22.9,9.1,2.5
5.4,21.8,44.9,33.3,16.5,4.7
5.2,26.3,30.1,26.2,17.6,4
5.1,28.4,29.7,20.4,6.3,2.1
5,32.8,31.2,23.4,3.2,1.7
4.2,34,31.3,18.3,17,2.1
6.3,39.4,33,35.3,7.6,3.3
2.9,28.2,31.5,17.9,10.9,2.9
2.9,23.3,32.5,26.8,10.8,1.5
4.1,31.6,31.9,19.9,10.9,2.6
7.2,30.9,30.6,26.2,11.1,3.3
5.5,24.2,32.3,25,19.6,2.6
4.6,20.9,33.3,22.8,9.6,4.1
3.6,20.8,33.8,20.7,13.8,3.1
7.1,24.7,32.2,20.5,3.7,4.4
7,18.8,31.4,24.8,3.4,2.6
5.5,28.2,32.4,20.1,17.4,3.3
4.4,27,30,32.1,16.2,2.2
4.8,18.3,22.7,30.1,5.7,2.1
5.5,20.8,32.4,27.7,17.5,2.6
4.7,28.8,28.8,25.4,5.4,2.7
4.3,24.7,28.6,20.7,12.3,2.8
3.9,41.9,28.4,18.2,6.6,2.7
5.2,18.7,34.5,32.7,10.3,3
4.6,28,29.9,29.8,3.9,2.4
5.7,29.9,28.1,18.5,7.3,3.4
3.6,25.9,23.9,33.9,5.4,3
5,12.6,29.1,32.5,11.6,4.8
4.8,25.2,30.7,27.2,11.7,3
5,26.7,33.2,19.6,10.3,1.1
4.5,26.5,28.8,17.2,15.4,2.2
5.9,27.6,22.2,25.6,18.7,2.8
2.7,29,34,31.7,10.7,2.8
5.3,25.5,30.1,22.1,5.2,2.2
4.1,34.6,22.9,25,9,2.6
5.8,20.9,33.5,23.3,5.7,2.4
4.4,26.9,32.8,33.9,12.6,2.2
5.1,24.3,30.1,17.9,4.9,1
5,24.3,29.9,17.6,16.4,2.8
3.3,22.2,32.8,25.3,5.1,2
4.5,26,31,22.7,13.8,2.9
5.1,26.8,32.9,24.1,12.4,2.6
3.7,23.4,33.7,26.4,18.1,2.7
4.5,27.4,31.8,30.3,21.4,2.5
5.3,22.2,31.3,33.2,11.4,3.1
5.8,24.8,35.4,20.1,10.4,1.9
5.8,25.8,34.9,23,19.5,3.5
6.1,23.5,32.9,24.7,15.2,2
6.1,30.8,33.1,24.5,12.4,1.7
6.3,19.2,32.3,23.3,11.6,3.2
6.2,25.4,35.8,29.4,7,3
4.8,28.8,26,22,16.5,2.1
3.4,27.3,33.3,19.4,11.3,1.7
5.2,24.1,27,16.6,10.3,3
6.1,31.9,34.7,31.2,13.8,2.7
4.6,46.1,30.4,29.5,9.2,2.6
3.8,25.7,27.4,18.9,9.3,2.4
3.7,24.7,31.7,29,2.2,1.5
5.4,18.8,27.7,33.1,10.7,2.6
5.6,27.9,34,20,9.9,2.6
3.4,24.2,30.2,23.7,8.5,1.4
7,27,8.3,28.8,17.7,2.4
5,24.8,33.4,32.3,19,2.5
4.4,24.8,32.1,24,18.9,2
4.5,32.5,33.5,24.5,5.5,3.5
4.6,23.4,29.8,31.7,18.5,3.8
4,24.7,33.4,28.2,8.9,2.4
3.6,23.3,27.1,26.4,3.7,2.4
3.8,27.1,33.9,25.2,21.9,2.6
5.4,27.6,30.9,20.6,8.7,3.2
5,28.8,30.5,24,16.4,2.8
5.6,21.9,33.9,20.3,17.3,3.6
10.7,22.3,33.5,17.6,9.6,2.3
4.6,25.6,30.8,14.5,10.5,2.4
4,28.8,13.8,29.1,10.4,3.2
4.6,24.2,34.6,25.6,9,2.2
6.2,23.1,30.1,36.2,5.8,4.8
3.5,25.9,30.1,20.2,17.6,2.3
2.4,22.2,21.8,21.8,17.3,2.9
4.4,19.2,28.8,18.7,9,2.3
6.1,26.5,35.7,30.1,5.6,2.8
5.2,36,32.9,25.6,2.2,3.8
5.6,27.4,33.2,20.6,18.6,3.4
5.1,18.2,27.8,20.9,21.1,2.3
5.5,28.4,34.4,28.4,18.3,2.2
4.1,27.4,32.8,23.1,10.9,1.7
3.4,28.6,25.2,29.1,12.2,3.1
4.7,32.6,31.2,29.8,2.9,2.9
4.6,22.2,17.6,32.2,14.1,2.3
5.2,29.7,32.3,21.6,6.9,2.2
6.3,30.3,40.2,27.4,6.7,4.4
6.3,34.3,28.3,39.9,19.4,4
1.5,26.2,34,24.3,10.8,2.3
4.7,37.3,33.6,17.6,17.2,2.8
3.9,24.6,34.2,33.3,12.5,2.8
2.2,18.3,32.5,32.3,3,3.3
5,20.7,34.2,27.5,19.5,4.3
5.9,22.7,31.9,34.3,11.5,2.7
4.6,35.5,35.8,27.8,10.6,2.3
5.8,27,33.2,26.7,18.8,3.6
4.7,16.2,33.2,27.2,17.8,2.7
4.1,32.1,35.8,27.3,2.7,4.2
4.9,23.3,28.6,19.2,10.6,1.6
1.8,16.8,29.6,22,11.8,2.4
5.6,22.4,25.9,18,16.9,3.7
4.3,24.5,32.7,29,13.6,2.4
4.3,24.3,32.3,28.8,4.2,1.5
5.6,29.1,34.6,27.8,19.2,3.3
4.6,20.4,32.4,19.2,8.3,2.6
4.7,25.2,29.1,18.8,15.5,2.9
4.9,30.1,30.1,25.9,11.9,2.1
3.6,28.6,30.8,21.4,15.9,2.7
4.3,9.9,27.3,26.4,14.7,2.9
10.5,26.6,33.3,31.6,8,2.3
5.2,21.5,24.1,36.9,16.6,3.4
4.8,24.8,29.1,20.7,7.8,2.3
5.1,27.5,30.6,21.1,13.6,2.8
5.3,29.8,29.8,27.6,9.5,3
8.8,20.4,29.9,20.8,5.2,2.7
5.3,23.9,30.8,19.2,6,3.2
9.3,25.6,35.6,29.9,9.4,2.4
6.4,29.4,33.9,25.6,17.4,2.2
4.7,24.7,33.2,30.5,6,2.8
5.2,29.5,31,30.5,17.3,3.5
5.2,23.7,31.2,19,19.9,2.4
5.1,23.1,32.5,16.6,19.8,3.3
3.1,22.4,34.9,20.6,6.4,2.5
5.4,27.2,35,18.9,3.6,3.3
4.6,28.6,29.3,30.8,8.9,2.4
4.6,25.6,28.5,27.9,6.9,2.6
5.7,28.4,34.1,33.6,19.2,4.1
5.4,22.1,38.4,27.8,15.9,2.5
10.5,26.8,30.7,17.7,5.5,5.8
4.9,21.2,31.5,21.4,6.4,2.6
4.9,21.1,34.5,38.1,19.2,3.5
4.1,23.2,30.8,38.7,11.6,4.3
6.3,22.3,32,24.6,16.2,2.6
4.2,24.2,27.6,20.3,5,3.1
5.2,25.6,29.6,18.9,11.9,4.3
5,27.6,30.7,24.2,2.3,3.3
5.7,26.9,31.3,34.5,13.7,3.5
3,37.8,33.1,24.4,3.1,3.1
4.3,30.5,33,18.6,19.2,2.9
5.5,24,33.5,21,8.5,2.9
3.8,20.4,32.4,34.9,10.6,2.1
5.1,26.9,28,24,17.2,2.9
5.5,26.3,33.1,27.8,17.5,2.3
4.6,29,29.4,30.3,9.8,1.9
5.5,24.1,27.5,19.4,4.4,3
6.7,29,31.3,20.1,3.5,2.5
4.7,26.8,29,17,9,2.9
3.9,29.8,26.2,31.9,8.5,2.1
3.8,21.6,30.9,35.4,4.4,2.6
4.5,25.7,27.5,19,11.9,2.2
6.4,25.6,31.6,26.4,11.7,4.7
5.5,30.7,32.8,28.1,8,2.5
1.6,29.7,30.6,25.9,9.4,1.2
3.2,35.5,29.7,21.3,4.6,2.1
5,25.5,24,20.6,8.6,3
5.1,20.3,31.4,27.3,14,3.7
5,25.4,34.6,18.8,18.7,2.4
8.2,26.7,31.6,19.6,20.7,2.7
5.5,26.2,31.3,23.9,9.3,3.9
5.3,14.7,28.9,19.2,17.6,4.1
6,27.1,32.3,21.3,17.1,4.3
5.9,20.2,35.1,20.2,20.4,4.3
2.7,26,30.5,31.5,13.7,3.6
5.7,24.3,32.9,23.7,8.7,1.9
6,25,29.3,19.7,12.9,1.9
3.1,26.1,30.9,32.5,14.1,2.8
4.2,21.8,31.4,23.6,13.6,1.8
4.5,26.1,30.9,17.8,7.7,1.8
4.8,29.7,41.1,26.4,14.2,3.2
3.8,25.8,32.2,33.1,2.4,2.8
5.5,28,36.3,26.5,8.8,2.2
5.7,24.8,30.5,14.8,10.7,3.5
4,25.3,34,20.4,12.6,3.2
6.4,25.9,35.4,17.7,7.2,3.3
