HD_M_Value,HBP_M_Value,HC_M_Value,OB_M_Value,DB_M_Value,Target_Value
10.5,49.5,43.1,26.5,12.2,1.8
8.4,47.2,34.6,33.6,23.1,1.5
6.9,39.7,28.6,31.5,19.9,1.4
6.5,39.2,37.3,39.8,16,1.8
6.3,34.6,27.6,41.3,10.9,2.6
7.6,39.5,33.7,35.5,9.8,2.3
4.9,27.3,38.5,36.3,13.2,3.7
10.2,23.5,38.9,25.5,10.2,7.2
3.6,44.1,32.1,39.9,11.9,7.6
6.6,57.6,39.3,26.4,5.7,2.3
9.6,43,40.9,23.6,14,3.7
6.2,35.3,34.4,26.3,9.4,1.5
8,51.9,40.1,27.9,6,1.6
8.5,53,30.2,27.3,5.8,2.4
3.7,36.6,27.5,33,16.6,1.9
7.9,35.7,36.4,29.5,15.2,3.1
4.8,48.5,35.5,28,10.2,2.8
6.5,54,39.2,26.9,9.4,2.7
10.1,26.6,27,26.7,8.7,2.8
6.8,55.5,26.9,38.9,10.4,2.3
6.4,38.9,30.4,28.2,13.4,5.4
9.3,49.7,32.1,26.4,7.6,6.4
7.7,56,39.3,31.4,18.9,4.8
5.1,31.4,30.5,31.8,0.9,2.5
7,53.5,31.6,30.7,7.6,2
11.4,42.1,37.8,43.3,7.2,1.7
4.2,39.4,31.4,37.5,6.3,1.1
5,34.8,26.8,30.9,11.8,1.7
6.3,26.2,35.2,42.6,3.9,2.2
4.7,35.9,36,36,19.8,3.1
6.3,27.8,35.3,42.3,14.3,2.1
3.1,42.7,29.1,41.3,5.8,1.8
6.8,52.2,28.9,47,9.8,1.7
5.5,54.1,46.9,25.9,5.7,3.8
10.6,47.5,39.6,25,9.3,2.9
5.8,38.8,32.3,27.1,9,3.7
13.9,34.1,39.7,47.5,5.8,2.1
6.3,32.6,20,47.8,8.6,2.3
8.3,36.2,40.1,45.9,11.4,2.1
7.8,31.7,29.1,22.8,8.4,4.8
10,58.9,33.2,24.7,7,6.2
7.6,23.5,23,33.2,7.6,3
10,36.9,32.1,24.2,7,4.5
3.6,40.8,30.8,30.2,9.5,1.8
8.9,36.2,35.4,39,3.1,5.4
9.7,55.3,32.3,43.4,10,6.3
13,41.4,20.2,32.5,7.2,2
3.6,35.9,28.9,29.1,13.5,3.8
1.8,50.8,37.8,48.7,10.8,7.6
12.9,44.9,28.1,23.3,9.6,4.8
6.9,33.8,39.9,30.9,11.4,2.3
12.2,47.7,38.8,26.6,9.4,3.8
8.9,40.4,38.3,46.4,8.7,2
7.2,37.2,23.2,47.5,7.6,1.9
10,33.7,34.3,48.3,8.2,3.2
6.4,35.7,32.6,42.1,3.9,2
4.6,35.9,39.4,29.1,6.2,1.9
6.9,29,39.5,32.5,8,7.2
13.2,48.3,32.3,29.8,7.8,2.1
5.5,30.5,36,50.6,9.8,1.9
9.9,55.8,40.7,42,11.7,2.2
9.3,47.6,30.1,53.7,8,3
7.7,34.8,32.9,31.5,8.3,3.5
10.6,52.7,37.5,28.5,7.6,1.5
6.1,24.1,34.2,25.3,8.8,2.2
7.1,37,36.2,30.4,8.5,2.7
3.2,37.1,27.4,39.8,7.2,4.5
7.5,25.2,24.6,37.6,10.7,2.1
7.5,35.2,23.8,32.1,10.4,2.3
6.7,34.5,8.6,42.1,9.5,7.3
7.8,36.8,29.3,37.4,7.7,2.4
10.3,39.2,26.2,34.4,7.4,3
5.1,39,33,30.2,8.1,4.2
6.9,44.4,28.8,53.8,13.9,8.2
7,35.3,31.3,28.8,9.2,1.1
10.6,46.9,33.4,48.6,6.4,7.2
6.4,37.1,37.6,25,12.9,2
8.6,59.1,29.3,21.2,10.3,2.6
9.7,49.1,33.6,52.4,8.9,2
4.8,38.7,36,35.7,7.8,2.7
8.2,46.8,35.6,32.3,8.6,8.2
4.8,23.3,22,32.3,8.2,5.5
4.9,27.5,35.5,33,8.5,1.5
4.8,52,37.9,42,11.5,5.6
7,45.9,36.5,37.8,11,5.7
11.4,36.5,31.1,29.1,7.1,2.9
4.5,40.5,22.7,49.4,7.2,7.1
2,43.9,36.2,44.2,7.5,3.8
5.9,42.1,40.9,25.9,8.7,4.2
2.2,40.8,31.9,28.4,13,2.4
7.1,51.3,36.3,30.2,8,2.6
4.5,59.6,33.8,40,9.6,2.3
5.9,31.2,32.8,36.9,9.6,1.5
10.1,33.1,25,30.7,6.9,4.3
4.8,25.9,33.8,29.1,10.3,4
3.3,43.2,36.6,35.4,7.3,4
8.9,45.8,22.4,26.2,6.3,3.5
3.7,31.4,31.4,33.7,8.4,1.7
10.7,31.5,36.3,28.3,7.4,2
7.8,39.8,30.6,42.3,6.7,2.9
6.6,41.6,35.1,32.5,7.3,2.2
3.4,28.5,36.6,40.6,9.8,1.9
5.6,55.1,35.4,47.3,8.2,1.4
11.2,33.9,27,24.3,6.5,2.9
7.1,34.1,28,24.6,10.2,6.7
5.6,38.6,30.4,34.8,12.9,5.1
8.9,46.1,28.6,28.6,8.6,9.7
6.2,54.2,32,43.8,9.4,6.9
4.5,16.7,22.2,49.4,9.7,7.2
4.9,57,31.8,43,11.8,6.9
5,37,25.1,46.8,8.9,1.5
8.9,43.6,36.7,25.6,7.9,2.1
7.4,32.5,27.8,26.5,12.7,1.1
2.9,22.3,38.3,26.2,11.1,5.1
8.4,46.7,23.2,25.6,9.4,2.4
16.1,46.8,21.9,39.2,9.6,2.7
6,31.3,33.4,52.3,8.3,1.8
8.4,34.3,35.9,28.3,6.1,3.6
8.7,37.7,33.6,32.7,11.9,1.9
7.8,34.7,33,22.5,8.3,2.5
9.2,33,35.3,24.6,7.4,2.9
8.5,52.1,37.4,49.4,14.1,1.8
6.2,38.7,27.3,37.8,6.4,5.6
7.8,54.9,23.1,26.8,6.2,1.8
11.1,43.8,38.4,48.9,7.3,2.7
4.6,29.7,25.7,41.8,10.9,1.7
6.5,56.5,29.5,45.4,5.5,2.1
