Day,boxscore.Team,boxscore.Total,boxscore.1Q,boxscore.2Q,boxscore.3Q,boxscore.4Q
2023-03-28 00:00:00.000,"Ponce",89,20,16,30,23
2023-03-28 00:00:00.000,"Quebradillas",99,39,18,23,19
