Product ,Flow,Country,Product Classification,Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
92--Musical Instruments,Imports,Taiwan,HS - 2,Millions of USD,67.0,67.0,81.0,71.0,68.0,76.0,73.0,63.0,70.0,108.0
96--Miscellaneous Manufactured Articles,Imports,Taiwan,HS - 2,Millions of USD,100.0,107.0,125.0,120.0,112.0,100.0,97.0,95.0,110.0,104.0
"88--Aircraft, Spacecraft, And Parts Thereof",Imports,Taiwan,HS - 2,Millions of USD,117.0,114.0,101.0,80.0,76.0,86.0,98.0,69.0,75.0,94.0
"06--Live Trees, Plants, Bulbs",Imports,Taiwan,HS - 2,Millions of USD,56.0,64.0,64.0,61.0,65.0,63.0,67.0,60.0,80.0,87.0
"68--Art Of Stone, Plaster Etc.",Imports,Taiwan,HS - 2,Millions of USD,44.0,36.0,32.0,27.0,25.0,28.0,61.0,71.0,90.0,78.0
81--Base Metals Nesoi; Cermets,Imports,Taiwan,HS - 2,Millions of USD,21.0,36.0,23.0,17.0,14.0,13.0,26.0,33.0,25.0,78.0
32--Tanning & Dye Ext,Imports,Taiwan,HS - 2,Millions of USD,36.0,38.0,42.0,32.0,32.0,41.0,51.0,49.0,56.0,73.0
"56--Wadding, Felt",Imports,Taiwan,HS - 2,Millions of USD,43.0,48.0,52.0,58.0,55.0,56.0,53.0,69.0,75.0,72.0
"20--Prep Vegetables, Fruit, Nuts",Imports,Taiwan,HS - 2,Millions of USD,33.0,35.0,33.0,35.0,38.0,40.0,42.0,43.0,57.0,59.0
17--Sugars And Sugar Confectionary,Imports,Taiwan,HS - 2,Millions of USD,18.0,22.0,16.0,18.0,16.0,23.0,28.0,32.0,43.0,57.0
60--Knitted Or Crocheted Fabrics,Imports,Taiwan,HS - 2,Millions of USD,61.0,68.0,70.0,55.0,50.0,47.0,48.0,42.0,51.0,53.0
"64--Footwear, Gaiters",Imports,Taiwan,HS - 2,Millions of USD,50.0,51.0,87.0,85.0,54.0,47.0,37.0,32.0,42.0,51.0
"22--Beverages, Spirits And Vinegar",Imports,Taiwan,HS - 2,Millions of USD,30.0,29.0,35.0,41.0,40.0,40.0,39.0,46.0,53.0,51.0
44--Wood & Articles Of Wood,Imports,Taiwan,HS - 2,Millions of USD,38.0,35.0,39.0,41.0,38.0,33.0,33.0,34.0,46.0,48.0
79--Zinc And Articles Thereof,Imports,Taiwan,HS - 2,Millions of USD,20.0,21.0,22.0,23.0,29.0,36.0,36.0,38.0,44.0,47.0
62--Apparel Articles & Accessories,Imports,Taiwan,HS - 2,Millions of USD,78.0,62.0,56.0,50.0,43.0,37.0,35.0,51.0,43.0,46.0
"49--Printed Books, Newspapers",Imports,Taiwan,HS - 2,Millions of USD,26.0,31.0,32.0,31.0,36.0,34.0,33.0,30.0,31.0,38.0
"55--Manmade Staple Fibers, Including Yarns",Imports,Taiwan,HS - 2,Millions of USD,80.0,102.0,84.0,76.0,66.0,38.0,35.0,37.0,36.0,33.0
75--Nickel And Articles Thereof,Imports,Taiwan,HS - 2,Millions of USD,49.0,54.0,62.0,25.0,20.0,29.0,34.0,27.0,20.0,33.0
25--Salt; Sulfur; Earth & Stone,Imports,Taiwan,HS - 2,Millions of USD,15.0,19.0,25.0,22.0,18.0,17.0,21.0,35.0,42.0,31.0
"34--Soap; Waxes, Polish",Imports,Taiwan,HS - 2,Millions of USD,13.0,24.0,20.0,20.0,26.0,30.0,24.0,27.0,28.0,29.0
"09--Coffee, Tea, Mate & Spices",Imports,Taiwan,HS - 2,Millions of USD,9.0,9.0,11.0,12.0,16.0,16.0,19.0,18.0,27.0,28.0
"16--Edible Preparations Of Meat, Fish",Imports,Taiwan,HS - 2,Millions of USD,19.0,17.0,19.0,17.0,19.0,20.0,23.0,19.0,31.0,27.0
"15--Animal Or Vegetable Fats, Oils",Imports,Taiwan,HS - 2,Millions of USD,15.0,17.0,16.0,15.0,15.0,17.0,16.0,16.0,16.0,25.0
35--Albuminoidal Subst; Modified Starch,Imports,Taiwan,HS - 2,Millions of USD,18.0,20.0,14.0,16.0,15.0,17.0,19.0,17.0,19.0,23.0
"66--Umbrellas, Walking-Sticks",Imports,Taiwan,HS - 2,Millions of USD,9.0,10.0,8.0,9.0,10.0,9.0,10.0,8.0,10.0,15.0
05--Products Of Animal Origin,Imports,Taiwan,HS - 2,Millions of USD,15.0,16.0,19.0,15.0,22.0,18.0,16.0,21.0,21.0,14.0
37--Photographic Goods,Imports,Taiwan,HS - 2,Millions of USD,15.0,16.0,14.0,19.0,12.0,9.0,11.0,9.0,14.0,14.0
04--Dairy Prods; Birds Eggs; Honey,Imports,Taiwan,HS - 2,Millions of USD,9.0,10.0,15.0,8.0,9.0,8.0,8.0,8.0,7.0,11.0
12--Oil Seeds Etc.; Misc Grain,Imports,Taiwan,HS - 2,Millions of USD,12.0,11.0,13.0,9.0,9.0,8.0,12.0,10.0,8.0,10.0
91--Clocks And Watches And Parts Thereof,Imports,Taiwan,HS - 2,Millions of USD,22.0,27.0,52.0,32.0,16.0,16.0,12.0,11.0,11.0,9.0
69--Ceramic Products,Imports,Taiwan,HS - 2,Millions of USD,8.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0
11--Milling Products; Malt; Starch,Imports,Taiwan,HS - 2,Millions of USD,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,7.0
23--Food Industry Residues & Waste,Imports,Taiwan,HS - 2,Millions of USD,5.0,6.0,9.0,7.0,7.0,6.0,7.0,6.0,8.0,6.0
"46--Mfr Of Straw, Esparto",Imports,Taiwan,HS - 2,Millions of USD,5.0,5.0,5.0,4.0,6.0,6.0,7.0,5.0,4.0,5.0
45--Cork And Articles Of Cork,Imports,Taiwan,HS - 2,Millions of USD,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0
07--Edible Vegetables & Certain Roots,Imports,Taiwan,HS - 2,Millions of USD,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0
86--Railway Or Tramway Stock Etc,Imports,Taiwan,HS - 2,Millions of USD,2.0,2.0,1.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0
01--Live Animals,Imports,Taiwan,HS - 2,Millions of USD,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0
"97--Works Of Art, Collectors' Pieces & Antiques",Imports,Taiwan,HS - 2,Millions of USD,3.0,2.0,5.0,2.0,4.0,2.0,3.0,2.0,3.0,3.0
57--Carpets & Floor Coverings,Imports,Taiwan,HS - 2,Millions of USD,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
53--Veg Text Fib Nesoi,Imports,Taiwan,HS - 2,Millions of USD,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
"52--Cotton, Including Yarn",Imports,Taiwan,HS - 2,Millions of USD,16.0,13.0,13.0,11.0,6.0,6.0,5.0,2.0,2.0,2.0
31--Fertilizers,Imports,Taiwan,HS - 2,Millions of USD,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0
78--Lead And Articles Thereof,Imports,Taiwan,HS - 2,Millions of USD,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
13--Lac; Gums & Other Vegetable Sap,Imports,Taiwan,HS - 2,Millions of USD,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
10--Cereals,Imports,Taiwan,HS - 2,Millions of USD,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0
41--Raw Hides & Skins & Leather,Imports,Taiwan,HS - 2,Millions of USD,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
08--Edible Fruit & Nuts; Citrus Fruit,Imports,Taiwan,HS - 2,Millions of USD,4.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0
80--Tin And Articles Thereof,Imports,Taiwan,HS - 2,Millions of USD,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0
"67--Prep Feathers, Down Etc",Imports,Taiwan,HS - 2,Millions of USD,1.0,1.0,2.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0
"51--Wool & Animal Hair, Including Yarn",Imports,Taiwan,HS - 2,Millions of USD,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18--Cocoa And Cocoa Preparations,Imports,Taiwan,HS - 2,Millions of USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"26--Ores, Slag And Ash",Imports,Taiwan,HS - 2,Millions of USD,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43--Furskins & Artificial Fur,Imports,Taiwan,HS - 2,Millions of USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24--Tobacco & Manufactured Tobacco Substitutes,Imports,Taiwan,HS - 2,Millions of USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14--Vegetable Plaiting Materials & Products,Imports,Taiwan,HS - 2,Millions of USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"50--Silk, Including Yarns",Imports,Taiwan,HS - 2,Millions of USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
36--Explosives; Pyrotechnics,Imports,Taiwan,HS - 2,Millions of USD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47--Wood Pulp,Imports,Taiwan,HS - 2,Millions of USD,0.0,,0.0,0.0,0.0,,,,0.0,0.0
