StkCity,StkMean,StkLowFid,StkHighFid,StkMeanByUS,StkRelByUS,Stk_Lat,Stk_Log
Stk_AL_Mobile,2.10,2.00,2.30,3.2,-0.37,30.66981534,-88.13709822
Stk_AL_Montgomery,6.80,6.00,7.70,3.2,1.20,32.33561264,-86.30780247
Stk_AL_Hoover,2.40,2.10,2.80,3.2,-0.27,33.34838995,-86.81944703
Stk_AL_Huntsville,2.70,2.40,3.10,3.2,-0.17,34.7097766,-86.55139362
Stk_AL_Huntsville,4.30,3.70,4.90,3.2,0.37,34.69154075,-86.57508407
Stk_AL_Hoover,2.00,1.80,2.20,3.2,-0.40,33.30458726,-86.88724127
Stk_AL_Mobile,5.30,4.90,5.80,3.2,0.70,30.58958235,-88.07115395
Stk_AL_Birmingham,5.30,4.70,6.00,3.2,0.70,33.54291433,-86.87567829
Stk_AL_Montgomery,2.90,2.60,3.10,3.2,-0.10,32.37223205,-86.20091671
Stk_AL_Birmingham,5.10,4.70,5.60,3.2,0.63,33.52607483,-86.78303155
Stk_AL_Birmingham,6.30,5.70,6.90,3.2,1.03,33.50596558,-86.87455061
Stk_AL_Montgomery,2.30,2.00,2.70,3.2,-0.30,32.29578117,-86.13165849
Stk_AL_Huntsville,4.60,4.10,5.10,3.2,0.47,34.80497616,-86.61737868
Stk_AL_Montgomery,2.90,2.60,3.20,3.2,-0.10,32.35762535,-86.20225165
Stk_AL_Birmingham,7.10,6.30,7.90,3.2,1.30,33.4953246,-86.85162321
Stk_AL_Mobile,6.60,6.00,7.40,3.2,1.13,30.54382499,-88.14913936
Stk_AL_Mobile,3.40,3.00,3.80,3.2,0.07,30.57616134,-88.14533872
Stk_AL_Birmingham,1.00,0.90,1.10,3.2,-0.73,33.44394259,-86.72129369
Stk_AL_Montgomery,4.60,4.30,5.00,3.2,0.47,32.35133055,-86.30727085
Stk_AL_Mobile,4.40,4.00,4.80,3.2,0.40,30.73233375,-88.17337926
Stk_AL_Birmingham,1.70,1.40,2.00,3.2,-0.50,33.47388616,-86.81464878
Stk_AL_Tuscaloosa,7.30,6.50,8.20,3.2,1.37,33.18501798,-87.59422095
Stk_AL_Montgomery,4.20,3.70,4.80,3.2,0.33,32.39621251,-86.26615545
Stk_AL_Montgomery,3.10,2.70,3.50,3.2,-0.03,32.37215195,-86.22845883
Stk_AL_Montgomery,1.40,1.20,1.50,3.2,-0.60,32.38236251,-86.3566609
Stk_AL_Montgomery,4.70,4.40,5.10,3.2,0.50,32.35405944,-86.39734803
Stk_AL_Birmingham,3.70,3.30,4.20,3.2,0.17,33.66418938,-86.69561707
Stk_AL_Mobile,6.20,5.70,6.80,3.2,1.00,30.66686558,-88.06339762
Stk_AL_Tuscaloosa,3.20,2.90,3.50,3.2,0.00,33.19486427,-87.50906608
Stk_AL_Huntsville,1.00,1.00,1.00,3.2,-0.73,34.6454285,-86.43528487
Stk_AL_Montgomery,1.00,1.00,1.00,3.2,-0.73,32.3016375,-86.0902647
Stk_AL_Mobile,8.60,7.60,9.50,3.2,1.80,30.72124742,-88.09376462
Stk_AL_Tuscaloosa,3.10,2.80,3.40,3.2,-0.03,33.17992806,-87.38376031
Stk_AL_Birmingham,6.10,5.50,6.80,3.2,0.97,33.54282087,-86.75243398
Stk_AL_Montgomery,5.10,4.50,5.70,3.2,0.63,32.31866831,-86.28943807
Stk_AL_Huntsville,4.40,4.10,4.80,3.2,0.40,34.7538634,-86.63450272
Stk_AL_Birmingham,6.90,6.30,7.60,3.2,1.23,33.52916049,-86.93464764
Stk_AL_Tuscaloosa,3.60,3.20,4.00,3.2,0.13,33.20916996,-87.46638059
Stk_AL_Mobile,1.00,1.00,1.00,3.2,-0.73,30.5619464,-88.17578565
Stk_AL_Birmingham,6.80,6.10,7.60,3.2,1.20,33.48067088,-86.85086715
Stk_AL_Birmingham,5.30,4.80,5.80,3.2,0.70,33.55213012,-86.72767595
Stk_AL_Montgomery,4.00,3.60,4.50,3.2,0.27,32.37140995,-86.25508472
Stk_AL_Montgomery,4.40,4.00,4.80,3.2,0.40,32.30424732,-86.22407599
Stk_AL_Mobile,3.30,2.90,3.60,3.2,0.03,30.62277665,-88.17905682
Stk_AL_Birmingham,5.20,4.80,5.70,3.2,0.67,33.61829244,-86.68014831
Stk_AL_Mobile,7.40,6.50,8.20,3.2,1.40,30.70728678,-88.1107455
Stk_AL_Birmingham,6.00,5.60,6.50,3.2,0.93,33.49690186,-86.89077294
Stk_AL_Tuscaloosa,5.50,4.90,6.20,3.2,0.77,33.18264915,-87.61981067
