,States,City,DiagPer100k,PopCountByMM
17491,NY,Buffalo,13.0,"261,310"
17494,NY,New Rochelle,12.4,"5,489"
17495,NY,Albany,14.3,"6,046"
17496,NY,Buffalo,9.5,"4,416"
17497,NY,Albany,5.8,"4,273"
17513,NY,Mount Vernon,13.9,"2,475"
17514,NY,Buffalo,10.7,"3,224"
17516,NY,Buffalo,22.1,"2,608"
17519,NY,New York,9.0,"1,703"
17520,NY,New York,9.3,"3,277"
17521,NY,New York,9.9,"1,558"
17522,NY,New York,9.8,"3,402"
17523,NY,New York,5.6,"2,469"
17524,NY,New York,12.6,"2,127"
17525,NY,New York,13.7,"2,676"
17526,NY,New York,11.7,"5,074"
17527,NY,New York,13.7,"2,333"
17528,NY,New York,14.6,"3,914"
17529,NY,New York,14.2,"1,090"
17530,NY,New York,10.2,"2,295"
17531,NY,New York,12.2,"4,729"
17532,NY,New York,10.1,"3,915"
17533,NY,New York,9.8,"1,351"
17534,NY,New York,8.5,"3,554"
17535,NY,New York,5.9,"3,901"
17536,NY,New York,12.3,"2,722"
17537,NY,New York,8.3,"3,097"
17538,NY,New York,5.0,"1,076"
17539,NY,New York,5.1,"4,942"
17540,NY,New York,13.6,"5,464"
17541,NY,New York,12.9,"6,664"
17542,NY,New York,9.7,"9,572"
17543,NY,New York,7.3,"8,554"
17544,NY,New York,8.2,"2,984"
17545,NY,New York,13.4,"4,730"
17546,NY,New York,18.1,"5,102"
17547,NY,New York,18.9,"2,005"
17548,NY,New York,10.6,"7,817"
17550,NY,New York,9.5,"6,535"
17551,NY,New York,11.6,"1,912"
17552,NY,New York,13.2,"1,381"
17553,NY,New York,12.9,"5,001"
17554,NY,New York,12.5,"2,487"
17555,NY,New York,12.4,"4,550"
17556,NY,New York,6.3,"4,332"
17557,NY,New York,5.2,"3,262"
17558,NY,New York,13.0,"6,476"
17559,NY,New York,13.0,"9,033"
17560,NY,New York,9.6,"2,406"
17561,NY,New York,11.9,"4,120"
17562,NY,New York,11.0,"2,489"
17563,NY,New York,12.0,"3,806"
17564,NY,New York,8.6,"4,357"
17565,NY,New York,5.6,"4,247"
17566,NY,New York,15.0,"1,255"
17567,NY,New York,6.9,"2,364"
17568,NY,New York,14.8,"5,491"
17569,NY,New York,10.2,"6,777"
17570,NY,New York,9.2,"4,093"
17571,NY,New York,12.6,"2,721"
17572,NY,New York,10.4,"4,592"
17573,NY,New York,13.7,"1,802"
17574,NY,New York,13.2,"2,930"
17575,NY,New York,11.4,"2,010"
17576,NY,New York,8.9,"2,367"
17577,NY,New York,11.8,"3,752"
17578,NY,New York,7.9,"2,246"
17579,NY,New York,8.4,"3,712"
17580,NY,New York,8.7,"4,062"
17581,NY,New York,14.7,"1,647"
17582,NY,New York,15.8,"4,669"
17583,NY,New York,9.0,"3,088"
