,States,City,DiagPer100k,PopCountByMM
18087,NY,New York,12.2,"2,164"
18088,NY,New York,7.7,"3,934"
18089,NY,New York,11.7,"3,920"
18090,NY,New York,9.9,"3,820"
18091,NY,New York,13.3,"3,737"
18092,NY,New York,7.5,"3,521"
18093,NY,New York,11.0,"5,955"
18094,NY,New York,10.3,"4,160"
18095,NY,New York,8.9,"4,259"
18096,NY,New York,10.3,"2,640"
18097,NY,New York,17.7,"3,005"
18098,NY,New York,11.4,"1,054"
18099,NY,New York,9.7,"3,317"
18100,NY,New York,9.2,"1,123"
18101,NY,New York,6.7,"11,740"
18102,NY,New York,10.7,"6,232"
18103,NY,New York,10.2,"3,624"
18104,NY,New York,5.0,"12,444"
18105,NY,New York,13.5,"3,923"
18106,NY,New York,3.7,"5,224"
18107,NY,New York,2.2,"8,109"
18108,NY,New York,3.8,"2,058"
18109,NY,New York,6.3,"3,928"
18110,NY,New York,10.9,"3,778"
18111,NY,New York,8.4,"1,852"
18112,NY,New York,10.9,"1,810"
18113,NY,New York,6.5,"3,744"
18114,NY,New York,10.1,"2,811"
18115,NY,New York,4.7,"3,596"
18116,NY,New York,9.8,"2,690"
18117,NY,New York,5.2,"3,578"
18118,NY,New York,5.9,"8,234"
18119,NY,New York,8.0,"2,310"
18120,NY,New York,11.4,"2,931"
18121,NY,New York,11.8,"2,173"
18122,NY,New York,10.4,"2,943"
18123,NY,New York,9.9,"2,950"
18124,NY,New York,3.2,"5,145"
18125,NY,New York,11.4,"6,220"
18126,NY,New York,7.3,"3,848"
18127,NY,New York,13.5,"8,348"
18128,NY,New York,8.3,"8,780"
18129,NY,New York,11.6,"4,597"
18130,NY,New York,13.1,"5,280"
18131,NY,New York,12.3,"6,398"
18132,NY,New York,12.1,"3,554"
18133,NY,New York,13.2,"3,500"
18134,NY,New York,6.2,"2,229"
18135,NY,New York,13.5,"1,368"
18136,NY,New York,9.1,"2,782"
18137,NY,New York,12.3,"1,545"
18138,NY,New York,6.7,"8,974"
18139,NY,New York,10.9,"5,308"
18140,NY,New York,15.9,"4,241"
18141,NY,New York,14.7,"5,851"
18142,NY,New York,10.4,"8,185"
18143,NY,New York,6.3,"7,027"
18144,NY,New York,8.5,"3,979"
18145,NY,New York,16.4,"2,624"
18146,NY,New York,11.5,"4,853"
18147,NY,New York,13.8,"2,098"
18148,NY,New York,17.3,"6,426"
18149,NY,New York,12.8,"2,506"
18150,NY,New York,7.1,"4,497"
18151,NY,New York,14.6,"1,442"
18152,NY,New York,14.5,"3,667"
18153,NY,New York,13.0,"5,586"
18154,NY,New York,13.1,"3,367"
18155,NY,New York,12.6,"8,726"
18156,NY,New York,8.3,"3,254"
18157,NY,New York,7.2,"2,778"
18158,NY,New York,9.7,"7,430"
18159,NY,New York,10.9,"3,761"
18160,NY,New York,14.5,"5,582"
18161,NY,New York,6.5,"3,186"
18162,NY,New York,7.7,"3,633"
18163,NY,New York,8.8,"1,277"
18164,NY,New York,12.0,"3,712"
18165,NY,New York,9.0,"4,102"
18166,NY,New York,10.5,"1,675"
18167,NY,New York,16.3,"5,248"
18168,NY,New York,1.9,"7,476"
18169,NY,New York,9.6,"1,708"
18170,NY,New York,10.6,"2,128"
18171,NY,New York,12.3,"3,931"
18172,NY,New York,14.7,"4,947"
18173,NY,New York,9.5,"3,755"
18174,NY,New York,8.1,"2,097"
18175,NY,New York,9.0,"1,643"
18176,NY,New York,13.0,"3,883"
18177,NY,New York,13.1,"4,361"
18178,NY,New York,13.1,"2,814"
18179,NY,New York,8.9,"4,573"
18180,NY,New York,11.6,"2,750"
18181,NY,New York,14.1,"2,523"
18182,NY,New York,3.1,"2,755"
18183,NY,New York,4.9,"7,229"
18184,NY,New York,13.0,"4,814"
18185,NY,New York,7.2,"2,178"
18186,NY,New York,4.9,"2,549"
18187,NY,New York,11.0,"2,880"
18188,NY,New York,13.9,"4,412"
18189,NY,New York,17.2,"4,380"
18190,NY,New York,15.0,"2,543"
18191,NY,New York,8.9,"4,759"
18192,NY,New York,12.5,"5,403"
18193,NY,New York,10.4,"3,178"
18194,NY,New York,12.7,"5,101"
18195,NY,New York,11.6,"4,773"
18196,NY,New York,12.7,"3,048"
18197,NY,New York,8.5,"2,783"
18198,NY,New York,11.0,"2,005"
18199,NY,New York,9.6,"4,693"
18200,NY,New York,12.3,"7,608"
18201,NY,New York,5.2,"8,047"
18202,NY,New York,10.3,"7,627"
18203,NY,New York,11.2,"2,942"
18204,NY,New York,12.3,"14,934"
18205,NY,New York,9.7,"3,620"
18206,NY,New York,16.8,"4,864"
18207,NY,New York,11.3,"2,630"
18208,NY,New York,12.3,"4,042"
18209,NY,New York,9.6,"2,970"
18210,NY,New York,13.0,"4,797"
18211,NY,New York,12.6,"2,109"
18212,NY,New York,9.6,"1,957"
18214,NY,New York,12.4,"3,306"
18215,NY,New York,12.5,"2,910"
18216,NY,New York,10.5,"3,299"
18217,NY,New York,11.6,"2,770"
18218,NY,New York,13.5,"3,822"
18219,NY,New York,4.9,"6,038"
18220,NY,New York,11.9,"5,094"
18221,NY,New York,12.6,"7,942"
18222,NY,New York,10.4,"2,002"
18223,NY,New York,10.6,"4,250"
18224,NY,New York,19.3,"1,633"
18225,NY,New York,8.5,"2,126"
18226,NY,New York,13.2,"2,280"
18227,NY,New York,12.3,"3,770"
18228,NY,New York,14.1,"5,207"
18229,NY,New York,9.7,"4,227"
18230,NY,New York,8.7,"2,102"
18231,NY,New York,15.0,"3,803"
18232,NY,New York,15.3,"2,863"
18233,NY,New York,10.7,"7,114"
18234,NY,New York,7.4,151
18235,NY,New York,11.6,"6,734"
18236,NY,New York,9.1,"4,085"
18237,NY,New York,16.6,"4,382"
18238,NY,New York,14.7,"3,053"
18239,NY,New York,8.0,"2,701"
18240,NY,New York,14.6,"5,403"
18241,NY,New York,5.1,"10,751"
18242,NY,New York,12.7,"2,155"
18243,NY,New York,10.9,"2,772"
18244,NY,New York,13.8,"4,222"
18245,NY,New York,6.3,"2,084"
18246,NY,New York,11.8,"3,154"
18247,NY,New York,9.4,"3,670"
18248,NY,New York,9.4,"4,552"
18249,NY,New York,14.0,"8,106"
18250,NY,New York,9.7,"2,229"
18251,NY,New York,9.8,"1,772"
18252,NY,New York,11.2,"3,033"
18253,NY,New York,17.8,"3,990"
18254,NY,New York,12.9,"2,011"
18255,NY,New York,13.5,"1,074"
18256,NY,New York,13.9,"1,234"
18257,NY,New York,12.4,"3,975"
18258,NY,New York,11.3,"3,571"
18259,NY,New York,11.5,"10,910"
18260,NY,New York,4.6,"5,677"
18261,NY,New York,16.1,"5,764"
18262,NY,New York,6.8,"3,474"
18263,NY,New York,9.2,"3,095"
18264,NY,New York,10.7,"1,795"
18265,NY,New York,10.6,"2,730"
18266,NY,New York,6.0,"1,384"
18267,NY,New York,9.0,"4,232"
18268,NY,New York,9.3,"2,926"
18270,NY,New York,14.6,"3,265"
18271,NY,New York,7.7,"8,807"
18272,NY,New York,13.6,"5,370"
18273,NY,New York,10.4,"1,567"
18274,NY,New York,12.7,"2,267"
18275,NY,New York,10.8,"3,516"
18276,NY,New York,10.6,"4,800"
18277,NY,New York,6.1,"3,963"
18278,NY,New York,6.7,"5,644"
18279,NY,New York,11.2,"4,693"
18280,NY,New York,11.4,"3,233"
18282,NY,New York,15.6,"6,384"
18283,NY,New York,11.6,"3,646"
18284,NY,New York,11.1,"1,270"
18285,NY,New York,8.5,"2,012"
18286,NY,New York,11.4,"3,499"
18287,NY,New York,13.6,"7,756"
18288,NY,New York,12.8,"6,002"
18289,NY,New York,13.2,"2,643"
18290,NY,New York,14.8,"4,358"
18291,NY,New York,15.8,"4,035"
18292,NY,New York,16.1,"2,031"
18293,NY,New York,14.1,"6,129"
18294,NY,New York,14.3,"3,583"
18295,NY,New York,11.4,"2,252"
18296,NY,New York,5.6,"5,141"
18297,NY,New York,14.7,"7,698"
18298,NY,New York,14.2,"7,855"
18299,NY,New York,10.9,"1,389"
18300,NY,New York,8.4,"5,823"
18301,NY,New York,13.1,"2,189"
18302,NY,New York,4.4,"2,277"
18303,NY,New York,10.5,"2,652"
18304,NY,New York,8.8,"3,275"
18305,NY,New York,16.3,"4,525"
18306,NY,New York,11.0,"4,047"
18307,NY,New York,9.4,"1,840"
18308,NY,New York,8.5,"5,052"
18309,NY,New York,8.8,"4,299"
18310,NY,New York,7.8,"4,678"
18311,NY,New York,15.2,"3,930"
18312,NY,New York,11.4,"5,333"
18313,NY,New York,10.7,"2,265"
18314,NY,New York,7.2,"1,949"
18315,NY,New York,13.0,"3,637"
18316,NY,New York,13.5,"2,595"
18317,NY,New York,11.1,"3,259"
18318,NY,New York,11.0,"1,889"
18319,NY,New York,13.2,"2,897"
18320,NY,New York,13.6,"5,513"
18321,NY,New York,4.9,"6,743"
18322,NY,New York,14.5,"5,555"
18323,NY,New York,5.1,"1,630"
18324,NY,New York,12.4,"2,813"
18325,NY,New York,8.0,"1,989"
18326,NY,New York,3.8,"2,618"
18327,NY,New York,9.5,"2,383"
18328,NY,New York,10.7,"1,614"
18329,NY,New York,9.2,"1,789"
18330,NY,New York,6.2,"1,401"
18331,NY,New York,5.1,"9,320"
18332,NY,New York,9.7,"2,670"
18333,NY,New York,9.7,"1,745"
18334,NY,New York,9.1,73
18335,NY,New York,10.2,"4,870"
18336,NY,New York,12.7,"11,236"
18337,NY,New York,18.1,"3,484"
18338,NY,New York,12.3,"4,120"
18339,NY,New York,5.5,"2,159"
18340,NY,New York,12.4,"1,532"
18341,NY,New York,11.2,"5,699"
18342,NY,New York,8.1,"2,700"
18343,NY,New York,7.8,"4,871"
18344,NY,New York,3.7,"1,735"
18345,NY,New York,15.0,"1,153"
18346,NY,New York,9.1,"4,700"
18347,NY,New York,7.7,"3,246"
18348,NY,New York,9.0,"4,297"
18349,NY,New York,15.4,"7,509"
18350,NY,New York,9.6,"2,756"
18351,NY,New York,11.0,"2,148"
18352,NY,New York,8.9,"5,141"
18353,NY,New York,14.0,"1,102"
18354,NY,New York,16.2,"5,698"
18355,NY,New York,10.9,"3,319"
18357,NY,New York,22.8,"4,869"
18358,NY,New York,11.7,"4,064"
18359,NY,New York,13.4,"3,425"
18360,NY,New York,10.9,"2,931"
18361,NY,New York,9.1,"3,065"
18362,NY,New York,6.2,"1,579"
18363,NY,New York,14.0,"7,501"
18364,NY,New York,11.8,"4,473"
18365,NY,New York,15.4,"4,869"
18366,NY,New York,8.2,"2,451"
18367,NY,New York,16.1,"2,067"
18368,NY,New York,12.5,"2,833"
18369,NY,New York,12.1,"1,647"
18370,NY,New York,10.7,"3,518"
18371,NY,New York,11.1,"6,606"
18372,NY,New York,11.8,"4,413"
18373,NY,New York,12.5,"4,278"
18374,NY,New York,13.3,"5,769"
18375,NY,New York,11.9,"3,487"
18376,NY,New York,12.5,"2,532"
18377,NY,New York,11.1,"1,938"
18378,NY,New York,12.5,"2,596"
18379,NY,New York,12.4,"4,329"
18380,NY,New York,12.9,"1,268"
18381,NY,New York,11.7,"2,974"
18382,NY,New York,13.1,"6,016"
18383,NY,New York,7.7,"2,082"
18384,NY,New York,13.6,"5,253"
18385,NY,New York,13.4,"5,432"
18386,NY,New York,12.3,"5,196"
18387,NY,New York,10.1,"3,135"
18388,NY,New York,18.6,"3,024"
18389,NY,New York,9.0,"2,950"
18390,NY,New York,11.7,"5,161"
18391,NY,New York,14.5,"5,388"
18392,NY,New York,8.2,"4,508"
18393,NY,New York,13.0,"4,478"
18394,NY,New York,10.1,"3,493"
18395,NY,New York,15.5,"4,033"
18396,NY,New York,11.7,"2,684"
18397,NY,New York,10.0,"3,341"
18398,NY,New York,9.0,"1,067"
18399,NY,New York,16.4,"2,804"
18400,NY,New York,15.5,"4,015"
18401,NY,New York,13.2,"1,907"
18402,NY,New York,5.7,"5,842"
18403,NY,New York,11.5,"2,980"
18404,NY,New York,11.2,"9,612"
18405,NY,New York,9.4,"3,295"
18406,NY,New York,4.9,"7,316"
18407,NY,New York,8.9,"4,591"
18408,NY,New York,9.0,"6,074"
18409,NY,New York,7.8,"3,478"
18410,NY,New York,14.2,"2,370"
18411,NY,New York,6.6,"4,310"
18412,NY,New York,10.9,"1,851"
18413,NY,New York,14.8,"3,426"
18414,NY,New York,7.6,"1,993"
18415,NY,New York,4.4,"10,218"
18416,NY,New York,13.0,"6,317"
18417,NY,New York,8.6,"1,191"
18418,NY,New York,8.5,"4,338"
18419,NY,New York,8.2,"2,234"
18420,NY,New York,6.5,"2,276"
18421,NY,New York,11.0,"6,401"
18422,NY,New York,11.8,"2,114"
18423,NY,New York,8.3,"3,804"
18424,NY,New York,7.9,"1,850"
18425,NY,New York,9.8,"2,876"
18426,NY,New York,14.0,"3,555"
18427,NY,New York,11.5,"1,819"
18428,NY,New York,14.5,"4,146"
18429,NY,New York,10.8,"5,271"
18430,NY,New York,16.2,"5,880"
18431,NY,New York,8.1,"1,786"
18432,NY,New York,12.5,"4,750"
18433,NY,New York,14.7,"1,701"
18434,NY,New York,13.2,"12,330"
18435,NY,New York,13.7,"7,752"
18436,NY,New York,5.7,641
18437,NY,New York,13.8,"2,300"
18438,NY,New York,12.6,"3,490"
18439,NY,New York,12.2,"3,571"
18440,NY,New York,16.5,"5,056"
18441,NY,New York,11.4,"2,093"
18442,NY,New York,11.3,"1,922"
18443,NY,New York,14.1,"1,374"
18444,NY,New York,10.4,"3,550"
18445,NY,New York,3.7,"8,664"
18446,NY,New York,9.3,"2,249"
18447,NY,New York,9.8,"9,151"
18448,NY,New York,14.5,"6,155"
18449,NY,New York,8.2,"2,242"
18450,NY,New York,8.4,"3,568"
18451,NY,New York,5.1,"2,303"
18452,NY,New York,5.2,"11,174"
18453,NY,New York,9.4,"4,105"
18454,NY,New York,12.3,"4,618"
18455,NY,New York,19.8,"4,039"
18456,NY,New York,9.1,"5,714"
18457,NY,New York,8.2,"2,111"
18458,NY,New York,9.4,"5,583"
18459,NY,New York,11.0,"3,891"
18460,NY,New York,14.9,"4,805"
18461,NY,New York,14.8,"3,640"
18462,NY,New York,11.1,"2,660"
18463,NY,New York,14.9,"3,673"
18464,NY,New York,8.5,"6,151"
18465,NY,New York,12.0,"5,865"
18466,NY,New York,13.4,"1,946"
18467,NY,New York,12.1,"2,567"
18468,NY,New York,12.2,113
18469,NY,New York,11.6,"2,708"
18470,NY,New York,14.7,"2,401"
18471,NY,New York,7.8,"2,145"
18472,NY,New York,13.5,"4,490"
18473,NY,New York,13.5,"5,218"
18474,NY,New York,10.5,"3,380"
18475,NY,New York,5.9,"9,257"
18476,NY,New York,11.2,"4,917"
18477,NY,New York,8.8,"2,197"
18478,NY,New York,5.1,"2,596"
18479,NY,New York,16.6,"10,290"
18480,NY,New York,13.8,"4,097"
18481,NY,New York,12.4,"2,239"
18482,NY,New York,14.7,"2,724"
18483,NY,New York,15.4,"4,193"
18484,NY,New York,14.2,"2,231"
18485,NY,New York,11.5,"3,556"
18486,NY,New York,12.6,"2,971"
18487,NY,New York,14.0,"12,087"
18488,NY,New York,8.9,"3,427"
18489,NY,New York,12.1,"2,244"
18490,NY,New York,14.0,"6,768"
18491,NY,New York,12.6,"1,735"
18492,NY,New York,12.9,"3,388"
18493,NY,New York,7.8,"5,378"
18494,NY,New York,12.4,"2,348"
18495,NY,New York,16.6,161
18496,NY,New York,19.6,"11,367"
18497,NY,New York,3.7,327
18498,NY,New York,11.1,"3,425"
18499,NY,New York,15.6,"4,591"
18500,NY,New York,14.5,"1,236"
18501,NY,New York,14.6,"4,613"
18502,NY,New York,10.2,"2,579"
18503,NY,New York,10.7,"3,502"
18504,NY,New York,11.5,"8,106"
18505,NY,New York,4.8,"2,781"
18506,NY,New York,10.8,"1,480"
18507,NY,New York,10.9,"4,963"
18508,NY,New York,10.8,"4,544"
18509,NY,New York,11.3,"3,694"
18510,NY,New York,9.3,"3,667"
18511,NY,New York,6.1,"3,481"
18512,NY,New York,14.8,"3,396"
18513,NY,New York,6.3,"3,151"
18514,NY,New York,11.6,"2,994"
18515,NY,New York,14.4,"9,680"
18516,NY,New York,10.4,"1,917"
18517,NY,New York,12.0,"1,487"
18518,NY,New York,11.3,"5,071"
18519,NY,New York,14.5,"2,592"
18520,NY,New York,7.6,"4,507"
18521,NY,New York,5.0,"9,039"
18522,NY,New York,15.8,"3,381"
18523,NY,New York,14.4,"1,668"
18524,NY,New York,6.2,"5,708"
18525,NY,New York,11.9,"3,500"
18526,NY,New York,12.1,"1,932"
18527,NY,New York,10.4,"3,433"
18528,NY,New York,10.2,"2,231"
18529,NY,New York,11.5,"1,657"
18530,NY,New York,4.7,"9,237"
18531,NY,New York,12.1,"3,314"
18532,NY,New York,9.6,"2,644"
18533,NY,New York,10.4,"3,238"
18534,NY,New York,6.1,"6,402"
18535,NY,New York,10.1,"5,643"
18536,NY,New York,13.0,"3,543"
18537,NY,New York,10.2,"1,447"
18538,NY,New York,11.2,"5,267"
18539,NY,New York,7.7,"3,694"
18540,NY,New York,10.6,"6,966"
18541,NY,New York,13.3,"3,430"
18542,NY,New York,6.6,230
18543,NY,New York,13.6,"5,457"
18544,NY,New York,15.8,"2,131"
18545,NY,New York,8.6,"2,838"
18546,NY,New York,10.6,"5,153"
18547,NY,New York,10.8,"2,357"
18548,NY,New York,8.4,"3,841"
18549,NY,New York,14.7,"4,377"
18550,NY,New York,10.6,914
18551,NY,New York,4.9,"3,131"
18552,NY,New York,10.5,"2,303"
18553,NY,New York,10.0,"3,139"
18554,NY,New York,11.5,"4,835"
18555,NY,New York,15.0,"8,277"
18556,NY,New York,5.6,"2,786"
18557,NY,New York,8.9,"6,155"
18558,NY,New York,9.6,"2,472"
18559,NY,New York,5.3,"4,536"
18560,NY,New York,5.6,"8,767"
18561,NY,New York,12.1,"3,882"
18562,NY,New York,5.4,"3,272"
18563,NY,New York,14.6,"1,553"
18564,NY,New York,17.9,"3,584"
18565,NY,New York,14.7,"3,967"
18567,NY,New York,13.5,"3,761"
18568,NY,New York,12.7,"1,907"
18569,NY,New York,12.5,"3,829"
18570,NY,New York,7.7,"3,313"
18571,NY,New York,4.9,"3,325"
18572,NY,New York,18.2,"6,461"
18573,NY,New York,13.0,"5,420"
18574,NY,New York,10.6,"2,147"
18575,NY,New York,3.2,"6,040"
18576,NY,New York,11.0,"2,772"
18577,NY,New York,9.9,"2,513"
18578,NY,New York,13.1,"3,001"
18579,NY,New York,8.7,"8,977"
18580,NY,New York,12.5,"3,344"
18581,NY,New York,11.6,"2,539"
18582,NY,New York,7.5,"2,658"
18583,NY,New York,16.1,"2,582"
18584,NY,New York,11.5,"3,550"
18585,NY,New York,14.4,"5,281"
18586,NY,New York,7.2,"2,042"
18587,NY,New York,5.8,"2,608"
18588,NY,New York,16.9,"5,810"
18589,NY,New York,14.5,"2,838"
18590,NY,New York,6.9,"2,064"
18591,NY,New York,9.6,"5,113"
18592,NY,New York,5.7,"1,530"
18593,NY,New York,11.8,"2,361"
18594,NY,New York,11.9,"2,600"
18595,NY,New York,16.3,"5,943"
18596,NY,New York,10.3,"1,349"
18597,NY,New York,5.1,764
18598,NY,New York,14.5,"2,619"
18599,NY,New York,8.9,"2,275"
18600,NY,New York,6.7,"1,411"
18601,NY,New York,5.3,"2,327"
18602,NY,New York,14.0,"3,050"
18603,NY,New York,11.5,"4,214"
18604,NY,New York,8.7,"5,226"
18605,NY,New York,11.7,"2,931"
18606,NY,New York,16.0,"9,943"
18607,NY,New York,10.7,"2,199"
18608,NY,New York,5.7,"2,863"
18609,NY,New York,8.8,"8,583"
18610,NY,New York,9.7,"4,481"
18611,NY,New York,17.1,"2,608"
18612,NY,New York,7.4,966
18613,NY,New York,14.2,"4,372"
18614,NY,New York,14.3,"3,149"
18615,NY,New York,9.6,"2,017"
18616,NY,New York,15.7,"2,157"
18617,NY,New York,13.0,"7,642"
18618,NY,New York,11.0,"4,864"
18619,NY,New York,6.2,"9,623"
18620,NY,New York,11.0,"3,176"
18621,NY,New York,9.2,"6,422"
18622,NY,New York,13.1,"3,608"
18623,NY,New York,7.7,"3,927"
18624,NY,New York,16.0,"2,061"
18625,NY,New York,4.8,"5,966"
18626,NY,New York,17.2,"5,443"
18627,NY,New York,6.2,"4,864"
18628,NY,New York,11.3,"3,533"
18629,NY,New York,12.8,"1,465"
18630,NY,New York,10.0,"1,791"
18631,NY,New York,10.3,"8,525"
18632,NY,New York,16.7,"5,047"
18633,NY,New York,4.3,"3,543"
18634,NY,New York,8.6,"1,416"
18635,NY,New York,18.3,"5,318"
18636,NY,New York,7.5,"5,263"
18637,NY,New York,9.3,"1,411"
18638,NY,New York,10.5,"2,975"
18639,NY,New York,12.7,"7,625"
18640,NY,New York,9.4,"2,632"
18641,NY,New York,16.7,"5,281"
18642,NY,New York,13.6,"5,701"
18643,NY,New York,14.6,"1,806"
18644,NY,New York,12.8,"2,606"
18645,NY,New York,17.6,"2,217"
18646,NY,New York,11.1,"2,788"
18647,NY,New York,12.6,"7,074"
18648,NY,New York,17.4,"6,928"
18649,NY,New York,12.9,"5,456"
18650,NY,New York,13.6,"4,596"
18651,NY,New York,10.7,"2,969"
18652,NY,New York,12.4,"1,660"
18653,NY,New York,13.6,"6,182"
18654,NY,New York,14.1,"10,266"
18655,NY,New York,9.3,"3,597"
18656,NY,New York,5.7,"8,108"
18657,NY,New York,10.4,"3,566"
18658,NY,New York,4.6,"10,590"
18659,NY,New York,7.9,"3,434"
18660,NY,New York,10.3,"3,870"
18661,NY,New York,9.8,"4,843"
18662,NY,New York,8.6,"1,896"
18663,NY,New York,13.1,"3,927"
18664,NY,New York,13.2,"3,580"
18665,NY,New York,9.2,"1,543"
18666,NY,New York,8.6,"3,193"
18667,NY,New York,7.9,"1,232"
18668,NY,New York,12.7,"3,878"
18669,NY,New York,5.7,"2,540"
18670,NY,New York,14.3,"3,064"
18671,NY,New York,12.9,"2,969"
18672,NY,New York,6.7,"3,676"
18673,NY,New York,21.0,"1,003"
18674,NY,New York,13.1,"4,230"
18675,NY,New York,7.2,"2,929"
18676,NY,New York,14.6,"4,427"
18677,NY,New York,16.9,"6,984"
18678,NY,New York,11.6,"4,693"
18679,NY,New York,11.3,"5,376"
18680,NY,New York,7.4,"4,437"
18681,NY,New York,10.3,"4,221"
18682,NY,New York,12.1,"2,638"
18683,NY,New York,10.0,"1,863"
18684,NY,New York,11.7,"4,551"
18685,NY,New York,10.8,"2,929"
18686,NY,New York,8.9,"1,574"
18687,NY,New York,3.6,"2,550"
18688,NY,New York,9.6,"5,474"
18689,NY,New York,12.1,"6,387"
18690,NY,New York,4.9,"4,383"
18691,NY,New York,13.3,"3,814"
18692,NY,New York,13.7,"2,656"
18693,NY,New York,11.0,"2,754"
18694,NY,New York,8.6,"5,074"
18695,NY,New York,12.1,"1,643"
18697,NY,New York,10.7,"1,116"
18698,NY,New York,7.3,"2,552"
18699,NY,New York,13.1,"1,628"
18700,NY,New York,7.9,"3,876"
18701,NY,New York,5.2,"5,377"
18702,NY,New York,12.3,"3,933"
18703,NY,New York,6.7,"5,949"
18704,NY,New York,14.2,"4,677"
18705,NY,New York,13.5,"2,303"
18706,NY,New York,9.4,"2,518"
18707,NY,New York,9.8,"1,363"
18708,NY,New York,3.7,"3,329"
18709,NY,New York,5.7,"1,116"
18710,NY,New York,10.2,"2,405"
18711,NY,New York,13.0,"3,864"
18712,NY,New York,9.7,"2,390"
18713,NY,New York,8.6,"1,818"
18714,NY,New York,4.3,"5,322"
18715,NY,New York,16.4,72
18716,NY,New York,10.1,"1,032"
18717,NY,New York,12.4,"1,387"
18718,NY,New York,39.5,512
18720,NY,New York,11.8,"5,017"
18721,NY,New York,14.9,"4,475"
18722,NY,New York,15.0,"6,649"
18723,NY,New York,11.6,"2,374"
18724,NY,New York,9.3,"2,483"
18725,NY,New York,11.6,"5,304"
18726,NY,New York,11.5,"3,784"
18727,NY,New York,10.7,"2,911"
18728,NY,New York,7.0,"1,662"
18729,NY,New York,12.6,"4,334"
18730,NY,New York,11.1,"1,925"
18731,NY,New York,5.0,"2,500"
18732,NY,New York,13.6,"2,998"
18733,NY,New York,9.5,"3,021"
18734,NY,New York,8.2,"5,518"
18735,NY,New York,15.6,"6,398"
18736,NY,New York,12.7,"3,252"
18737,NY,New York,12.1,"3,427"
18738,NY,New York,10.0,"6,214"
18739,NY,New York,10.9,"4,463"
18740,NY,New York,15.1,"1,555"
18741,NY,New York,7.3,"4,259"
18742,NY,New York,12.7,"4,383"
18743,NY,New York,10.7,"4,247"
18744,NY,New York,10.1,"4,509"
18745,NY,New York,12.5,"3,598"
18746,NY,New York,10.8,"2,468"
18747,NY,New York,14.9,"5,334"
18748,NY,New York,11.2,"4,979"
18749,NY,New York,8.4,"4,815"
18750,NY,New York,10.2,"2,537"
18751,NY,New York,10.6,"3,256"
18752,NY,New York,3.7,"6,202"
18753,NY,New York,4.2,"7,904"
18754,NY,New York,14.1,"3,385"
18755,NY,New York,9.5,"2,298"
18756,NY,New York,14.2,"1,750"
18757,NY,New York,8.6,"3,510"
18758,NY,New York,12.7,"3,094"
18759,NY,New York,12.5,"7,466"
18760,NY,New York,11.5,"3,947"
18761,NY,New York,10.0,"1,909"
18762,NY,New York,11.8,"3,368"
18763,NY,New York,4.8,"1,753"
18764,NY,New York,16.7,"4,582"
18766,NY,New York,4.2,"2,645"
18767,NY,New York,8.6,"3,152"
18768,NY,New York,11.1,"1,984"
18769,NY,New York,6.5,"2,397"
18770,NY,New York,13.4,"3,273"
18771,NY,New York,13.5,"4,386"
18772,NY,New York,10.3,"3,083"
18773,NY,New York,13.1,"3,247"
18774,NY,New York,9.8,"3,920"
18775,NY,New York,12.4,"1,978"
18776,NY,New York,10.7,"1,996"
18777,NY,New York,8.3,"1,498"
18778,NY,New York,15.7,"7,086"
18779,NY,New York,4.7,"3,537"
18780,NY,New York,9.5,"3,609"
18781,NY,New York,8.5,"1,666"
18782,NY,New York,4.3,"8,871"
18783,NY,New York,10.9,"3,971"
18784,NY,New York,10.9,"4,188"
18785,NY,New York,11.7,"3,769"
18786,NY,New York,8.5,"1,510"
18787,NY,New York,9.2,"2,003"
18788,NY,New York,12.4,"4,607"
18789,NY,New York,11.0,"3,425"
18790,NY,New York,13.7,"3,138"
18791,NY,New York,7.9,"1,894"
18792,NY,New York,8.4,"1,867"
18793,NY,New York,11.2,"2,145"
18794,NY,New York,5.5,"3,828"
18795,NY,New York,3.7,731
18796,NY,New York,17.5,"4,351"
18797,NY,New York,13.3,"5,766"
18798,NY,New York,11.3,"1,917"
18799,NY,New York,7.0,"8,939"
18800,NY,New York,12.2,"2,265"
18801,NY,New York,7.2,"6,270"
18802,NY,New York,9.4,"2,166"
18803,NY,New York,11.0,"2,093"
18804,NY,New York,10.6,"3,034"
18806,NY,New York,11.8,"2,359"
18807,NY,New York,9.0,"3,158"
18808,NY,New York,7.3,"1,697"
18809,NY,New York,17.8,"3,006"
18811,NY,New York,13.4,"4,923"
18812,NY,New York,7.7,"10,330"
18813,NY,New York,4.9,"2,524"
18814,NY,New York,7.3,"4,360"
18815,NY,New York,9.0,"2,377"
18816,NY,New York,7.4,"4,234"
18817,NY,New York,6.9,"4,240"
18819,NY,New York,13.0,"1,264"
18820,NY,New York,10.2,"4,643"
18821,NY,New York,11.2,"5,059"
18822,NY,New York,5.9,"4,179"
18823,NY,New York,11.7,"2,061"
18824,NY,New York,15.8,"2,957"
18825,NY,New York,11.0,"3,907"
18826,NY,New York,14.0,"3,976"
18827,NY,New York,10.0,"2,162"
18828,NY,New York,9.1,"3,767"
18829,NY,New York,10.0,"1,875"
18830,NY,New York,11.5,"4,942"
18831,NY,New York,10.9,"1,302"
18832,NY,New York,12.5,"2,599"
18833,NY,New York,5.9,"4,270"
18834,NY,New York,14.2,"1,413"
18835,NY,New York,10.8,"3,363"
