,CA_City,CA_PopByMM,CA_DiagPer100k
1768,CA Chino,"4,925",9.2
1769,CA Compton,"3,057",12.3
1770,CA Corona,"5,691",8.0
1771,CA Concord,"6,309",8.1
1772,CA Chula Vista,"7,922",7.7
1773,CA Berkeley,"3,118",8.9
1775,CA Chino,61,6.1
1776,CA Inglewood,"2,329",11.7
1777,CA Citrus Heights,"5,265",9.8
1778,CA Chula Vista,"3,627",8.0
1779,CA Chino,"6,076",8.5
1780,CA Baldwin Park,"5,205",10.7
1781,CA Corona,"5,737",7.8
1782,CA Apple Valley,"69,135",11.9
1783,CA Burbank,"3,205",8.2
1784,CA Chula Vista,"4,014",13.6
1785,CA Corona,"2,400",9.1
1786,CA Chico,"4,410",9.8
1787,CA Bakersfield,"7,641",7.2
1788,CA Chula Vista,"28,960",8.6
1789,CA Daly City,"6,913",9.8
1790,CA Bakersfield,"7,111",16.7
1791,CA Compton,"96,455",12.7
1792,CA Berkeley,"112,580",6.0
1793,CA Daly City,"3,926",9.4
1794,CA Chico,"6,102",7.7
1795,CA Corona,"4,255",7.9
1796,CA Downey,"3,926",10.0
1797,CA Bellflower,"4,108",9.3
1798,CA Elk Grove,"5,922",10.7
1799,CA Fresno,"2,566",10.5
1800,CA El Cajon,"4,919",9.6
1801,CA Fontana,"4,841",12.3
1802,CA Fresno,"3,248",7.8
1803,CA Escondido,"2,480",7.4
1804,CA Fresno,"3,139",9.3
1805,CA El Monte,"4,395",11.6
1806,CA El Monte,"5,262",13.4
1807,CA Hayward,"2,338",8.8
1808,CA Fresno,"4,519",11.6
1809,CA Hawthorne,169,12.7
1810,CA Fullerton,"4,379",7.4
1811,CA Hayward,"4,571",9.6
1812,CA Fresno,"5,520",12.5
1813,CA El Cajon,"3,770",10.5
1814,CA Fairfield,"5,520",11.9
1815,CA Elk Grove,"5,576",8.9
1816,CA Fremont,"3,663",6.1
1817,CA Glendale,"3,749",11.7
1818,CA Fresno,"3,884",14.3
1819,CA El Monte,"2,837",13.5
1821,CA Fontana,"9,189",10.2
1822,CA Escondido,"3,656",8.8
1823,CA El Cajon,"99,478",10.1
1824,CA Elk Grove,"5,245",7.9
1825,CA Hayward,"3,284",9.6
1826,CA Glendale,"6,140",8.1
1827,CA Glendale,"2,016",7.6
1828,CA Elk Grove,"1,483",13.6
1829,CA Fresno,"6,951",8.3
1830,CA Garden Grove,"6,326",13.8
1831,CA Garden Grove,"4,433",10.0
1832,CA Glendale,"6,947",8.0
1833,CA Garden Grove,"4,703",8.4
1834,CA Hawthorne,"4,156",9.8
1835,CA El Monte,"6,310",13.5
1836,CA El Cajon,"5,821",8.7
1837,CA Escondido,"1,771",9.5
1838,CA Fremont,"5,553",8.4
1839,CA Fresno,356,9.0
1840,CA Fresno,"1,928",6.3
1841,CA Fullerton,"6,626",8.7
1842,CA Fremont,"4,611",8.0
1843,CA Fremont,"4,788",7.5
1844,CA Glendale,"4,368",8.2
1845,CA Glendale,"2,849",9.1
1846,CA El Monte,"3,421",11.6
1847,CA Garden Grove,"4,060",11.2
1848,CA Hawthorne,"4,072",10.1
1849,CA Fairfield,"4,559",10.5
1850,CA Fullerton,"5,732",5.5
1851,CA Elk Grove,"7,824",9.2
1852,CA Escondido,"2,501",9.3
1853,CA Fresno,"5,211",7.9
1854,CA Folsom,"2,793",5.2
1855,CA Garden Grove,"3,482",9.8
1856,CA Hawthorne,"4,329",10.5
1857,CA Hayward,"4,528",10.0
1858,CA Fresno,"1,072",10.1
1859,CA Garden Grove,788,9.9
1860,CA Fresno,"5,794",7.4
1861,CA Glendale,"6,491",9.0
1862,CA El Cajon,"4,024",10.3
1863,CA Escondido,"3,213",8.5
1864,CA El Monte,"4,726",13.1
1865,CA Fresno,"5,212",12.7
1866,CA Hayward,"3,195",9.5
1867,CA Fremont,"5,869",8.7
1868,CA Fontana,"2,798",10.7
1869,CA Fremont,"6,159",4.2
1870,CA Fresno,"1,106",12.0
1872,CA Fullerton,"3,297",12.8
1873,CA Escondido,"6,689",11.0
1874,CA Garden Grove,"3,005",10.0
1875,CA Fresno,"5,431",15.7
1876,CA Hawthorne,"6,769",10.9
1877,CA Fairfield,"105,321",9.4
1878,CA Glendale,"7,810",9.6
1879,CA Glendale,"3,917",9.7
1880,CA Elk Grove,"3,554",10.9
1881,CA Escondido,"4,028",10.1
1882,CA Fontana,"4,446",11.6
1883,CA Garden Grove,"3,194",8.7
1884,CA Fontana,"9,013",6.8
1885,CA Fairfield,"4,393",9.4
1886,CA Fairfield,"2,455",3.1
1887,CA Folsom,"6,825",6.1
1888,CA Fresno,"3,909",10.7
1889,CA Fremont,"3,704",8.4
1890,CA Fresno,"6,343",15.8
1891,CA Fresno,"5,062",10.5
1892,CA Fresno,"2,888",13.1
1893,CA El Cajon,"2,419",8.4
1894,CA Fontana,"1,893",10.9
1895,CA Folsom,"5,246",7.1
1896,CA Garden Grove,112,13.8
1897,CA El Monte,"113,475",12.8
1898,CA Fontana,"8,005",11.9
1899,CA Escondido,"4,254",8.8
1900,CA Fullerton,"3,869",10.4
1901,CA Hawthorne,"2,802",10.0
1902,CA Fullerton,"5,565",9.6
1903,CA Fremont,"5,166",8.3
1904,CA Fresno,"5,305",7.7
1905,CA Hayward,"5,755",8.4
1906,CA Elk Grove,"153,015",9.1
1907,CA Fontana,"18,904",8.2
1908,CA Hawthorne,"4,273",11.8
1909,CA El Cajon,"1,391",10.1
1910,CA Fresno,"5,882",14.8
1911,CA Garden Grove,"7,859",10.1
1912,CA El Monte,87,22.8
1913,CA Fremont,"4,561",8.9
1914,CA Glendale,"4,895",9.8
1915,CA Fairfield,"4,557",8.1
1916,CA Fontana,"7,826",8.5
1917,CA Fresno,"3,343",5.8
1918,CA Hayward,"4,251",9.9
1919,CA Garden Grove,"3,973",14.0
1920,CA Elk Grove,"4,640",10.5
1921,CA Fairfield,"3,807",10.7
1922,CA Fresno,"3,174",15.4
1923,CA Fresno,"3,884",17.5
1924,CA Fullerton,"4,721",9.8
1925,CA Elk Grove,"6,811",8.8
1926,CA Folsom,"5,505",8.8
1927,CA Fresno,"4,171",7.5
1928,CA Escondido,"3,649",9.1
1929,CA Hayward,"5,179",6.7
1930,CA El Monte,89,8.9
1931,CA Fremont,"5,074",7.9
1932,CA Fontana,"4,460",9.6
1933,CA Glendale,"6,908",9.6
1934,CA Folsom,"2,186",7.4
1935,CA El Cajon,"5,444",9.8
1936,CA Fullerton,"7,693",10.3
1937,CA Hayward,"6,091",8.6
1938,CA Fresno,"3,931",16.4
1939,CA Fremont,"6,253",7.7
1940,CA Fullerton,"3,916",10.3
1941,CA Fairfield,"6,741",7.1
1942,CA Fremont,"6,802",7.6
1943,CA Fontana,"1,702",12.9
1944,CA El Monte,"2,410",11.3
1945,CA Fresno,"3,298",9.5
1946,CA Fullerton,"3,650",5.7
1947,CA El Cajon,"2,238",7.5
1948,CA Elk Grove,"153,015",9.4
1949,CA Fairfield,"3,674",11.9
1950,CA Fresno,"3,783",16.2
1951,CA Garden Grove,"6,305",11.3
1952,CA Hawthorne,"5,230",9.4
1953,CA Escondido,"5,143",12.6
1954,CA Fontana,"7,639",9.0
1955,CA Elk Grove,"7,222",9.1
1956,CA El Monte,"8,194",11.8
1957,CA Fresno,"3,517",6.8
1958,CA Fresno,"3,922",9.7
1959,CA Hayward,"4,621",8.7
1960,CA Fresno,"3,146",13.7
1961,CA Garden Grove,"170,883",11.6
1963,CA Folsom,"4,711",6.1
1964,CA Fresno,"1,265",11.8
1966,CA Fullerton,"3,418",11.6
1967,CA Hayward,"3,920",10.6
1968,CA Garden Grove,"6,107",11.9
1969,CA Fullerton,842,9.9
1970,CA El Cajon,"5,774",7.7
1971,CA Fontana,"4,647",12.7
1972,CA El Monte,"2,095",12.5
1973,CA Fresno,"5,821",15.2
1974,CA Glendale,"5,556",9.7
1975,CA Fullerton,"6,638",9.7
1976,CA Fresno,"5,054",9.9
1977,CA Fontana,"5,040",11.3
1978,CA Hayward,"3,473",9.9
1979,CA Garden Grove,"3,124",9.6
1980,CA Escondido,"4,748",12.7
1981,CA Elk Grove,"7,049",8.1
1982,CA El Cajon,"3,179",10.9
1983,CA El Monte,"3,780",11.7
1984,CA Garden Grove,"3,484",7.6
1985,CA Escondido,"5,196",11.8
1986,CA Fremont,"3,179",6.9
1987,CA Fresno,"3,594",9.7
1988,CA Elk Grove,"12,604",9.6
1989,CA Fresno,994,12.3
1990,CA Fresno,"494,665",11.2
1991,CA Fontana,"6,529",9.1
1992,CA Garden Grove,"1,304",11.1
1993,CA Fresno,69,18.0
1995,CA Fontana,"7,739",8.8
1996,CA Hayward,"6,573",10.6
1997,CA Fresno,"4,720",10.0
1998,CA Fresno,"4,218",13.3
1999,CA Fresno,"4,522",9.2
2000,CA El Cajon,"4,673",13.4
2001,CA Hawthorne,"5,416",10.8
2002,CA Fresno,"3,624",12.6
2003,CA Glendale,"3,856",13.2
2004,CA Elk Grove,"2,282",10.4
2005,CA Garden Grove,"5,143",13.3
2006,CA Glendale,"3,532",9.7
2008,CA Fresno,"3,480",8.4
2009,CA Fontana,"5,417",11.0
2010,CA Escondido,"1,748",8.0
2011,CA Elk Grove,"5,321",9.0
2012,CA Garden Grove,"3,110",13.0
2013,CA Fairfield,"1,359",1.3
2014,CA Hayward,"4,503",8.9
2015,CA El Monte,"1,595",13.4
2016,CA Fremont,"3,212",8.6
2017,CA Fremont,"5,389",5.6
2018,CA Fresno,"2,815",14.5
2019,CA Fresno,"4,555",15.6
2020,CA El Monte,"5,593",12.9
2021,CA Fremont,"5,918",8.3
2022,CA Garden Grove,"4,819",12.6
2023,CA Fresno,"1,788",10.5
2024,CA El Monte,"5,821",11.6
2025,CA Elk Grove,"3,545",8.8
2026,CA Fresno,"8,757",10.1
2027,CA Fresno,"5,419",12.9
2028,CA Hawthorne,"2,438",14.5
2029,CA Glendale,"4,234",10.8
2030,CA Fresno,"4,491",8.9
2032,CA Fairfield,"4,108",8.1
2033,CA Escondido,"143,911",10.3
2034,CA Fresno,"3,425",10.4
2035,CA Escondido,"5,743",13.6
2036,CA Fullerton,"4,687",9.0
2037,CA Fremont,"7,371",8.8
2038,CA Hawthorne,"2,703",9.3
2039,CA Hayward,"3,217",11.6
2040,CA Fresno,"3,899",9.8
2041,CA Fresno,"4,010",8.5
2042,CA Fontana,"9,721",10.6
2043,CA El Cajon,203,8.1
2044,CA Glendale,"5,363",9.6
2045,CA Garden Grove,"170,883",11.5
2046,CA Fontana,636,13.1
2047,CA Glendale,"6,463",8.6
2048,CA Glendale,"6,439",8.8
2049,CA El Cajon,"7,102",13.9
2050,CA Fullerton,"4,101",8.5
2051,CA Garden Grove,"4,012",11.3
2052,CA Fairfield,"3,142",10.6
2053,CA Fresno,"4,105",12.0
2054,CA Hayward,"3,746",7.8
2055,CA Fremont,"7,301",6.1
2056,CA Fresno,"2,860",11.5
2057,CA Fontana,"5,466",11.6
2058,CA Garden Grove,"4,049",11.9
2059,CA Fresno,"5,796",14.7
2060,CA Glendale,"191,719",9.3
2061,CA Fremont,"4,456",8.3
2062,CA Hawthorne,"3,187",9.1
2063,CA El Cajon,"6,284",10.3
2064,CA Fresno,"5,111",8.4
2065,CA Elk Grove,"5,073",8.2
2066,CA Folsom,"4,320",6.1
2067,CA Fairfield,"6,575",6.9
2068,CA Fresno,"4,475",7.6
2069,CA Fairfield,"3,368",8.7
2070,CA Fullerton,"1,727",9.8
2071,CA Fresno,"2,867",9.3
2072,CA Garden Grove,162,13.6
2073,CA Fresno,"5,205",15.1
2074,CA Hayward,"4,540",10.1
2075,CA Fullerton,"2,967",9.2
2076,CA Glendale,"6,198",10.1
2077,CA Garden Grove,"5,866",12.8
2078,CA Hawthorne,"5,863",10.5
2079,CA Fontana,"5,723",8.8
2080,CA Fresno,"5,188",8.6
2081,CA Escondido,"4,222",9.6
2082,CA El Monte,"4,893",11.5
2083,CA El Cajon,"3,074",10.5
2084,CA Fontana,"5,366",9.2
2085,CA Garden Grove,"1,984",12.8
2086,CA Garden Grove,"4,791",10.3
2087,CA Escondido,"3,592",8.2
2088,CA Fresno,663,9.4
2089,CA Fairfield,"3,255",11.1
2090,CA Fresno,638,12.3
2091,CA Folsom,"4,744",6.9
2092,CA Glendale,"1,902",7.9
2093,CA Fresno,"4,292",11.8
2094,CA Fullerton,"4,698",8.6
2095,CA Glendale,"191,719",8.4
2096,CA Fresno,"5,252",17.1
2097,CA Fresno,"1,191",11.0
2098,CA Garden Grove,"5,249",12.9
2099,CA Fresno,"3,412",9.1
2100,CA Folsom,"5,472",10.3
2101,CA Fontana,"7,502",11.1
2102,CA Fresno,"3,560",8.1
2103,CA Fremont,"214,089",7.6
2104,CA Garden Grove,"3,936",10.8
2105,CA Fullerton,"1,434",11.6
2106,CA Escondido,"4,613",8.5
2107,CA Glendale,"6,144",7.5
2108,CA Hawthorne,"1,630",9.1
2109,CA Fremont,"7,436",7.2
2110,CA Fresno,"3,635",11.7
2111,CA Garden Grove,482,11.9
2112,CA El Monte,"3,951",12.3
2113,CA Fremont,"3,844",7.4
2114,CA Garden Grove,"1,828",8.6
2115,CA Fresno,"4,599",14.0
2116,CA El Cajon,"1,998",10.0
2117,CA Fresno,"3,328",13.1
2118,CA Hayward,"5,368",10.5
2119,CA Fresno,"494,665",12.4
2120,CA Fullerton,"4,356",10.7
2121,CA Hayward,"4,583",7.1
2122,CA El Monte,"6,564",12.6
2123,CA Fairfield,"3,427",9.5
2124,CA Fresno,"5,653",16.6
2125,CA Fresno,"3,520",12.8
2126,CA El Monte,"4,582",12.1
2128,CA Fontana,"5,508",10.5
2129,CA Fullerton,"5,725",7.5
2130,CA Fontana,"196,069",12.4
2131,CA Fontana,"3,120",17.5
2132,CA Elk Grove,"2,742",9.2
2133,CA Hayward,"6,724",8.8
2134,CA Elk Grove,"9,389",8.3
2135,CA Escondido,"4,639",10.4
2136,CA Hayward,"3,111",10.2
2137,CA Fremont,"4,980",9.9
2139,CA Fairfield,"2,275",8.9
2140,CA Glendale,923,6.8
2142,CA Fullerton,"135,161",9.0
2143,CA El Cajon,"5,843",8.5
2144,CA Garden Grove,"8,343",11.2
2145,CA Fresno,"3,556",10.7
2146,CA Fresno,"5,888",12.3
2147,CA Fresno,"6,613",7.3
2148,CA Fontana,142,9.3
2149,CA Hawthorne,"84,293",12.0
2150,CA Fremont,"4,074",7.5
2151,CA Escondido,"5,560",9.2
2152,CA El Cajon,529,9.2
2153,CA Hayward,"4,256",8.6
2154,CA Fresno,"5,723",14.1
2155,CA Folsom,"72,203",7.3
2156,CA Hayward,"2,317",8.3
2157,CA Fremont,"2,873",7.5
2158,CA Hayward,"1,876",7.7
2159,CA Fontana,"1,368",13.0
2160,CA Escondido,"4,522",7.3
2161,CA Fresno,"4,959",14.7
2162,CA Fremont,"5,558",7.7
2163,CA Fresno,"2,067",13.0
2164,CA Elk Grove,"3,165",9.1
2165,CA El Cajon,683,8.6
2166,CA El Monte,"2,568",20.0
2167,CA Fremont,"4,077",5.7
2168,CA Fullerton,141,6.6
2169,CA Glendale,"4,330",10.8
2170,CA Fairfield,"2,670",11.9
2171,CA Fairfield,"3,295",10.2
2172,CA Fresno,"1,470",8.6
2173,CA Fontana,"3,982",11.3
2174,CA Hayward,"3,649",9.4
2175,CA Fresno,"3,606",12.7
2176,CA Escondido,"1,495",9.2
2177,CA Fresno,"4,694",12.7
2178,CA Elk Grove,"6,032",10.5
2179,CA Fresno,"2,735",10.9
2181,CA Folsom,"6,747",6.6
2182,CA Hayward,"144,186",9.2
2183,CA Fresno,"2,629",8.9
2184,CA El Monte,391,6.5
2185,CA Fresno,"4,997",9.7
2186,CA Fresno,"6,319",7.7
2187,CA Glendale,"4,214",9.4
2188,CA El Cajon,"6,239",11.3
2189,CA Fresno,"3,895",9.6
2190,CA Fresno,"5,740",11.9
2191,CA Fresno,"4,040",8.0
2192,CA Hayward,"2,017",9.2
2193,CA Fullerton,"1,982",8.4
2194,CA Escondido,"143,911",9.8
2195,CA Garden Grove,"6,567",13.1
2196,CA Fremont,"4,103",5.5
2197,CA El Cajon,"3,450",10.4
2198,CA Fremont,"5,233",7.9
2199,CA Fullerton,"4,103",11.1
2200,CA Hawthorne,"6,992",10.9
2201,CA Fresno,"5,674",11.2
2202,CA Hayward,"3,731",10.2
2203,CA Fremont,"2,917",7.8
2204,CA Glendale,"5,254",10.7
2205,CA Glendale,"2,209",7.4
2206,CA Garden Grove,"6,430",11.7
2207,CA Hawthorne,391,7.9
2208,CA Elk Grove,"5,814",9.4
2209,CA Fairfield,"8,318",7.3
2210,CA Fresno,"5,192",15.4
2211,CA Glendale,"4,079",9.2
2212,CA Fullerton,"5,473",4.5
2213,CA Fairfield,"5,065",10.0
2214,CA Elk Grove,"5,859",7.9
2215,CA Escondido,"5,127",9.7
2216,CA Garden Grove,"4,520",11.6
2217,CA Fresno,"3,167",15.9
2218,CA Fairfield,"5,148",11.9
2219,CA Folsom,"2,520",6.2
2220,CA Garden Grove,"5,317",10.9
2221,CA Glendale,"8,053",8.7
2222,CA Fresno,"4,933",12.9
2223,CA Fresno,"4,006",9.6
2224,CA Fresno,"4,978",9.8
2225,CA Folsom,"6,228",6.4
2226,CA Glendale,"1,998",7.9
2227,CA Garden Grove,298,11.8
2228,CA Escondido,"6,584",9.9
2229,CA Fullerton,"7,451",8.5
2230,CA Fresno,"4,145",10.2
2231,CA Fresno,"6,682",12.5
2232,CA El Monte,"6,163",13.4
2233,CA Hayward,"5,216",8.5
2234,CA Fremont,"6,816",7.0
2235,CA Fresno,"2,284",6.6
2236,CA Fremont,"5,605",6.6
2237,CA El Monte,"113,475",13.9
2238,CA Escondido,"2,587",8.6
2239,CA El Monte,"3,858",12.1
2240,CA Garden Grove,"3,647",10.4
2241,CA El Cajon,673,8.2
2242,CA Hayward,"4,027",8.8
2243,CA Fresno,"3,567",11.5
2244,CA Fresno,"4,009",9.3
2245,CA Elk Grove,"7,000",8.8
2246,CA Fresno,"2,102",9.5
2247,CA Fresno,"6,463",12.6
2249,CA Fresno,"1,631",12.4
2250,CA Glendale,"3,534",10.0
2251,CA Garden Grove,"5,004",11.3
2252,CA Fremont,"214,089",7.5
2253,CA Fresno,"3,132",6.6
2254,CA Fontana,"6,125",10.1
2255,CA Lake Forest,"4,006",9.0
2256,CA Fontana,814,11.8
2257,CA Escondido,908,10.0
2258,CA Hawthorne,"7,022",9.9
2259,CA Fresno,"1,276",2.4
2260,CA Escondido,"5,779",8.2
2261,CA Hayward,"2,222",8.8
2262,CA El Monte,"4,554",11.8
2263,CA Fremont,"2,816",8.6
2264,CA Fresno,"2,641",11.4
2265,CA Fresno,131,7.0
2266,CA Fresno,"2,961",14.4
2267,CA Hawthorne,"3,195",11.8
2268,CA Fullerton,"2,810",8.7
2269,CA Hayward,"7,675",8.6
2270,CA Glendale,"3,908",9.2
2271,CA El Cajon,"3,262",7.1
2272,CA Fremont,"6,786",7.5
2273,CA El Monte,"3,333",12.7
2274,CA Fresno,"4,673",14.1
2275,CA Fontana,"1,025",10.8
2276,CA Glendale,"5,504",10.6
2277,CA Fresno,"10,762",8.6
2278,CA Escondido,"4,765",10.0
2279,CA Elk Grove,658,9.6
2280,CA Fremont,"3,142",6.2
2281,CA Hayward,"144,186",9.8
2282,CA Glendale,"5,604",8.4
2283,CA El Cajon,"1,217",7.5
2284,CA Escondido,"5,620",9.5
2285,CA Glendale,"5,740",7.3
2286,CA Fremont,"4,080",6.1
2287,CA Fresno,"4,738",15.8
2288,CA Folsom,"4,085",8.4
2289,CA Garden Grove,"4,022",13.4
2290,CA Hawthorne,"4,407",9.6
2291,CA Fresno,"5,732",7.5
2292,CA Fontana,"196,069",10.1
2293,CA El Monte,"3,789",14.7
2294,CA Fresno,"1,359",4.7
2295,CA Fresno,"4,604",11.7
2296,CA Glendale,"3,865",7.6
2297,CA Fontana,"5,085",11.3
2298,CA Folsom,"3,819",5.6
2299,CA Elk Grove,"6,003",7.9
2300,CA El Cajon,"5,852",10.8
2301,CA Fremont,"4,388",8.2
2302,CA Fullerton,"4,140",11.0
2303,CA Fresno,"2,851",10.7
2304,CA Hayward,"1,019",9.7
2305,CA Garden Grove,"5,551",12.5
2306,CA El Monte,"4,675",12.8
2307,CA Fairfield,"5,202",10.4
2308,CA Fresno,"7,357",9.8
2309,CA Fullerton,571,3.6
2310,CA Hawthorne,"84,293",10.3
2311,CA Glendale,"3,578",9.3
2312,CA Fontana,"6,584",12.4
2313,CA El Cajon,"3,550",10.8
2314,CA Fullerton,"2,325",8.5
2317,CA Fremont,"6,875",8.3
2318,CA Fairfield,"3,819",11.4
2319,CA Fremont,"6,931",8.1
2320,CA Fresno,"3,609",17.8
2321,CA Fullerton,"7,154",10.6
2322,CA Elk Grove,"1,425",10.8
2323,CA Escondido,"5,217",10.7
2324,CA Fremont,"4,029",8.4
2325,CA Hawthorne,"3,477",6.7
2326,CA Garden Grove,"6,067",12.8
2327,CA Fairfield,"105,321",9.7
2328,CA Folsom,"3,275",9.1
2329,CA Fullerton,"7,955",9.6
2330,CA Fresno,"2,491",19.2
2331,CA Fresno,"5,527",8.0
2332,CA Fairfield,"4,113",10.2
2333,CA Escondido,"6,702",10.4
2334,CA Fresno,"7,254",7.0
2335,CA Hayward,"3,408",9.5
2336,CA Folsom,"3,687",6.1
2337,CA Fontana,"10,725",9.3
2338,CA Escondido,"3,927",8.5
2339,CA El Cajon,647,10.5
2340,CA Glendale,"4,990",8.7
2341,CA Fullerton,"135,161",9.4
2342,CA Glendale,"4,841",8.9
2343,CA El Cajon,"99,478",10.4
2344,CA Garden Grove,630,12.8
2345,CA Hayward,407,8.3
2346,CA Fresno,"5,208",10.2
2347,CA Fairfield,"1,662",12.5
2348,CA El Monte,"4,575",12.9
2349,CA Elk Grove,"5,241",9.3
2350,CA Fremont,"4,308",9.0
2351,CA Fresno,"6,161",14.7
2352,CA Escondido,"7,403",8.4
2353,CA Fremont,"2,985",7.4
2354,CA Garden Grove,"6,785",11.5
2355,CA Hayward,"2,331",10.1
2356,CA Fremont,"7,194",7.5
2357,CA Fresno,"3,314",13.4
2358,CA Elk Grove,"7,864",8.6
2359,CA Fresno,235,10.9
2360,CA El Monte,"2,281",14.2
2361,CA Glendale,"5,944",12.1
2362,CA Fresno,"2,376",9.9
2363,CA Fairfield,"2,798",8.9
2364,CA Fontana,"7,089",8.8
2365,CA Elk Grove,"7,672",8.0
2367,CA Fullerton,"1,015",11.8
2368,CA Escondido,"5,813",10.3
2369,CA Hayward,"6,448",9.4
2370,CA Hawthorne,"5,702",10.4
2371,CA Glendale,"3,790",9.5
2372,CA Fresno,"5,098",13.5
2373,CA El Cajon,"5,220",9.6
2374,CA El Monte,642,17.6
2375,CA Fremont,"4,010",5.9
2376,CA Glendale,"3,578",8.9
2377,CA Lake Forest,"4,165",6.6
2378,CA Long Beach,"4,323",12.9
2379,CA Irvine,"4,105",6.8
2380,CA Huntington Beach,360,12.3
2381,CA Huntington Beach,"4,031",9.3
2382,CA Long Beach,"5,421",10.7
2383,CA Long Beach,"4,047",7.3
2384,CA Lakewood,"4,770",8.6
2385,CA Lancaster,"6,188",7.2
2386,CA Hesperia,"4,081",12.9
2387,CA Long Beach,"2,091",7.6
2388,CA Lancaster,"5,243",10.3
2389,CA Lakewood,"4,543",10.6
2390,CA Hesperia,"5,221",13.0
2391,CA Long Beach,"1,045",8.8
2392,CA Indio,"1,561",11.4
2393,CA Indio,"2,293",15.5
2394,CA Irvine,"5,672",8.0
2395,CA Huntington Beach,"4,468",9.3
2397,CA Long Beach,"2,836",8.4
2398,CA Long Beach,"2,837",16.4
2399,CA Lake Forest,"77,264",7.9
2400,CA Inglewood,"4,683",13.0
2401,CA Hemet,945,10.3
2402,CA Hemet,"5,872",15.7
2403,CA Lake Forest,"4,761",5.9
2404,CA Lancaster,"5,214",11.7
2405,CA Livermore,"80,968",6.8
2406,CA Huntington Beach,"3,584",8.3
2407,CA Long Beach,"5,155",12.1
2408,CA Inglewood,"2,597",12.8
2409,CA Huntington Beach,"3,498",9.0
2410,CA Long Beach,117,18.8
2411,CA Lakewood,"5,747",7.6
2412,CA Livermore,"3,856",6.9
2413,CA Long Beach,"1,152",13.0
2414,CA Hesperia,"7,068",10.9
2415,CA Long Beach,"1,448",7.6
2416,CA Long Beach,"7,330",11.0
2417,CA Huntington Beach,"8,230",9.9
2418,CA Inglewood,"4,191",11.7
2419,CA Huntington Beach,"3,598",5.7
2420,CA Irvine,"5,111",7.8
2421,CA Lakewood,"80,048",8.4
2422,CA Long Beach,61,23.7
2423,CA Indio,"4,459",15.1
2424,CA Lake Forest,"4,230",7.1
2425,CA Hemet,"2,866",12.2
2426,CA Livermore,"3,742",7.2
2427,CA Huntington Beach,"189,992",7.6
2428,CA Long Beach,"3,369",9.6
2429,CA Inglewood,"2,551",12.8
2430,CA Lakewood,"2,433",8.7
2431,CA Long Beach,"3,608",5.7
2432,CA Huntington Beach,"5,115",7.1
2434,CA Long Beach,76,12.5
2435,CA Long Beach,"1,277",10.6
2436,CA Livermore,"3,337",6.5
2437,CA Lancaster,"5,089",11.1
2438,CA Long Beach,"3,253",6.2
2439,CA Irvine,"3,581",6.4
2440,CA Lancaster,"4,352",10.9
2441,CA Huntington Beach,"4,500",9.7
2442,CA Long Beach,"4,409",10.7
2443,CA Inglewood,"4,115",11.1
2444,CA Huntington Beach,"5,847",8.8
2445,CA Indio,537,10.5
2446,CA Huntington Beach,"1,966",8.8
2447,CA Long Beach,"3,995",6.7
2448,CA Irvine,"8,391",8.2
2449,CA Long Beach,"4,916",11.6
2450,CA Long Beach,"3,802",8.8
2451,CA Lake Forest,"5,182",9.5
2452,CA Irvine,"5,391",6.2
2453,CA Lancaster,"1,760",7.9
2454,CA Irvine,549,3.4
2455,CA Long Beach,"1,802",11.5
2456,CA Long Beach,"5,250",12.8
2457,CA Inglewood,"109,673",13.0
2458,CA Irvine,"8,833",6.9
2459,CA Huntington Beach,"4,101",9.0
2460,CA Indio,"2,978",17.5
2461,CA Livermore,"6,610",7.6
2462,CA Hemet,"7,646",11.1
2463,CA Long Beach,"3,496",11.3
2464,CA Long Beach,"5,795",7.6
2465,CA Lakewood,"2,699",7.9
2466,CA Long Beach,"6,415",9.5
2467,CA Lancaster,"3,050",6.7
2468,CA Lancaster,"3,822",7.8
2469,CA Hemet,"4,112",15.5
2470,CA Irvine,"8,186",8.4
2471,CA Huntington Beach,"3,035",8.4
2472,CA Hesperia,"5,434",12.4
2473,CA Indio,"8,421",13.3
2474,CA Long Beach,"4,107",11.4
2475,CA Lakewood,"80,048",8.6
2476,CA Long Beach,"6,158",11.0
2477,CA Indio,"5,471",10.2
2478,CA Huntington Beach,"8,090",12.0
2479,CA Hemet,"2,641",15.5
2480,CA Long Beach,"6,092",11.4
2481,CA Long Beach,"5,141",7.3
2483,CA Lake Forest,"5,545",6.8
2484,CA Long Beach,"6,230",12.1
2485,CA Huntington Beach,"4,287",6.9
2486,CA Inglewood,"5,059",10.6
2487,CA Long Beach,"6,616",10.2
2488,CA Lakewood,864,12.2
2489,CA Livermore,"3,419",5.9
2490,CA Long Beach,"5,167",11.6
2491,CA Hemet,"5,791",13.7
2492,CA Livermore,"1,509",6.6
2494,CA Lakewood,"4,612",8.8
2495,CA Long Beach,"4,130",11.3
2496,CA Huntington Beach,583,5.5
2497,CA Irvine,"3,469",8.4
2498,CA Inglewood,"1,914",13.4
2499,CA Huntington Beach,"2,480",8.9
2500,CA Indio,"3,035",16.2
2501,CA Long Beach,"4,284",7.4
2502,CA Long Beach,"4,661",10.0
2503,CA Lake Forest,"77,264",7.8
2504,CA Livermore,"4,510",6.6
2505,CA Lake Forest,"5,119",5.9
2506,CA Long Beach,"4,543",8.2
