,AZ_City,AZ_PopByMM,AZ_DeathPer100k
3066,AZ Phoenix,3248,11.6
3067,AZ Phoenix,5192,7.3
3068,AZ Phoenix,3697,12.5
3069,AZ Phoenix,8017,8.4
3070,AZ Phoenix,3858,12.0
3071,AZ Mesa,2362,8.7
3072,AZ Phoenix,1445632,9.5
3073,AZ Phoenix,7105,8.0
3074,AZ Phoenix,4214,10.6
3075,AZ Phoenix,5891,9.3
3076,AZ Phoenix,4240,8.3
3077,AZ Phoenix,3234,6.1
3078,AZ Peoria,4021,7.3
3079,AZ Phoenix,4881,8.4
3080,AZ Phoenix,4956,12.9
3081,AZ Phoenix,5053,13.5
3082,AZ Glendale,3369,10.4
3084,AZ Phoenix,2800,10.2
3085,AZ Phoenix,1180,6.9
3086,AZ Mesa,2753,6.9
3087,AZ Mesa,5902,10.8
3088,AZ Peoria,3773,12.4
3089,AZ Glendale,6612,10.4
3090,AZ Phoenix,2998,9.3
3091,AZ Phoenix,3389,15.3
3092,AZ Phoenix,5055,12.2
3093,AZ Phoenix,2614,13.1
3094,AZ Mesa,3819,11.2
3096,AZ Phoenix,5093,9.2
3097,AZ Peoria,5110,8.0
3098,AZ Phoenix,2679,11.1
3099,AZ Mesa,6556,7.5
3100,AZ Phoenix,6740,15.1
3101,AZ Mesa,2276,13.8
3102,AZ Phoenix,3068,9.7
3103,AZ Phoenix,6104,7.1
3104,AZ Phoenix,2612,9.2
3105,AZ Phoenix,4000,8.7
3106,AZ Mesa,3404,15.2
3107,AZ Phoenix,1968,7.0
3108,AZ Phoenix,2315,9.1
3109,AZ Mesa,1384,7.4
3110,AZ Mesa,2694,7.2
3111,AZ Phoenix,6304,8.3
3112,AZ Phoenix,881,6.2
3113,AZ Glendale,4547,13.8
3114,AZ Glendale,226721,9.8
3115,AZ Phoenix,4612,6.3
3116,AZ Mesa,3325,7.3
3117,AZ Phoenix,5719,13.0
3118,AZ Phoenix,4496,8.1
3119,AZ Mesa,3682,8.7
3120,AZ Phoenix,4928,13.4
3121,AZ Phoenix,5827,9.7
3122,AZ Phoenix,5819,10.3
3123,AZ Phoenix,3405,7.2
3124,AZ Phoenix,6215,8.8
3125,AZ Mesa,4953,7.7
3126,AZ Phoenix,2477,18.0
3127,AZ Glendale,3072,9.2
3128,AZ Peoria,6218,10.1
3129,AZ Mesa,4273,8.7
3131,AZ Glendale,5027,10.1
3132,AZ Mesa,1760,9.6
3133,AZ Phoenix,4269,7.8
3134,AZ Phoenix,3534,6.6
3135,AZ Phoenix,2638,13.2
3136,AZ Glendale,3667,10.5
3137,AZ Glendale,2866,16.5
3138,AZ Phoenix,52,6.6
3139,AZ Mesa,5129,8.3
3140,AZ Phoenix,6823,4.6
3141,AZ Phoenix,3383,4.5
3142,AZ Peoria,4142,5.0
3143,AZ Phoenix,1677,15.4
3144,AZ Phoenix,2408,9.5
3145,AZ Phoenix,3219,7.3
3146,AZ Phoenix,3774,6.1
3147,AZ Phoenix,4373,8.4
3148,AZ Glendale,3274,9.5
3149,AZ Phoenix,1671,11.6
3151,AZ Mesa,88,6.4
3152,AZ Phoenix,2317,13.1
3153,AZ Phoenix,1964,8.4
3154,AZ Phoenix,5914,7.7
3155,AZ Mesa,3878,9.6
3156,AZ Phoenix,1803,12.2
3157,AZ Mesa,5807,9.7
3158,AZ Peoria,3125,10.8
3159,AZ Phoenix,1891,7.5
3160,AZ Phoenix,3961,11.2
3161,AZ Phoenix,2238,8.0
3162,AZ Phoenix,4805,11.8
3163,AZ Glendale,3702,8.5
3164,AZ Phoenix,7077,12.4
3165,AZ Glendale,4771,8.0
3166,AZ Phoenix,3851,7.5
3167,AZ Phoenix,1914,14.0
3168,AZ Peoria,3740,6.9
3169,AZ Phoenix,4339,13.0
3170,AZ Glendale,2237,5.6
3171,AZ Phoenix,3638,10.6
3172,AZ Phoenix,3848,7.2
3173,AZ Mesa,248,6.7
3174,AZ Phoenix,4395,7.7
3175,AZ Mesa,2261,9.4
3176,AZ Glendale,5898,9.4
3177,AZ Phoenix,2135,7.3
3178,AZ Phoenix,4668,12.2
3179,AZ Phoenix,4441,12.3
3180,AZ Phoenix,6211,8.8
3181,AZ Phoenix,2387,12.3
3182,AZ Phoenix,4212,7.1
3183,AZ Phoenix,2148,15.1
3185,AZ Phoenix,4096,12.1
3186,AZ Peoria,154065,7.9
3187,AZ Phoenix,2538,7.0
3188,AZ Peoria,3967,7.6
3189,AZ Phoenix,4146,11.8
3190,AZ Mesa,4774,7.0
3191,AZ Phoenix,2459,8.2
3192,AZ Phoenix,5943,10.7
3193,AZ Phoenix,3075,11.9
3194,AZ Phoenix,5397,11.3
3195,AZ Mesa,5715,6.3
3196,AZ Phoenix,6754,13.6
3197,AZ Peoria,3270,5.4
3198,AZ Phoenix,4347,7.9
3199,AZ Mesa,2954,15.4
3200,AZ Phoenix,2680,8.0
3201,AZ Mesa,4092,5.2
3202,AZ Phoenix,5107,11.9
3203,AZ Phoenix,7720,9.0
3204,AZ Phoenix,3556,7.4
3205,AZ Phoenix,2508,11.3
3206,AZ Mesa,4126,12.6
3207,AZ Phoenix,3587,6.7
3208,AZ Phoenix,4301,11.0
3209,AZ Phoenix,3279,8.4
3210,AZ Phoenix,3371,12.6
3211,AZ Phoenix,2319,8.4
3212,AZ Mesa,5978,9.6
3213,AZ Mesa,439041,9.0
3214,AZ Peoria,3472,13.8
3215,AZ Phoenix,2401,4.7
3216,AZ Glendale,3791,10.0
3217,AZ Phoenix,4723,11.7
3218,AZ Phoenix,3542,8.4
3219,AZ Phoenix,5604,13.3
3220,AZ Phoenix,6232,6.3
3221,AZ Phoenix,6295,7.4
3222,AZ Phoenix,1445632,10.4
3223,AZ Phoenix,2954,7.2
3224,AZ Mesa,6278,9.7
3225,AZ Phoenix,4154,6.9
3226,AZ Mesa,3527,7.9
3227,AZ Phoenix,2014,16.0
3228,AZ Phoenix,4762,6.9
3229,AZ Peoria,3640,8.9
3230,AZ Phoenix,4659,4.7
3231,AZ Mesa,499,13.2
3232,AZ Phoenix,5647,9.0
3233,AZ Phoenix,5017,9.9
3234,AZ Phoenix,3161,11.2
3235,AZ Glendale,4906,8.2
3236,AZ Phoenix,3647,7.3
3237,AZ Phoenix,3572,6.4
3238,AZ Phoenix,6246,8.7
3239,AZ Phoenix,3337,8.1
3240,AZ Phoenix,4160,8.0
3241,AZ Phoenix,3529,6.8
3242,AZ Mesa,4191,12.0
3243,AZ Mesa,3595,15.8
3244,AZ Phoenix,2271,8.1
3245,AZ Phoenix,5040,7.5
3246,AZ Mesa,2733,9.5
3247,AZ Phoenix,2355,9.6
3248,AZ Phoenix,5006,10.0
3249,AZ Phoenix,3864,13.6
3250,AZ Glendale,4082,12.8
3251,AZ Phoenix,4656,8.7
3252,AZ Mesa,3039,16.1
3253,AZ Glendale,132,8.1
3254,AZ Phoenix,4638,7.3
3255,AZ Phoenix,7467,11.4
3256,AZ Mesa,3464,6.0
3257,AZ Phoenix,3285,7.7
3258,AZ Phoenix,2742,11.3
3259,AZ Glendale,4935,12.6
3260,AZ Phoenix,4400,12.5
3261,AZ Phoenix,3037,6.8
3262,AZ Peoria,4078,7.6
3263,AZ Phoenix,5696,7.4
3264,AZ Phoenix,7512,6.6
3265,AZ Glendale,3336,7.9
3266,AZ Phoenix,2222,6.8
3267,AZ Mesa,3363,9.1
3268,AZ Glendale,5212,11.1
3269,AZ Mesa,4142,8.3
3270,AZ Glendale,4891,8.4
3271,AZ Phoenix,4065,6.6
3272,AZ Phoenix,4310,12.2
3273,AZ Mesa,4454,8.2
3274,AZ Peoria,3797,10.1
3275,AZ Phoenix,3149,15.1
3276,AZ Phoenix,3438,6.7
3277,AZ Mesa,5049,10.0
3278,AZ Glendale,4905,9.2
3279,AZ Phoenix,3619,9.6
3280,AZ Phoenix,2061,12.9
3281,AZ Phoenix,2578,6.5
3283,AZ Phoenix,3295,6.7
3284,AZ Phoenix,6514,4.5
3285,AZ Peoria,3595,10.7
3286,AZ Phoenix,4165,9.0
3287,AZ Mesa,3657,6.7
3288,AZ Phoenix,2700,7.5
3289,AZ Phoenix,2666,13.6
3290,AZ Phoenix,5332,12.7
3291,AZ Glendale,4068,12.9
3292,AZ Phoenix,2248,11.8
3293,AZ Glendale,4882,8.8
3294,AZ Phoenix,3758,12.6
3295,AZ Mesa,5617,10.0
3296,AZ Mesa,6346,6.5
3297,AZ Phoenix,3927,8.7
3298,AZ Mesa,4300,7.3
3299,AZ Phoenix,7123,11.7
3300,AZ Glendale,3318,6.2
3301,AZ Phoenix,1724,17.2
3302,AZ Mesa,750,10.9
3303,AZ Phoenix,5377,12.5
3304,AZ Phoenix,1789,6.1
3305,AZ Phoenix,2521,7.9
3306,AZ Glendale,2059,10.1
3307,AZ Peoria,2461,5.4
3308,AZ Phoenix,3230,9.7
3309,AZ Glendale,4841,11.5
3310,AZ Phoenix,4670,11.8
3311,AZ Phoenix,2348,7.5
3312,AZ Glendale,187,8.4
3313,AZ Phoenix,4738,6.6
3314,AZ Phoenix,2399,10.9
3315,AZ Mesa,5280,10.3
3316,AZ Phoenix,3838,15.5
3317,AZ Peoria,5341,5.8
3318,AZ Phoenix,6404,5.7
3319,AZ Phoenix,4563,10.9
