,NY_City,NY_PopByMM,NY_DeathPer100k
17548,NY New York,7817,10.6
17550,NY New York,6535,9.5
17551,NY New York,1912,11.6
17552,NY New York,1381,13.2
17553,NY New York,5001,12.9
17554,NY New York,2487,12.5
17555,NY New York,4550,12.4
17556,NY New York,4332,6.3
17557,NY New York,3262,5.2
17558,NY New York,6476,13.0
17559,NY New York,9033,13.0
17560,NY New York,2406,9.6
17561,NY New York,4120,11.9
17562,NY New York,2489,11.0
17563,NY New York,3806,12.0
17564,NY New York,4357,8.6
17565,NY New York,4247,5.6
17566,NY New York,1255,15.0
17567,NY New York,2364,6.9
17568,NY New York,5491,14.8
17569,NY New York,6777,10.2
17570,NY New York,4093,9.2
17571,NY New York,2721,12.6
17572,NY New York,4592,10.4
17573,NY New York,1802,13.7
17574,NY New York,2930,13.2
17575,NY New York,2010,11.4
17576,NY New York,2367,8.9
17577,NY New York,3752,11.8
17578,NY New York,2246,7.9
17579,NY New York,3712,8.4
17580,NY New York,4062,8.7
17581,NY New York,1647,14.7
17582,NY New York,4669,15.8
17583,NY New York,3088,9.0
17584,NY New York,4785,8.0
17585,NY New York,4348,11.1
17586,NY New York,2027,11.7
17587,NY New York,5240,11.9
17588,NY New York,6123,16.1
17589,NY New York,6743,11.3
17590,NY New York,3139,8.5
17591,NY New York,3236,14.2
17592,NY New York,1358,8.5
17593,NY New York,2481,8.3
17594,NY New York,3273,12.5
17595,NY New York,2766,11.9
17596,NY New York,3147,11.1
17597,NY New York,5598,12.8
17598,NY New York,1264,12.3
17599,NY New York,2975,12.3
17600,NY New York,8196,10.5
17601,NY New York,6380,5.6
17602,NY New York,7388,8.7
17603,NY New York,4284,11.3
17604,NY New York,3422,12.4
17605,NY New York,3836,10.6
17606,NY New York,2137,11.1
17607,NY New York,4340,13.8
17608,NY New York,3531,11.2
17609,NY New York,8521,12.7
17610,NY New York,1452,13.1
17611,NY New York,3296,11.5
17612,NY New York,2907,11.4
17613,NY New York,8478,14.4
17614,NY New York,4544,19.1
17615,NY New York,4875,4.7
17616,NY New York,2474,8.5
17617,NY New York,10149,11.7
17618,NY New York,4263,11.6
17619,NY New York,3907,8.2
17620,NY New York,3647,13.9
17621,NY New York,6372,7.8
17622,NY New York,2189,6.1
17623,NY New York,2055,11.2
17624,NY New York,2505,7.5
17625,NY New York,2339,12.5
17626,NY New York,3914,13.5
17627,NY New York,3572,9.1
17628,NY New York,2796,8.2
17629,NY New York,1579,13.2
17630,NY New York,5488,15.8
17631,NY New York,5283,16.5
17632,NY New York,8306,8.6
17633,NY New York,6008,11.6
17634,NY New York,5279,14.5
17635,NY New York,5368,12.6
17636,NY New York,3595,9.5
17637,NY New York,1675,9.7
17638,NY New York,2539,10.7
17639,NY New York,4395,11.3
17640,NY New York,3254,10.1
17641,NY New York,3292,10.6
17642,NY New York,3258,10.4
17643,NY New York,322,12.7
17644,NY New York,1663,13.4
17645,NY New York,3791,10.7
17647,NY New York,12774,5.4
17648,NY New York,3421,6.0
17649,NY New York,3142,17.1
17650,NY New York,3991,14.2
17651,NY New York,5415,15.1
17652,NY New York,8989,6.8
17653,NY New York,2690,13.1
17654,NY New York,1708,8.1
17655,NY New York,2164,19.0
17656,NY New York,4502,15.4
17657,NY New York,1818,13.2
17658,NY New York,5339,14.7
17659,NY New York,4611,9.5
17660,NY New York,6418,13.5
17661,NY New York,5308,9.4
17662,NY New York,7039,12.3
17663,NY New York,1351,9.0
17664,NY New York,3223,8.0
17665,NY New York,4511,6.4
17666,NY New York,3042,9.6
17667,NY New York,3313,12.3
17668,NY New York,6585,16.9
17669,NY New York,8490,7.5
17670,NY New York,3979,12.8
17671,NY New York,1818,8.1
17672,NY New York,4492,5.1
17673,NY New York,7564,13.3
17674,NY New York,2635,15.3
17675,NY New York,4100,10.9
17676,NY New York,5610,22.9
17677,NY New York,1769,12.3
17678,NY New York,1755,20.0
17679,NY New York,6151,9.2
17680,NY New York,7642,16.8
17681,NY New York,5090,11.4
17682,NY New York,1806,4.2
17683,NY New York,5826,8.2
17684,NY New York,1202,11.0
17685,NY New York,73,8.6
17686,NY New York,6369,10.4
17687,NY New York,6332,12.2
17688,NY New York,5128,12.8
17689,NY New York,2222,12.1
17690,NY New York,6735,9.2
17691,NY New York,3816,13.4
17693,NY New York,3359,4.6
17694,NY New York,1978,10.4
17695,NY New York,6031,9.0
17696,NY New York,1945,3.9
17697,NY New York,3619,10.9
17698,NY New York,5890,8.6
17699,NY New York,6547,17.7
17700,NY New York,1597,11.2
17701,NY New York,2802,19.7
17702,NY New York,4028,13.2
17703,NY New York,3498,9.0
17704,NY New York,1904,5.2
17705,NY New York,3587,12.5
17706,NY New York,4973,7.7
17707,NY New York,3847,10.8
17708,NY New York,8304,11.7
17709,NY New York,4064,13.7
17710,NY New York,3891,14.8
17711,NY New York,6019,17.2
17712,NY New York,4037,11.8
17713,NY New York,3936,5.9
17714,NY New York,2578,11.1
17715,NY New York,3380,13.0
17716,NY New York,1554,7.2
17717,NY New York,2059,8.2
17718,NY New York,2559,9.5
17719,NY New York,1540,12.9
17720,NY New York,1453,8.3
17721,NY New York,5689,10.0
17722,NY New York,3252,9.2
17723,NY New York,4159,4.8
17724,NY New York,4573,15.9
17725,NY New York,3250,10.5
17726,NY New York,3674,11.5
17727,NY New York,6126,13.0
17728,NY New York,9350,6.4
17729,NY New York,2412,14.1
17730,NY New York,4413,10.1
17731,NY New York,4281,12.4
17732,NY New York,5542,5.0
17733,NY New York,1915,10.4
17734,NY New York,3217,14.2
17735,NY New York,1583,12.8
17736,NY New York,6863,12.5
17737,NY New York,3000,11.1
17738,NY New York,2615,10.3
17739,NY New York,8300,11.3
17740,NY New York,1597,13.3
17741,NY New York,7485,10.9
17742,NY New York,6006,14.9
17743,NY New York,4587,14.9
17744,NY New York,3780,9.6
17745,NY New York,6427,15.8
17746,NY New York,7835,14.4
17747,NY New York,3893,16.9
17748,NY New York,2257,15.1
17749,NY New York,2829,11.0
17750,NY New York,2603,5.4
17751,NY New York,1579,9.9
17753,NY New York,2388,8.2
17754,NY New York,2867,7.0
17755,NY New York,3598,6.8
17756,NY New York,4304,12.9
17757,NY New York,2829,14.4
17758,NY New York,5307,8.4
17759,NY New York,2526,14.8
17760,NY New York,2120,8.8
17761,NY New York,1076,8.5
17762,NY New York,1790,13.9
17763,NY New York,8938,14.1
17764,NY New York,1326,9.9
17765,NY New York,6106,15.2
17766,NY New York,1830,14.2
17767,NY New York,5331,11.3
17768,NY New York,3461,8.7
17769,NY New York,1355,11.2
17770,NY New York,3454,9.5
17771,NY New York,3681,11.0
17772,NY New York,2455,9.7
17773,NY New York,8866,8.0
17775,NY New York,3041,5.6
17776,NY New York,6740,13.4
17777,NY New York,4031,15.1
17778,NY New York,4195,8.3
17779,NY New York,4398,13.2
17780,NY New York,2886,17.4
17781,NY New York,2324,10.5
17782,NY New York,1945,8.3
17783,NY New York,2743,12.9
17784,NY New York,1209,10.3
17785,NY New York,751,4.2
17786,NY New York,3322,5.3
17787,NY New York,3255,5.4
17788,NY New York,6463,7.9
17789,NY New York,3386,10.6
17790,NY New York,1420,14.4
17791,NY New York,7143,17.1
17792,NY New York,5619,10.9
17793,NY New York,3710,15.4
17794,NY New York,1899,11.4
17795,NY New York,3250,13.4
17796,NY New York,2635,9.2
17797,NY New York,2740,11.7
17798,NY New York,2794,11.9
17799,NY New York,2303,12.6
17800,NY New York,3075,5.5
17801,NY New York,2481,14.5
17802,NY New York,2750,11.8
17803,NY New York,2032,10.5
17804,NY New York,2711,16.6
17805,NY New York,3300,13.6
17806,NY New York,7026,5.3
17807,NY New York,2868,15.1
17808,NY New York,3154,16.7
17809,NY New York,3193,10.4
17810,NY New York,1478,6.7
17811,NY New York,2332,6.3
17812,NY New York,5065,12.4
17813,NY New York,2289,6.8
17814,NY New York,5495,10.5
17815,NY New York,1966,10.7
17816,NY New York,1201,14.9
17817,NY New York,2736,8.1
17818,NY New York,4321,8.2
17819,NY New York,2016,10.3
17820,NY New York,5720,10.3
17821,NY New York,2967,11.8
17822,NY New York,2414,13.7
17823,NY New York,56,9.1
17824,NY New York,3040,3.6
17825,NY New York,5811,7.8
17826,NY New York,4645,11.6
17827,NY New York,2253,16.3
17828,NY New York,2510,10.4
17829,NY New York,6330,8.8
17830,NY New York,3017,5.3
17831,NY New York,4573,11.8
17832,NY New York,1464,10.6
17833,NY New York,5873,14.6
17834,NY New York,2220,8.9
17835,NY New York,2319,12.1
