,IL_City,IL_PopByMM,IL_DiagPer100k
10835,IL Chicago,"7,254",18.4
10836,IL Chicago,"5,194",13.7
10837,IL Chicago,"1,305",7.8
10838,IL Chicago,"2,923",8.8
10839,IL Chicago,"2,075",9.5
10840,IL Chicago,"1,503",3.9
10841,IL Decatur,"3,895",9.9
10842,IL Chicago,"1,228",16.0
10843,IL Chicago,"2,695,598",12.2
10844,IL Chicago,"1,931",10.4
10845,IL Chicago,"2,928",5.0
10846,IL Chicago,"1,578",5.4
10847,IL Chicago,"2,786",10.5
10848,IL Chicago,942,13.1
10849,IL Cicero,"7,654",11.1
10850,IL Chicago,"6,542",12.6
10851,IL Chicago,"3,570",15.6
10852,IL Chicago,"4,196",17.1
10853,IL Chicago,"1,924",6.6
10854,IL Naperville,"4,725",7.3
10855,IL Naperville,"6,270",9.0
10856,IL Peoria,"1,567",5.8
10857,IL Chicago,"6,743",11.6
10858,IL Evanston,"2,855",5.8
10859,IL Joliet,"3,284",10.5
10860,IL Chicago,"2,953",20.0
10861,IL Chicago,"5,941",17.7
10862,IL Naperville,"141,853",7.5
10863,IL Chicago,"2,610",18.7
10864,IL Chicago,"2,110",13.9
10865,IL Chicago,"3,599",10.4
10866,IL Chicago,"1,761",14.8
10867,IL Chicago,"3,803",18.2
10868,IL Chicago,"3,322",11.6
10869,IL Chicago,"1,196",7.0
10870,IL Chicago,"2,173",2.8
10871,IL Cicero,"6,329",12.2
10872,IL Chicago,"4,117",10.2
10873,IL Chicago,"1,074",10.0
10874,IL Chicago,"4,567",9.7
10875,IL Naperville,363,7.0
10876,IL Chicago,"1,930",19.0
10877,IL Chicago,"3,078",15.9
10878,IL Chicago,"2,338",10.9
10879,IL Naperville,"3,256",8.2
10880,IL Chicago,"3,614",17.4
10881,IL Elgin,"3,524",7.9
10882,IL Chicago,"1,677",22.8
10883,IL Chicago,"1,652",5.4
10884,IL Chicago,"3,102",3.9
10885,IL Decatur,"4,296",17.0
10886,IL Chicago,"2,569",2.8
10887,IL Chicago,"4,350",4.0
10888,IL Chicago,"2,518",2.2
10889,IL Chicago,"2,204",5.8
10890,IL Decatur,"2,088",11.3
10891,IL Chicago,"1,950",4.6
10892,IL Chicago,752,16.6
10893,IL Chicago,"2,047",10.7
10894,IL Chicago,"1,934",16.2
10895,IL Chicago,"4,301",11.9
10896,IL Chicago,"5,067",12.5
10897,IL Chicago,"2,654",18.5
10898,IL Joliet,"1,925",11.6
10899,IL Chicago,"4,315",3.5
10900,IL Chicago,"1,516",12.5
10901,IL Chicago,"3,020",6.8
10902,IL Chicago,"1,955",13.7
10903,IL Chicago,281,7.6
10904,IL Chicago,"2,341",17.6
10905,IL Chicago,"5,247",19.8
10906,IL Chicago,"2,366",16.6
10907,IL Palatine,"4,250",7.4
10908,IL Chicago,"6,570",17.2
10909,IL Peoria,"2,021",15.5
10910,IL Chicago,"4,654",13.7
10911,IL Chicago,"2,764",5.0
10912,IL Chicago,"1,640",7.4
10913,IL Chicago,"2,290",13.0
10914,IL Chicago,"2,223",9.5
10915,IL Chicago,"2,033",17.6
10916,IL Chicago,"5,923",11.0
10917,IL Joliet,"3,421",9.7
10918,IL Elgin,"7,134",11.2
10919,IL Decatur,"4,705",12.5
10920,IL Evanston,"4,002",10.6
10921,IL Peoria,"4,014",10.8
10922,IL Joliet,"1,255",12.9
10923,IL Chicago,"5,161",9.5
10924,IL Chicago,"3,204",8.1
10925,IL Naperville,"2,608",7.9
10926,IL Chicago,"4,486",11.4
10927,IL Chicago,"1,838",17.4
10928,IL Chicago,"7,538",10.4
10929,IL Peoria,255,10.6
10930,IL Cicero,"3,934",10.4
10931,IL Naperville,"4,059",8.7
10932,IL Chicago,"4,430",8.4
10933,IL Joliet,878,11.0
10934,IL Chicago,"3,001",5.7
10935,IL Decatur,"2,737",15.7
10936,IL Decatur,"1,292",14.8
10937,IL Decatur,"2,531",16.0
10938,IL Chicago,"4,005",13.8
10939,IL Chicago,"1,421",3.0
10940,IL Decatur,"2,085",11.5
10941,IL Peoria,"9,768",7.3
10942,IL Chicago,"7,540",8.5
10943,IL Chicago,"4,980",8.5
10944,IL Chicago,"2,838",9.4
10945,IL Chicago,"4,273",17.7
10946,IL Chicago,"4,595",4.1
10947,IL Chicago,"1,480",17.3
10948,IL Chicago,"1,900",13.7
10949,IL Evanston,"3,387",7.2
10950,IL Joliet,"4,049",9.8
10951,IL Chicago,"5,161",8.4
10952,IL Chicago,"3,244",5.4
10953,IL Chicago,"3,475",18.5
10954,IL Chicago,"1,953",20.3
10955,IL Chicago,"2,061",11.2
10956,IL Chicago,"4,059",5.9
10957,IL Chicago,"1,820",5.3
10958,IL Chicago,"1,612",12.6
10959,IL Chicago,"2,931",15.7
10960,IL Chicago,"3,066",8.2
10961,IL Chicago,"2,559",12.0
10962,IL Chicago,"4,680",17.1
10963,IL Chicago,"3,009",7.8
10964,IL Naperville,"3,107",7.2
10965,IL Peoria,"1,804",20.4
10966,IL Chicago,"2,997",12.6
10967,IL Palatine,"6,112",8.6
10968,IL Chicago,"3,965",11.6
10969,IL Chicago,"2,080",14.9
10970,IL Elgin,"4,465",9.3
10971,IL Chicago,"2,045",15.1
10972,IL Chicago,"3,490",7.2
10973,IL Chicago,"1,635",19.6
10974,IL Chicago,"2,240",14.1
10975,IL Chicago,"1,183",15.3
10976,IL Chicago,"3,101",6.7
10977,IL Chicago,"2,940",3.6
10978,IL Elgin,"5,151",8.6
10979,IL Chicago,"2,830",10.7
10980,IL Peoria,"1,835",10.1
10981,IL Cicero,"2,893",12.0
10982,IL Chicago,"4,247",10.2
10983,IL Naperville,"3,083",7.1
10984,IL Joliet,"1,565",10.4
10985,IL Chicago,"2,365",6.2
