,IL_City,IL_PopByMM,IL_DiagPer100k
11404,IL Chicago,"4,639",8.3
11405,IL Chicago,"1,288",10.7
11406,IL Evanston,"3,649",9.7
11407,IL Chicago,"5,731",17.7
11408,IL Chicago,"3,976",2.6
11409,IL Chicago,"5,789",16.8
11410,IL Chicago,"3,035",10.9
11411,IL Chicago,"6,609",10.1
11412,IL Chicago,"4,286",12.2
11413,IL Cicero,"4,544",12.1
11414,IL Chicago,"3,892",9.1
11415,IL Chicago,"6,895",4.7
11416,IL Joliet,376,9.6
11417,IL Chicago,"3,884",9.9
11418,IL Chicago,"4,166",16.4
11419,IL Chicago,"3,326",12.8
11420,IL Chicago,"2,033",18.6
11421,IL Chicago,"2,071",3.7
11422,IL Naperville,"1,396",8.6
11423,IL Chicago,"1,443",15.4
11424,IL Elgin,"8,200",7.8
11425,IL Chicago,"1,379",2.0
11426,IL Chicago,"3,048",6.9
11427,IL Chicago,"5,458",11.4
11428,IL Chicago,970,21.0
11429,IL Chicago,"2,210",18.8
11430,IL Chicago,"1,053",8.6
11431,IL Chicago,"6,013",7.3
11432,IL Chicago,"2,167",12.8
11433,IL Decatur,"76,122",11.1
11434,IL Chicago,"5,148",8.3
11435,IL Evanston,"3,955",6.0
11436,IL Chicago,"4,608",9.3
11437,IL Chicago,"16,735",5.8
11438,IL Chicago,"3,233",18.4
11439,IL Chicago,"6,098",15.7
11440,IL Chicago,"2,980",8.4
11441,IL Chicago,"1,516",3.7
11442,IL Chicago,"3,261",20.0
11443,IL Chicago,"1,696",5.8
11444,IL Chicago,"3,900",3.7
11445,IL Chicago,"2,716",18.0
11446,IL Chicago,"4,007",18.0
11447,IL Chicago,"2,661",20.3
11448,IL Chicago,"4,105",14.1
11449,IL Chicago,"6,156",10.3
11450,IL Chicago,"2,371",15.8
11451,IL Chicago,"4,530",16.8
11452,IL Chicago,"2,426",12.2
11453,IL Chicago,"1,378",18.2
11454,IL Chicago,"2,860",6.1
11455,IL Joliet,"2,705",8.2
11456,IL Chicago,"3,716",13.7
11457,IL Chicago,"7,052",6.1
11458,IL Chicago,"5,411",9.1
11459,IL Chicago,"5,145",18.6
11460,IL Chicago,"2,717",2.9
11461,IL Chicago,"4,090",12.1
11462,IL Chicago,"6,364",12.8
11463,IL Chicago,"3,367",2.5
11464,IL Chicago,"2,695",9.1
11465,IL Chicago,"1,211",9.1
11466,IL Chicago,"1,892",16.1
11467,IL Palatine,"4,892",6.5
11468,IL Peoria,"4,846",13.7
11469,IL Joliet,152,6.8
11470,IL Chicago,"1,393",8.4
11471,IL Chicago,"3,688",9.6
11472,IL Chicago,"5,592",10.9
11473,IL Chicago,"6,632",11.7
11474,IL Chicago,"5,728",10.1
11475,IL Evanston,"5,804",6.3
11476,IL Chicago,"1,535",8.6
11477,IL Chicago,"4,016",10.6
11478,IL Chicago,"2,999",19.4
11479,IL Chicago,"2,617",13.7
11480,IL Chicago,"7,076",11.2
11481,IL Chicago,"1,496",26.0
11482,IL Elgin,"3,748",9.9
11483,IL Chicago,"1,259",19.0
11484,IL Chicago,"4,249",12.8
11485,IL Chicago,"5,893",10.0
11486,IL Chicago,"3,491",8.3
11487,IL Chicago,"1,798",2.7
11488,IL Chicago,"5,254",8.8
11489,IL Chicago,"6,333",14.4
11490,IL Chicago,"3,689",14.7
11491,IL Naperville,"3,324",6.7
11492,IL Chicago,"2,877",5.3
11493,IL Chicago,"1,497",3.5
11494,IL Chicago,"3,681",5.7
11495,IL Chicago,"5,458",9.9
11496,IL Naperville,"4,189",7.9
11497,IL Chicago,"4,683",8.8
11498,IL Chicago,"3,207",18.8
11499,IL Peoria,"2,044",13.6
11500,IL Chicago,"2,495",6.0
11501,IL Chicago,"2,290",4.2
11502,IL Chicago,"3,514",17.3
11503,IL Chicago,"4,725",15.4
11504,IL Chicago,877,17.6
11505,IL Chicago,"1,309",10.5
11506,IL Chicago,"1,602",6.2
11507,IL Chicago,"6,214",12.9
11508,IL Chicago,"1,545",19.0
11509,IL Chicago,"2,807",14.0
11510,IL Chicago,"4,793",8.9
11511,IL Chicago,"5,768",4.0
11512,IL Chicago,"4,795",11.9
11513,IL Chicago,"5,123",11.2
11514,IL Chicago,"2,107",12.1
11515,IL Chicago,"4,060",8.6
11516,IL Decatur,"2,377",10.8
11517,IL Chicago,"4,379",4.8
11518,IL Joliet,"8,405",6.5
11519,IL Chicago,"1,473",14.4
11520,IL Chicago,"5,778",16.0
11521,IL Chicago,"4,028",8.2
11522,IL Chicago,"2,111",5.0
11523,IL Chicago,"1,924",21.3
11524,IL Chicago,"6,547",6.8
11525,IL Chicago,"2,032",19.1
11526,IL Chicago,"5,129",9.3
11527,IL Chicago,"2,180",2.6
11528,IL Chicago,"1,615",9.5
11529,IL Chicago,"2,979",14.6
11530,IL Chicago,"2,072",18.3
11531,IL Joliet,"10,016",6.7
11532,IL Chicago,"1,170",17.0
11533,IL Joliet,"3,472",15.1
11534,IL Chicago,"3,405",8.3
11535,IL Chicago,"2,139",16.6
11536,IL Chicago,"4,354",10.5
11537,IL Chicago,"4,463",9.8
11538,IL Elgin,"3,675",10.5
11539,IL Chicago,"2,743",18.6
11540,IL Chicago,"2,154",6.5
11541,IL Chicago,"3,036",13.5
11542,IL Chicago,"3,212",13.8
11543,IL Chicago,"3,481",4.6
11544,IL Chicago,"2,029",9.9
11545,IL Chicago,"6,749",8.5
11546,IL Chicago,"4,232",16.8
11547,IL Cicero,"3,780",12.7
11548,IL Chicago,"6,805",9.8
11549,IL Chicago,"2,892",20.0
11550,IL Chicago,"6,039",19.8
11551,IL Chicago,"3,853",11.5
11552,IL Palatine,"6,255",7.1
11553,IL Chicago,"1,431",19.4
11554,IL Chicago,"1,756",7.9
11555,IL Peoria,"1,868",16.6
11556,IL Elgin,"7,184",10.3
11557,IL Chicago,"1,800",19.3
11558,IL Chicago,"4,565",7.8
11559,IL Chicago,"2,561",16.2
11560,IL Chicago,"3,590",3.4
11561,IL Chicago,"1,468",17.9
11562,IL Chicago,"5,042",5.7
11563,IL Chicago,"1,470",18.7
11564,IL Chicago,"2,738",12.5
11565,IL Chicago,"1,370",20.6
11566,IL Elgin,639,9.3
11567,IL Chicago,"2,695,598",11.0
11568,IL Chicago,"4,660",13.9
11569,IL Joliet,"2,396",11.0
11570,IL Chicago,"4,344",10.2
11571,IL Chicago,"5,651",18.8
11573,IL Cicero,"6,994",11.0
11574,IL Chicago,"1,912",3.3
11575,IL Peoria,"115,007",10.8
11576,IL Chicago,"1,700",10.4
11577,IL Chicago,"2,744",9.1
11578,IL Chicago,"2,505",16.1
11579,IL Chicago,"2,684",9.2
11580,IL Chicago,"2,847",16.8
11581,IL Chicago,"6,187",9.5
11582,IL Decatur,"4,245",11.0
11583,IL Chicago,"2,170",4.9
11584,IL Joliet,"2,370",14.4
11585,IL Naperville,"141,853",7.2
11586,IL Chicago,"2,870",2.2
11587,IL Peoria,628,5.3
11588,IL Chicago,"2,132",6.2
11589,IL Chicago,"3,985",7.4
11590,IL Chicago,"3,227",10.8
11591,IL Chicago,"3,123",5.5
11592,IL Chicago,"3,729",9.2
11593,IL Chicago,"3,564",12.0
11594,IL Chicago,"1,960",18.5
11595,IL Evanston,"4,101",7.3
11596,IL Chicago,"3,778",20.5
11597,IL Chicago,"4,354",10.7
11598,IL Chicago,"4,884",8.5
11599,IL Chicago,"2,986",16.6
11600,IL Joliet,"1,812",14.1
11601,IL Evanston,"4,896",5.3
11602,IL Peoria,"3,173",9.6
11603,IL Chicago,"1,136",17.7
11604,IL Joliet,"4,396",10.9
11605,IL Chicago,"2,872",3.1
11606,IL Chicago,"2,177",12.3
11607,IL Chicago,"3,068",8.1
11608,IL Chicago,"3,735",17.6
11609,IL Cicero,"5,130",11.7
11610,IL Chicago,"2,930",9.6
11611,IL Naperville,"4,265",7.5
11612,IL Chicago,"2,485",8.9
11613,IL Chicago,"1,414",17.5
11614,IL Chicago,"6,418",19.0
11615,IL Decatur,"2,766",11.3
11616,IL Chicago,"2,488",17.3
11617,IL Chicago,196,4.7
11618,IL Chicago,"5,521",10.4
11619,IL Chicago,"3,271",19.0
11620,IL Cicero,"83,891",14.2
11621,IL Cicero,"4,978",10.4
11622,IL Chicago,"1,411",17.0
11623,IL Palatine,"2,954",7.3
11624,IL Chicago,"1,549",8.5
11625,IL Chicago,"6,365",8.0
11626,IL Chicago,"5,280",8.9
11627,IL Naperville,"3,246",4.4
11628,IL Chicago,"1,861",6.4
11629,IL Naperville,"3,360",8.2
11630,IL Chicago,"1,112",4.2
11631,IL Chicago,"2,385",17.2
11632,IL Decatur,550,10.6
11633,IL Chicago,"1,763",15.1
11634,IL Chicago,"7,320",10.4
11635,IL Palatine,"1,440",5.9
11636,IL Chicago,"1,329",14.2
11637,IL Chicago,"7,249",10.2
11638,IL Elgin,"1,254",10.1
11639,IL Joliet,"3,033",15.3
11640,IL Elgin,"3,486",11.4
11641,IL Naperville,"1,327",7.3
11642,IL Chicago,"2,488",12.7
11643,IL Chicago,"4,326",6.2
11644,IL Chicago,"4,147",17.3
11645,IL Chicago,"5,262",11.6
11646,IL Chicago,"5,313",8.4
11647,IL Chicago,"3,484",10.1
11648,IL Chicago,"4,317",9.7
11649,IL Chicago,"1,556",3.8
11650,IL Chicago,"2,829",8.4
11651,IL Chicago,"1,713",15.9
11652,IL Chicago,"1,156",12.7
11653,IL Chicago,"1,236",15.1
11654,IL Chicago,"3,644",15.9
11655,IL Chicago,"2,981",3.7
11656,IL Chicago,"3,679",9.2
11657,IL Chicago,"1,889",2.4
11658,IL Chicago,"4,872",2.9
11659,IL Chicago,"1,059",14.8
11660,IL Chicago,"4,944",17.1
11661,IL Chicago,"6,731",16.4
11662,IL Chicago,"1,321",17.9
11663,IL Chicago,"2,488",6.2
11664,IL Chicago,"1,055",10.6
11665,IL Chicago,"4,079",9.7
11666,IL Joliet,"1,800",10.2
11667,IL Evanston,"5,504",2.2
11668,IL Peoria,"4,664",9.8
11669,IL Evanston,"3,250",9.1
11670,IL Chicago,"7,198",8.4
11671,IL Chicago,"3,682",6.2
11672,IL Chicago,"2,922",13.3
11673,IL Decatur,"76,122",12.4
11674,IL Chicago,"1,680",25.5
11675,IL Chicago,"3,556",13.3
11676,IL Chicago,"3,796",5.8
11677,IL Chicago,"3,891",16.1
11678,IL Chicago,"2,478",20.3
11679,IL Chicago,"1,626",18.2
11680,IL Chicago,"5,349",11.9
11681,IL Chicago,"2,391",3.5
11682,IL Chicago,"3,104",9.1
11683,IL Naperville,"3,564",7.0
11684,IL Elgin,"6,587",9.6
11685,IL Palatine,"6,917",6.4
11686,IL Chicago,"4,545",10.5
11687,IL Elgin,"108,188",9.6
11688,IL Decatur,"2,035",18.7
11689,IL Chicago,"4,921",16.9
11690,IL Chicago,"6,097",8.0
11691,IL Chicago,"3,518",13.6
11692,IL Chicago,"4,012",15.2
11693,IL Decatur,"2,645",15.0
11694,IL Chicago,"4,421",11.0
11695,IL Peoria,"6,088",8.1
11696,IL Chicago,"2,936",18.6
11697,IL Elgin,"5,181",9.3
11698,IL Chicago,"3,214",8.1
11699,IL Chicago,"2,544",14.2
11700,IL Chicago,"5,221",11.0
11701,IL Chicago,"2,973",2.5
11702,IL Chicago,"4,870",9.6
11703,IL Chicago,"3,187",11.5
11704,IL Chicago,"2,451",15.1
11705,IL Chicago,"4,388",16.8
11706,IL Chicago,"1,418",3.6
11707,IL Chicago,"4,844",3.2
11708,IL Chicago,"4,514",18.3
11709,IL Chicago,"1,802",9.7
11710,IL Chicago,"6,818",13.6
11711,IL Peoria,"1,953",13.6
11712,IL Chicago,"3,545",4.2
11713,IL Chicago,"3,287",7.0
11714,IL Chicago,"5,319",10.3
11715,IL Chicago,"2,242",6.5
11716,IL Chicago,"4,484",18.6
11717,IL Chicago,"3,806",9.9
11718,IL Chicago,"1,870",3.8
11719,IL Chicago,"2,272",21.4
11720,IL Chicago,"5,534",13.2
11721,IL Chicago,"2,498",9.2
11722,IL Chicago,"2,319",19.3
11723,IL Chicago,"1,630",8.0
11724,IL Cicero,"4,263",12.2
11725,IL Chicago,"6,963",11.2
11726,IL Chicago,"1,443",5.2
11727,IL Chicago,"4,854",10.7
11728,IL Chicago,"1,990",14.2
11729,IL Chicago,"1,672",10.7
11731,IL Joliet,"3,727",6.2
11732,IL Chicago,"2,327",8.4
11733,IL Chicago,237,15.4
11734,IL Elgin,"4,056",10.5
11735,IL Naperville,"3,138",8.1
11737,IL Palatine,"4,725",7.5
11738,IL Chicago,"2,336",17.6
11739,IL Chicago,"2,397",16.9
11740,IL Chicago,"6,676",10.2
11741,IL Chicago,"1,332",9.7
11742,IL Chicago,"5,060",18.6
11743,IL Decatur,"3,703",16.2
11744,IL Chicago,"3,746",19.3
11745,IL Chicago,"4,768",8.7
11746,IL Chicago,"1,495",15.8
11747,IL Decatur,"2,407",6.2
11748,IL Chicago,"2,828",8.5
11749,IL Peoria,931,9.0
11750,IL Chicago,"2,223",14.2
11751,IL Chicago,"1,786",17.2
11753,IL Chicago,"2,226",3.2
11754,IL Chicago,"3,267",11.6
11755,IL Joliet,"2,929",13.6
11756,IL Chicago,"1,928",5.8
11757,IL Chicago,"2,935",13.0
11758,IL Chicago,"5,086",17.0
11759,IL Chicago,"4,837",6.6
11760,IL Chicago,"1,664",6.4
11761,IL Peoria,"5,307",9.3
11762,IL Chicago,"3,583",17.2
11763,IL Chicago,"3,498",13.7
11764,IL Chicago,"3,464",18.1
11765,IL Peoria,619,8.6
11766,IL Chicago,"2,378",20.3
11767,IL Chicago,"1,567",14.8
11768,IL Chicago,"1,098",17.7
11769,IL Chicago,"4,869",12.2
11770,IL Chicago,"1,783",5.8
11771,IL Chicago,"3,300",9.2
11772,IL Peoria,"2,332",15.9
11773,IL Chicago,"1,617",10.0
11774,IL Chicago,"2,937",3.7
11775,IL Chicago,"2,545",13.4
11776,IL Chicago,"2,545",12.1
11777,IL Chicago,"10,848",5.5
11778,IL Chicago,"1,229",16.4
11779,IL Chicago,"1,721",17.4
11780,IL Chicago,"4,091",8.4
11782,IL Chicago,"7,287",9.8
11783,IL Chicago,"3,309",8.7
11784,IL Chicago,"1,181",12.9
11785,IL Chicago,"6,438",16.7
11786,IL Chicago,"3,912",10.5
11787,IL Chicago,"6,218",6.4
11788,IL Chicago,"1,475",13.6
11789,IL Chicago,"5,064",10.3
11790,IL Chicago,"1,819",17.0
11791,IL Chicago,"6,353",10.3
11792,IL Peoria,"3,528",11.8
11793,IL Chicago,"1,814",16.5
11794,IL Evanston,"3,976",7.7
11795,IL Naperville,"4,314",6.5
11796,IL Chicago,"2,819",10.4
11797,IL Chicago,"3,221",19.8
11798,IL Chicago,"1,906",5.2
11799,IL Chicago,"5,427",12.1
11800,IL Chicago,"6,570",7.5
11801,IL Chicago,"5,360",19.7
11802,IL Chicago,"5,711",10.2
11803,IL Joliet,"4,458",7.1
11804,IL Chicago,"5,887",15.1
11805,IL Chicago,"1,840",9.7
11806,IL Peoria,"3,317",3.3
11807,IL Cicero,"7,551",11.9
11808,IL Chicago,"1,380",20.2
11809,IL Chicago,"5,363",10.8
11810,IL Naperville,"5,245",7.0
11811,IL Chicago,"5,706",16.4
11812,IL Evanston,"3,670",6.6
11813,IL Chicago,"1,452",4.9
11814,IL Chicago,"6,395",6.0
11815,IL Elgin,"3,021",10.7
11816,IL Chicago,"1,545",16.7
11817,IL Chicago,"2,212",5.1
11818,IL Chicago,"3,436",3.3
11819,IL Decatur,276,8.0
11820,IL Chicago,"3,589",8.2
11821,IL Chicago,"2,569",4.0
11822,IL Chicago,"1,544",16.9
11823,IL Chicago,"2,434",4.7
11824,IL Chicago,"2,462",10.5
11825,IL Chicago,"5,407",9.4
11826,IL Chicago,"1,956",17.2
11827,IL Chicago,"3,373",16.2
11828,IL Chicago,"1,166",18.3
11829,IL Joliet,"2,253",7.7
11830,IL Chicago,"2,626",4.9
11831,IL Chicago,"2,995",8.2
11832,IL Chicago,"3,266",18.0
11833,IL Chicago,"3,257",12.4
11834,IL Chicago,"5,779",8.4
11835,IL Chicago,"7,414",11.6
11836,IL Chicago,"1,045",17.6
11837,IL Chicago,"2,235",9.5
11838,IL Chicago,"4,837",4.7
11839,IL Chicago,"5,936",14.9
11840,IL Chicago,"2,117",6.2
11841,IL Elgin,"6,360",9.6
11842,IL Chicago,"4,205",9.5
11843,IL Chicago,"1,707",2.7
11844,IL Chicago,"5,648",13.5
11845,IL Chicago,"2,166",6.2
11846,IL Chicago,"3,240",3.8
11847,IL Chicago,"3,314",14.5
11848,IL Joliet,"2,968",6.7
11849,IL Chicago,"1,351",17.6
11850,IL Chicago,"4,289",10.6
11851,IL Waukegan,"4,323",16.3
11855,IL Rockford,"3,000",8.4
11856,IL Waukegan,"3,680",13.6
11859,IL Springfield,"2,735",12.0
11863,IL Schaumburg,355,5.9
11866,IL Waukegan,587,11.4
11869,IL Schaumburg,"2,201",7.8
11873,IL Rockford,"2,772",11.6
11874,IL Springfield,"1,005",22.3
11876,IL Rockford,"2,601",14.5
11879,IL Springfield,380,7.6
11880,IL Springfield,"3,375",8.8
11881,IL Rockford,"1,672",14.8
11897,IL Waukegan,"3,693",12.1
11899,IL Schaumburg,"1,557",8.2
11902,IL Rockford,"3,612",11.2
11903,IL Springfield,"2,091",10.5
11908,IL Schaumburg,"3,901",8.5
11911,IL Rockford,"1,828",19.8
11927,IL Springfield,"5,499",7.9
11930,IL Waukegan,"3,341",14.2
11932,IL Rockford,"2,673",9.7
11939,IL Schaumburg,"1,010",14.6
11940,IL Rockford,"3,647",18.6
11954,IL Waukegan,"89,078",13.6
11956,IL Springfield,"2,857",14.0
11959,IL Schaumburg,"6,949",9.4
11962,IL Springfield,"3,144",13.2
11964,IL Rockford,"3,094",14.8
11965,IL Waukegan,"5,159",11.5
11971,IL Schaumburg,"4,359",8.0
11973,IL Schaumburg,"3,138",4.1
11976,IL Springfield,"2,969",10.9
11978,IL Waukegan,"4,151",7.4
11982,IL Rockford,492,8.2
11983,IL Springfield,"1,391",7.1
11987,IL Rockford,"5,214",9.5
11999,IL Schaumburg,"5,392",7.6
12000,IL Springfield,"2,695",7.9
12001,IL Springfield,"2,305",10.7
12010,IL Rockford,729,9.4
12015,IL Rockford,"4,207",11.0
12016,IL Schaumburg,"3,601",7.2
12019,IL Rockford,"3,434",16.2
12026,IL Springfield,"3,526",7.9
12028,IL Rockford,"1,371",19.4
12030,IL Springfield,"1,147",8.9
12046,IL Rockford,"3,084",13.4
12047,IL Waukegan,540,8.4
12049,IL Rockford,"152,871",11.6
12050,IL Waukegan,"2,499",11.0
12061,IL Schaumburg,"3,669",3.9
12062,IL Springfield,"2,545",7.7
12070,IL Schaumburg,"5,672",7.1
12071,IL Rockford,"4,220",10.0
12080,IL Waukegan,"6,727",12.7
12089,IL Waukegan,602,9.7
12090,IL Rockford,"4,680",11.6
12097,IL Waukegan,"4,103",10.4
12101,IL Springfield,"2,484",16.6
12102,IL Rockford,"2,553",14.0
12109,IL Rockford,"2,535",9.3
12110,IL Waukegan,"3,766",14.2
12112,IL Schaumburg,"2,425",8.0
12113,IL Schaumburg,"4,224",7.8
12117,IL Waukegan,"89,078",12.0
12122,IL Schaumburg,"1,680",8.2
12123,IL Springfield,"2,353",10.3
12128,IL Rockford,663,8.6
12129,IL Springfield,745,9.0
12135,IL Rockford,"2,352",10.4
12136,IL Springfield,"2,342",9.4
12138,IL Rockford,"4,167",13.4
12144,IL Springfield,"3,295",18.2
12149,IL Rockford,"3,753",13.2
12151,IL Rockford,"5,187",10.4
12155,IL Springfield,"1,742",10.6
12156,IL Rockford,"4,074",10.7
12161,IL Waukegan,"1,056",7.1
12162,IL Rockford,"2,062",16.8
12163,IL Rockford,"152,871",12.2
12177,IL Rockford,"1,883",11.6
12178,IL Schaumburg,809,4.3
12180,IL Springfield,"4,631",8.4
12191,IL Rockford,881,6.3
12196,IL Schaumburg,"3,154",5.5
12199,IL Rockford,"5,370",13.4
12201,IL Springfield,"4,951",10.5
12203,IL Springfield,"2,261",9.2
12204,IL Rockford,"3,605",12.2
12205,IL Springfield,"5,555",10.4
12213,IL Rockford,"2,303",15.7
12218,IL Waukegan,"5,720",10.6
12219,IL Rockford,"3,099",9.3
12221,IL Schaumburg,"4,500",7.8
12223,IL Springfield,"3,582",11.3
12226,IL Springfield,"2,998",10.8
12228,IL Springfield,"4,363",8.4
12239,IL Springfield,"2,075",15.1
12244,IL Rockford,"4,450",9.2
12245,IL Springfield,634,8.9
12246,IL Schaumburg,"2,533",8.4
12247,IL Waukegan,"3,033",17.4
12253,IL Rockford,"1,719",9.4
12255,IL Springfield,"4,006",10.7
12257,IL Waukegan,"1,781",8.9
12260,IL Rockford,"2,413",8.6
12265,IL Springfield,"1,241",21.0
12268,IL Rockford,"2,141",10.1
12276,IL Rockford,"2,063",15.5
12285,IL Waukegan,"2,532",14.3
12287,IL Springfield,"116,250",10.7
12288,IL Rockford,"6,857",10.6
12289,IL Schaumburg,"3,184",7.3
12304,IL Springfield,"2,460",14.4
12305,IL Rockford,"3,402",16.2
12307,IL Schaumburg,"74,227",7.6
12315,IL Rockford,"3,016",11.8
12316,IL Springfield,"3,255",16.1
12317,IL Waukegan,"3,467",15.7
12319,IL Springfield,"1,027",13.5
12326,IL Springfield,"2,920",12.2
12328,IL Waukegan,"3,556",12.8
12332,IL Springfield,"2,717",10.0
12339,IL Waukegan,"4,148",10.5
12340,IL Rockford,"2,667",12.7
12344,IL Springfield,"116,250",9.9
12345,IL Schaumburg,411,11.7
12347,IL Waukegan,"6,639",10.0
12350,IL Rockford,"1,111",23.8
12353,IL Schaumburg,533,7.5
12356,IL Rockford,"2,379",10.7
12360,IL Springfield,"1,234",10.3
12361,IL Springfield,"3,279",10.8
12362,IL Schaumburg,"3,351",7.7
12363,IL Springfield,"5,595",7.3
12372,IL Rockford,"1,900",11.0
12378,IL Rockford,"3,556",12.5
12379,IL Springfield,660,11.3
12382,IL Rockford,"3,822",13.0
12391,IL Springfield,"2,490",11.1
12399,IL Rockford,"3,110",9.6
12400,IL Schaumburg,712,9.2
12409,IL Springfield,"3,647",8.3
12412,IL Rockford,"3,329",8.9
12415,IL Rockford,"2,469",16.1
12416,IL Rockford,"2,591",16.7
12429,IL Rockford,"2,839",13.0
12432,IL Waukegan,"3,992",12.1
12444,IL Waukegan,"4,113",9.4
12449,IL Schaumburg,"74,227",7.4
12452,IL Rockford,195,8.9
12456,IL Waukegan,"5,844",12.9
12459,IL Schaumburg,"4,882",8.4
