,FL_City,FL_PopByMM,FL_DiagPer100k
9190,FL Miami,"5,344",18.0
9191,FL Jacksonville,"3,840",19.9
9192,FL Orlando,"2,829",8.4
9193,FL Miami,"3,932",19.9
9194,FL Miami,"5,388",17.9
9195,FL Orlando,"10,808",5.7
9196,FL Lakeland,"2,466",10.1
9197,FL Miami,826,10.5
9198,FL Miami,"5,270",14.0
9200,FL Jacksonville,"5,069",11.0
9201,FL Miramar,"122,041",9.8
9202,FL Jacksonville,"2,145",8.8
9203,FL Jacksonville,"3,955",14.6
9204,FL Miami,"6,076",19.8
9205,FL Largo,"1,579",14.1
9206,FL Orlando,291,15.1
9207,FL Miami Gardens,"6,370",15.6
9208,FL Orlando,"2,339",16.4
9209,FL Jacksonville,"4,234",9.5
9210,FL Largo,"2,069",12.7
9211,FL Miami,"3,542",18.6
9212,FL Jacksonville,"3,898",11.9
9213,FL Orlando,"3,173",6.1
9214,FL Jacksonville,"9,281",7.2
9215,FL Miami,592,18.3
9216,FL Melbourne,"76,068",9.8
9217,FL Orlando,"2,629",5.4
9218,FL Jacksonville,"3,592",9.9
9219,FL Jacksonville,"7,468",8.6
9220,FL Jacksonville,"3,281",20.7
9221,FL Lakeland,"3,221",12.0
9222,FL Miami,347,15.4
9223,FL Jacksonville,"4,426",8.6
9224,FL Jacksonville,"6,459",12.8
9225,FL Melbourne,"4,920",11.5
9226,FL Miami Gardens,"4,693",14.8
9227,FL Palm Bay,119,11.5
9228,FL Miami,"1,561",4.4
9229,FL Orlando,"5,656",10.1
9230,FL Lakeland,"97,422",13.1
9231,FL Miami,"3,817",8.5
9232,FL Lauderhill,"1,523",11.6
9234,FL Orlando,"4,445",13.0
9235,FL Orlando,"7,599",11.9
9236,FL Miami,"1,258",4.1
9237,FL Orlando,"1,524",12.9
9238,FL Miami,"6,368",5.6
9239,FL Miami,"3,260",16.7
9240,FL Miami Beach,"3,152",7.8
9241,FL Lauderhill,"2,194",10.2
9242,FL Jacksonville,"3,463",12.1
9243,FL Jacksonville,"3,422",17.6
9244,FL Palm Coast,"3,826",15.2
9245,FL Miami Beach,"1,932",11.1
9246,FL Jacksonville,"2,203",10.2
9247,FL Miami,"3,798",18.3
9248,FL Jacksonville,"3,390",11.0
9249,FL Miami Beach,"87,779",10.1
9250,FL Jacksonville,"5,677",9.6
9251,FL Largo,"1,325",14.0
9252,FL Melbourne,"4,393",11.2
9253,FL Melbourne,"2,316",10.9
9254,FL Jacksonville,"3,121",15.4
9255,FL Orlando,"2,035",9.9
9256,FL Miami,"4,853",18.1
9257,FL Jacksonville,"1,426",23.9
9258,FL Palm Coast,"75,180",9.3
9259,FL Lakeland,"4,276",13.2
9260,FL Jacksonville,"2,284",15.8
9261,FL Jacksonville,"4,681",10.4
9262,FL Palm Coast,"4,317",14.5
9263,FL Largo,"2,370",10.5
9264,FL Orlando,"4,319",7.6
9265,FL Miami Beach,"4,237",12.1
9266,FL Orlando,"2,709",10.4
9267,FL Miami,"2,229",8.1
9268,FL Miramar,"10,952",8.3
9269,FL Palm Bay,"4,753",10.9
9270,FL Jacksonville,"7,115",10.3
9271,FL Jacksonville,"2,496",21.1
9272,FL Miami Gardens,"5,546",14.2
9273,FL Miami Beach,"3,000",10.7
9274,FL Jacksonville,"5,396",11.9
9275,FL Lauderhill,"6,061",14.3
9276,FL Miami,"3,582",18.6
9277,FL Orlando,"3,743",6.2
9278,FL Miami,"2,320",17.9
9279,FL Jacksonville,"7,685",10.0
9280,FL Miami,"5,735",12.0
9281,FL Miami,"5,752",16.2
9282,FL Jacksonville,"7,179",9.9
9283,FL Lauderhill,"66,887",13.7
9284,FL Jacksonville,"2,947",12.1
9285,FL Miami,"3,421",17.7
9286,FL Miami,"6,293",18.0
9287,FL Miami,"1,178",8.1
9288,FL Miami Beach,"2,930",9.2
9289,FL Lakeland,"3,710",11.1
9290,FL Palm Bay,"12,266",11.4
9291,FL Lauderhill,"2,828",15.4
9292,FL Jacksonville,"2,440",11.9
9293,FL Melbourne,510,7.4
9294,FL Miami,"2,453",10.9
9295,FL Melbourne,"3,259",9.6
9296,FL Orlando,"4,665",5.9
9297,FL Largo,"3,921",10.7
9298,FL Largo,"3,382",10.2
9299,FL Jacksonville,"2,038",14.0
9300,FL Largo,"3,893",16.4
9301,FL Palm Coast,"7,274",12.5
9302,FL Lakeland,"2,015",19.7
9303,FL Lakeland,"1,731",18.1
9304,FL Orlando,"4,618",7.4
9305,FL Miami Gardens,"8,862",11.4
9306,FL Miami,"1,592",5.8
9307,FL Jacksonville,"6,495",10.3
9308,FL Miramar,"4,992",11.6
9309,FL Jacksonville,"3,703",14.5
9310,FL Orlando,"2,401",15.9
9311,FL Melbourne,"5,786",11.1
9312,FL Miami,"1,659",15.6
9313,FL Largo,"2,952",11.2
9314,FL Miami,"4,963",18.7
9315,FL Jacksonville,"6,925",14.4
9316,FL Orlando,108,11.5
9317,FL Miami,"4,450",17.4
9318,FL Palm Bay,"6,262",12.8
9319,FL Jacksonville,"5,017",22.0
9320,FL Miami Gardens,"107,167",14.7
9321,FL Lauderhill,"6,781",9.9
9322,FL Miami,"7,881",18.5
9323,FL Miami,"3,813",17.0
9324,FL Jacksonville,"7,977",7.9
9325,FL Jacksonville,"7,527",8.4
9326,FL Orlando,"1,232",10.1
9327,FL Miami Gardens,"2,259",18.4
9328,FL Miami,"3,769",19.1
9329,FL Lakeland,"2,077",22.7
9330,FL Jacksonville,"8,935",9.4
9331,FL Orlando,"4,086",18.2
9332,FL Palm Bay,"6,864",12.6
9333,FL Jacksonville,"3,629",16.6
9334,FL Jacksonville,"5,845",9.7
9335,FL Miramar,"4,729",12.2
9336,FL Jacksonville,"14,437",12.3
9337,FL Miami,"2,331",18.7
9338,FL Largo,"3,220",10.7
9339,FL Orlando,"4,631",11.2
9340,FL Orlando,"6,290",5.8
9341,FL Jacksonville,"6,908",9.7
9342,FL Miami Beach,"2,612",11.3
9343,FL Miami,"3,573",12.4
9344,FL Jacksonville,"2,934",11.9
9345,FL Melbourne,"2,838",13.2
9346,FL Miami,458,12.7
9347,FL Miami,"5,160",23.3
9348,FL Melbourne,"76,068",11.6
9349,FL Largo,"1,352",10.2
9350,FL Lakeland,"3,412",10.0
9351,FL Miami,"4,655",6.0
9352,FL Lauderhill,"1,880",15.3
9353,FL Jacksonville,"2,196",24.7
9354,FL Palm Coast,"6,321",13.7
9355,FL Miami,"6,305",18.5
9356,FL Orlando,"3,197",6.4
9357,FL Jacksonville,"2,311",3.5
9358,FL Jacksonville,"5,764",9.4
9359,FL Lauderhill,"5,638",18.2
9360,FL Miami Beach,"4,825",5.5
9361,FL Miami,"3,412",20.9
9362,FL Miami,"2,451",19.4
9363,FL Miami,"3,781",21.4
9364,FL Lauderhill,"4,939",10.3
9365,FL Melbourne,"5,710",11.7
9367,FL Orlando,"4,051",8.3
9368,FL Jacksonville,"12,821",7.1
9370,FL Lakeland,732,7.5
9371,FL Miami Beach,"4,953",12.3
9372,FL Miami,"2,705",16.4
9373,FL Jacksonville,"4,953",11.8
9374,FL Miami,"8,883",12.6
9375,FL Jacksonville,"5,483",16.5
9376,FL Miami Gardens,"1,313",19.3
9377,FL Miramar,"5,070",13.1
9378,FL Jacksonville,"1,874",9.5
9379,FL Jacksonville,"3,320",10.2
9380,FL Lakeland,"1,254",10.6
9381,FL Jacksonville,"3,998",17.9
9382,FL Palm Bay,274,6.5
9383,FL Lakeland,"3,513",13.2
9384,FL Miami,"2,576",15.5
9385,FL Jacksonville,"7,388",12.5
9386,FL Jacksonville,"6,000",9.6
9387,FL Miramar,"122,041",11.0
9388,FL Jacksonville,"2,611",7.9
9389,FL Jacksonville,"2,915",10.6
9390,FL Largo,"4,475",8.8
9391,FL Jacksonville,353,8.3
9392,FL Miami Gardens,"7,668",16.1
9393,FL Miami,"2,861",5.0
9394,FL Jacksonville,"5,397",18.4
9395,FL Miami,"7,230",23.3
9396,FL Miami Gardens,"3,082",12.1
9397,FL Palm Coast,"4,039",13.1
9398,FL Lakeland,"3,737",20.6
9399,FL Jacksonville,"3,148",12.6
9400,FL Miami Beach,59,1.5
9401,FL Orlando,"1,224",22.7
9402,FL Largo,"1,484",11.0
9403,FL Miami,"3,190",14.9
9404,FL Lakeland,896,5.8
9405,FL Lakeland,167,8.8
9406,FL Jacksonville,"9,820",6.5
9407,FL Miami Beach,"4,298",12.7
9408,FL Miami,"2,642",8.2
9409,FL Miami Gardens,"1,473",16.7
9410,FL Jacksonville,"4,120",10.4
9411,FL Jacksonville,"5,263",12.4
9412,FL Palm Bay,"8,322",11.8
9413,FL Lakeland,"2,767",13.6
9414,FL Miami Gardens,"3,419",17.9
9415,FL Jacksonville,"4,311",10.2
9416,FL Orlando,"4,596",12.5
9417,FL Miami,"2,920",6.0
9418,FL Jacksonville,"4,477",12.1
9419,FL Orlando,"4,121",4.7
9420,FL Largo,259,9.5
9421,FL Orlando,160,14.1
9422,FL Miami,"9,431",5.0
9423,FL Miami,"3,776",9.8
9424,FL Miramar,"5,912",11.6
9425,FL Orlando,"1,262",23.1
9426,FL Miami Gardens,"5,283",13.4
9427,FL Lakeland,"97,422",11.3
9428,FL Orlando,"5,712",7.5
9429,FL Miami Beach,"2,014",15.0
9430,FL Lakeland,"3,303",17.5
9431,FL Jacksonville,"10,076",8.8
9432,FL Orlando,"2,852",8.1
9433,FL Largo,"6,002",12.7
9434,FL Jacksonville,"4,476",7.6
9435,FL Palm Coast,"6,965",10.8
9436,FL Lakeland,"1,484",18.1
9437,FL Miami Beach,"2,699",7.8
9438,FL Miami Gardens,"5,247",13.7
9439,FL Largo,"3,010",14.1
9440,FL Jacksonville,"5,217",9.6
9441,FL Jacksonville,"4,491",8.6
9442,FL Miami Beach,"2,733",14.1
9443,FL Orlando,713,9.3
9444,FL Jacksonville,"4,017",16.1
9445,FL Miami,"7,034",17.4
9446,FL Jacksonville,"4,551",10.5
9447,FL Jacksonville,"3,414",9.4
9448,FL Orlando,244,13.5
9449,FL Orlando,"5,850",8.0
9450,FL Miramar,"3,353",13.2
9452,FL Jacksonville,"7,368",8.9
9453,FL Melbourne,"2,486",21.9
9454,FL Miami,"5,485",17.9
9455,FL Orlando,84,10.5
9456,FL Jacksonville,"3,057",11.8
9457,FL Palm Coast,"3,663",12.9
9458,FL Jacksonville,"3,041",9.6
9459,FL Palm Coast,"2,012",10.6
9460,FL Orlando,631,7.6
9461,FL Orlando,"3,390",13.5
9462,FL Miami Beach,"2,389",5.9
9463,FL Jacksonville,"4,225",21.5
9464,FL Melbourne,92,5.5
9465,FL Orlando,"2,055",5.4
9466,FL Jacksonville,"2,554",13.6
9467,FL Largo,"1,565",11.0
9468,FL Miami,"399,457",14.4
9469,FL Jacksonville,"5,389",10.7
9470,FL Largo,111,10.9
9471,FL Orlando,"3,655",10.3
9472,FL Jacksonville,"8,893",9.4
9473,FL St. Petersburg,"2,300",12.7
9474,FL Tampa,"2,792",10.7
9475,FL Tampa,"4,825",13.6
9476,FL Tallahassee,"2,499",16.3
9477,FL St. Petersburg,"3,333",13.1
9478,FL Sunrise,546,5.7
9479,FL Tallahassee,"7,310",5.6
9481,FL Port St. Lucie,"3,909",11.2
9482,FL Tampa,"2,071",17.2
9483,FL Pembroke Pines,"5,276",9.9
9484,FL St. Petersburg,"244,769",9.7
9485,FL Port St. Lucie,"14,229",10.2
9487,FL St. Petersburg,"3,775",8.0
9488,FL Tallahassee,"3,628",6.3
9492,FL West Palm Beach,863,10.6
9493,FL Plantation,"84,955",8.8
9494,FL Tampa,"6,224",5.7
9498,FL St. Petersburg,"2,599",9.7
9500,FL Plantation,"4,266",9.2
9502,FL St. Petersburg,"2,332",7.9
9504,FL St. Petersburg,"3,511",8.4
9505,FL Pembroke Pines,"8,743",8.1
9506,FL Tallahassee,"2,018",6.2
9507,FL Tampa,"2,166",10.8
9509,FL Pompano Beach,"1,550",12.1
9510,FL Tampa,"5,093",16.1
9511,FL Pembroke Pines,"6,407",12.5
9512,FL Tampa,"1,931",5.2
9514,FL Tampa,"3,042",7.4
9515,FL Sunrise,"3,718",15.8
9516,FL Tallahassee,"4,791",5.8
9517,FL Tampa,"2,673",17.3
9518,FL Tallahassee,"3,326",2.4
9519,FL West Palm Beach,"5,322",11.7
9521,FL Tampa,"3,982",7.2
9522,FL West Palm Beach,"5,482",8.6
9524,FL Tallahassee,"4,273",8.7
9527,FL Tampa,"3,736",9.2
9528,FL Tampa,"2,412",7.7
9530,FL Tallahassee,"181,376",7.0
9531,FL St. Petersburg,"3,591",10.4
9532,FL West Palm Beach,"3,694",20.6
9534,FL St. Petersburg,"5,115",10.2
9535,FL Sunrise,"3,038",8.6
9536,FL Tallahassee,"2,144",6.3
9538,FL Tampa,178,9.5
9539,FL West Palm Beach,"6,469",7.3
9541,FL St. Petersburg,"4,556",9.6
9543,FL St. Petersburg,"3,550",20.4
9544,FL St. Petersburg,"3,720",19.0
9545,FL Tampa,"3,587",7.2
9546,FL Pompano Beach,"3,496",9.3
9549,FL Pembroke Pines,"5,408",7.6
9550,FL St. Petersburg,"3,628",10.6
9552,FL Pompano Beach,"3,534",11.9
9554,FL Tampa,"2,416",18.8
9555,FL Tampa,"3,733",6.3
9556,FL West Palm Beach,"3,463",8.2
9557,FL Tallahassee,"2,735",8.0
9558,FL West Palm Beach,"1,361",8.1
9559,FL Tampa,"2,831",19.6
9563,FL Sunrise,"84,439",11.2
9565,FL Port St. Lucie,"7,159",10.1
9567,FL West Palm Beach,"2,999",10.0
9568,FL Tallahassee,"3,280",8.6
9569,FL Sunrise,"1,442",7.6
9570,FL Pompano Beach,"4,499",9.2
9571,FL Tallahassee,"2,973",6.3
9572,FL St. Petersburg,"5,097",10.0
9573,FL St. Petersburg,"2,529",9.4
9579,FL St. Petersburg,"4,797",9.6
9580,FL Pembroke Pines,"4,484",8.8
9581,FL Tallahassee,"3,313",5.5
9584,FL Tampa,"3,792",13.3
9585,FL St. Petersburg,"3,328",15.7
9586,FL Pompano Beach,"2,553",11.9
9587,FL St. Petersburg,"3,327",8.6
9588,FL West Palm Beach,596,11.1
9589,FL Tallahassee,"5,725",6.5
9590,FL Tampa,"3,779",10.3
9591,FL Tallahassee,696,5.6
9592,FL Pembroke Pines,"7,225",10.2
9593,FL Tampa,140,30.9
9594,FL Tampa,"2,796",16.2
9599,FL St. Petersburg,"5,359",7.1
9601,FL Plantation,"5,997",10.4
9602,FL Tampa,"4,244",16.2
9605,FL Port St. Lucie,"20,218",12.9
9606,FL Tampa,574,13.5
9607,FL Plantation,"2,757",8.8
9608,FL Pembroke Pines,"3,063",9.2
9610,FL Tampa,"2,567",12.8
9611,FL St. Petersburg,"3,097",12.5
9612,FL Tampa,"2,386",4.6
9613,FL Pompano Beach,"3,584",18.6
9614,FL Pembroke Pines,"7,165",6.8
9616,FL St. Petersburg,"2,996",7.5
9617,FL Tampa,740,3.9
9618,FL Tampa,"5,271",6.3
9619,FL Pompano Beach,"3,017",18.3
9620,FL Tampa,"3,125",6.6
9622,FL Tampa,"3,052",21.0
9623,FL St. Petersburg,"4,032",9.9
9625,FL Pembroke Pines,"3,882",8.9
9626,FL Tampa,"1,783",8.6
9627,FL Tallahassee,"5,016",6.7
9628,FL Pembroke Pines,"3,427",12.8
9629,FL Pompano Beach,"3,838",11.3
9630,FL Tampa,"4,308",5.6
9631,FL West Palm Beach,"3,124",11.3
9632,FL Tampa,"5,214",7.7
9633,FL Tampa,"6,888",16.7
9634,FL Sunrise,598,9.5
9635,FL Tallahassee,"1,314",11.9
9636,FL Tampa,"3,753",7.5
9637,FL Pompano Beach,"3,542",10.0
9639,FL Sunrise,"2,750",12.5
9640,FL West Palm Beach,"3,126",6.8
9642,FL Tampa,"1,494",12.0
9645,FL Port St. Lucie,"6,600",13.0
9646,FL Port St. Lucie,"7,147",9.4
9647,FL Tampa,"3,539",8.8
9648,FL St. Petersburg,"1,651",12.4
9649,FL Pembroke Pines,"10,245",9.0
9650,FL Tallahassee,"3,737",6.3
9652,FL West Palm Beach,"3,575",12.3
9653,FL Tampa,142,15.4
9654,FL West Palm Beach,"99,919",11.6
9658,FL St. Petersburg,"2,052",18.0
9660,FL Port St. Lucie,"5,786",11.8
9661,FL St. Petersburg,"3,843",9.9
9662,FL Tampa,"1,923",7.5
9663,FL Pembroke Pines,"6,417",10.1
9666,FL Tampa,"4,871",19.2
9667,FL Tallahassee,545,4.6
9670,FL St. Petersburg,"2,395",10.9
9671,FL St. Petersburg,"5,358",10.7
9673,FL Sunrise,"4,797",8.0
9674,FL Tallahassee,"4,475",7.1
9675,FL Tampa,"2,463",18.6
9676,FL St. Petersburg,"3,481",9.8
9677,FL Tallahassee,"3,472",4.7
9679,FL St. Petersburg,"6,996",5.3
9681,FL St. Petersburg,"3,338",9.4
9682,FL Tallahassee,"1,998",9.4
9683,FL West Palm Beach,"4,958",16.3
9686,FL Tampa,"1,435",12.8
9689,FL Tallahassee,"2,393",5.1
9692,FL Plantation,"3,934",7.8
9694,FL Tampa,"7,000",12.5
9695,FL Tampa,"3,533",5.0
9698,FL St. Petersburg,"4,945",8.1
9699,FL Plantation,"6,543",7.7
9700,FL Pembroke Pines,"4,521",9.2
9703,FL St. Petersburg,"3,982",11.3
9705,FL Tampa,"1,844",2.9
9706,FL Tampa,"3,264",13.1
9708,FL Sunrise,"84,439",10.3
9712,FL Port St. Lucie,"4,473",11.1
9713,FL Pompano Beach,"7,181",13.6
9714,FL Tampa,"3,699",17.7
9715,FL Tallahassee,"1,613",14.5
9717,FL Tampa,"2,729",18.0
9718,FL St. Petersburg,"2,882",17.7
9719,FL Plantation,237,12.6
9720,FL Plantation,"4,409",7.6
9722,FL Tampa,"3,630",6.4
9726,FL Plantation,"4,206",11.5
9730,FL Tampa,"3,526",5.8
9731,FL Tallahassee,874,7.1
9732,FL Pompano Beach,"3,202",11.1
9734,FL St. Petersburg,"3,838",9.3
9736,FL Tampa,"3,886",13.5
9737,FL Tampa,"3,964",11.4
9738,FL Tampa,"1,975",13.4
9739,FL Sunrise,"5,882",9.2
9740,FL Tallahassee,563,2.0
9741,FL St. Petersburg,"2,427",12.1
9746,FL Pembroke Pines,"6,736",8.6
9748,FL Tampa,"3,670",7.1
9749,FL Pompano Beach,"7,134",16.7
9750,FL Tampa,"3,768",9.9
9751,FL Pompano Beach,"1,739",11.1
9754,FL Tampa,"3,057",8.9
9755,FL Tallahassee,"2,004",8.1
9756,FL Port St. Lucie,"164,603",11.1
9757,FL Tampa,"5,706",14.1
9758,FL West Palm Beach,"1,048",9.2
9759,FL Tallahassee,"7,383",4.2
9760,FL Sunrise,"4,607",17.6
9761,FL Port St. Lucie,"21,785",9.5
9762,FL West Palm Beach,"1,571",16.8
9763,FL Port St. Lucie,"4,890",11.6
9769,FL Pompano Beach,"4,686",11.8
9770,FL St. Petersburg,"3,969",10.3
9772,FL St. Petersburg,"2,774",11.3
9775,FL Pembroke Pines,"7,569",24.5
9776,FL Tampa,103,6.6
9777,FL St. Petersburg,"4,802",9.4
9778,FL Tallahassee,"3,648",7.3
9785,FL Tampa,"1,643",4.1
9786,FL St. Petersburg,"3,153",11.0
9788,FL Sunrise,"5,312",11.2
9789,FL Tampa,"5,471",6.4
9791,FL St. Petersburg,"4,381",11.5
9793,FL Pompano Beach,"6,241",12.3
9794,FL Tampa,"3,285",16.6
9795,FL Tampa,"3,073",5.9
9796,FL Tallahassee,"5,121",6.3
9797,FL St. Petersburg,"2,032",14.9
9798,FL West Palm Beach,"4,387",11.9
9800,FL Pembroke Pines,"3,452",8.4
9801,FL Tallahassee,"2,188",10.7
9802,FL Tallahassee,"4,675",5.4
9803,FL Pompano Beach,"2,300",10.0
9804,FL Sunrise,"5,271",15.7
9807,FL Port St. Lucie,"5,366",8.5
9808,FL Tallahassee,"1,546",8.1
9809,FL West Palm Beach,"3,882",12.4
9811,FL Plantation,"5,501",8.2
9813,FL West Palm Beach,"99,919",11.0
9815,FL Port St. Lucie,"5,915",11.7
9816,FL Port St. Lucie,548,12.8
9817,FL Tampa,"1,047",15.3
9819,FL Plantation,"3,252",7.0
9820,FL Plantation,"7,847",7.4
9821,FL Pembroke Pines,"6,315",9.9
9823,FL Tampa,"5,031",7.3
9824,FL Tampa,"1,965",14.9
9825,FL Tampa,"5,724",15.1
9827,FL Pembroke Pines,256,10.8
9828,FL Pompano Beach,"6,199",10.1
9829,FL Tampa,"335,709",10.6
9830,FL Sunrise,"4,650",8.9
9831,FL Tampa,"2,308",12.8
9832,FL Tampa,"1,784",12.4
9833,FL Tampa,"1,134",7.7
9836,FL Tallahassee,"2,072",8.0
9837,FL Tampa,"1,055",13.7
9838,FL West Palm Beach,"4,750",13.4
9839,FL Pembroke Pines,"154,750",9.5
9840,FL Pembroke Pines,"5,860",10.2
9841,FL Port St. Lucie,"8,658",10.6
9843,FL Tallahassee,"4,126",5.0
9844,FL Tampa,"3,100",11.2
9845,FL Tampa,"1,549",3.5
9848,FL St. Petersburg,"5,019",10.1
9849,FL Tallahassee,"2,433",2.7
9851,FL Pompano Beach,"99,845",10.4
9852,FL Tampa,214,1.4
9853,FL Plantation,"4,510",8.4
9854,FL Port St. Lucie,"6,981",10.7
9855,FL Pompano Beach,"8,694",11.6
9856,FL Tallahassee,"3,858",14.1
9859,FL Tallahassee,"7,193",8.4
9860,FL West Palm Beach,"1,201",8.3
9862,FL St. Petersburg,"3,095",8.3
9864,FL Plantation,"3,402",6.7
9867,FL Tampa,413,11.9
9868,FL Pembroke Pines,"3,787",9.8
9869,FL Pembroke Pines,"154,750",10.5
9870,FL Tampa,"4,363",7.3
9871,FL St. Petersburg,"1,883",10.6
9872,FL St. Petersburg,"3,604",9.6
9873,FL Pompano Beach,"2,641",9.7
9875,FL Tampa,"5,381",7.6
9877,FL St. Petersburg,"4,651",18.2
9879,FL Tampa,"1,580",9.4
9880,FL Tampa,"2,063",18.5
9881,FL Tallahassee,"4,323",8.7
9883,FL Tampa,"2,245",11.9
9885,FL West Palm Beach,"4,109",15.6
9886,FL Tampa,"2,583",13.3
9887,FL Pembroke Pines,"5,182",8.3
9888,FL Tampa,"4,184",10.9
9891,FL St. Petersburg,"3,568",9.6
9895,FL Tampa,"5,340",6.0
9897,FL St. Petersburg,"2,017",9.3
9898,FL Tallahassee,"1,996",7.9
9899,FL Sunrise,"3,110",9.6
9901,FL Sunrise,"6,651",9.2
9902,FL West Palm Beach,"3,389",9.5
9904,FL St. Petersburg,"2,590",9.8
9905,FL Tampa,703,20.6
9907,FL Tampa,"3,491",9.2
9908,FL Port St. Lucie,"164,603",9.6
9909,FL St. Petersburg,"2,600",11.6
9912,FL Pembroke Pines,"2,323",20.9
9913,FL Tallahassee,"2,692",11.5
9915,FL Plantation,"6,270",12.9
9916,FL Pompano Beach,"2,870",12.4
9917,FL Tallahassee,"6,552",1.5
9918,FL St. Petersburg,"2,724",10.8
9920,FL Tallahassee,426,9.6
9923,FL West Palm Beach,"2,566",11.2
9924,FL Port St. Lucie,"11,824",11.6
9927,FL West Palm Beach,"3,455",14.6
9931,FL Port St. Lucie,"2,516",13.1
9932,FL Tallahassee,"6,007",7.5
9934,FL Port St. Lucie,"6,509",9.8
9935,FL Pompano Beach,"3,515",9.5
9938,FL Tallahassee,"181,376",9.8
9940,FL West Palm Beach,"1,833",19.2
9941,FL Plantation,515,7.8
9942,FL Tampa,"5,160",2.3
9944,FL St. Petersburg,"3,221",7.3
9946,FL Tampa,"5,505",6.0
9947,FL Tallahassee,"3,932",8.1
9948,FL Plantation,"3,159",9.4
9950,FL Pembroke Pines,"6,392",9.2
9951,FL Tampa,"1,835",17.2
9952,FL Tampa,"4,462",14.0
9954,FL Tallahassee,439,7.0
9955,FL Tampa,"5,465",7.2
9956,FL Tampa,"2,879",12.3
9957,FL West Palm Beach,"6,293",9.3
9959,FL Tallahassee,114,8.0
9960,FL Plantation,"84,955",8.2
9961,FL Tallahassee,"2,932",11.6
9962,FL St. Petersburg,"4,715",12.8
9963,FL Tampa,"2,914",15.6
9964,FL Tampa,"6,637",15.0
9965,FL Sunrise,"6,846",7.0
9966,FL St. Petersburg,"3,192",4.8
9967,FL Sunrise,"4,093",17.0
9968,FL St. Petersburg,"4,561",10.1
9972,FL St. Petersburg,"2,588",7.2
9973,FL St. Petersburg,"244,769",10.9
9974,FL Tampa,"5,238",7.7
9978,FL Pembroke Pines,"5,517",7.6
9981,FL Tampa,153,7.0
9982,FL West Palm Beach,"5,679",14.3
9983,FL Port St. Lucie,"5,869",12.1
9984,FL Plantation,"6,166",8.7
9986,FL Pompano Beach,"99,845",11.9
9988,FL Tampa,"3,830",7.4
9989,FL Tallahassee,"3,035",10.5
9990,FL Pembroke Pines,"6,533",9.0
9991,FL St. Petersburg,"3,916",18.8
9993,FL Tampa,"335,709",11.2
9994,FL Sunrise,"6,655",11.3
9995,FL St. Petersburg,"5,165",9.1
9997,FL Tallahassee,"1,072",6.9
9998,FL Pompano Beach,"4,212",10.6
9999,FL Tampa,"2,701",12.2
10001,FL Sunrise,"4,660",14.4
10002,FL Tallahassee,"2,896",9.5
10003,FL Sunrise,"3,314",8.4
10005,FL Tampa,"2,014",12.3
10006,FL West Palm Beach,"2,279",9.7
10007,FL Port St. Lucie,"4,350",12.6
10010,FL Tampa,662,7.6
10011,FL Sunrise,179,11.6
10012,FL St. Petersburg,"2,354",9.0
10013,FL St. Petersburg,"5,253",15.5
10014,FL Pembroke Pines,"6,734",8.0
10016,FL St. Petersburg,"3,708",9.7
10017,FL St. Petersburg,"3,375",21.1
10020,FL West Palm Beach,"3,897",9.9
10022,FL Tampa,"2,485",15.1
10024,FL Pembroke Pines,"2,448",7.0
10025,FL St. Petersburg,"3,248",9.9
10027,FL Pembroke Pines,"3,875",12.9
10028,FL St. Petersburg,"3,737",15.7
10030,FL Pompano Beach,"4,058",10.6
10031,FL Tampa,"4,461",8.2
10032,FL Port St. Lucie,"9,843",10.9
10033,FL Pompano Beach,"1,288",12.6
10034,FL Tallahassee,"7,989",7.3
10035,FL Tallahassee,"2,965",11.3
10036,FL West Palm Beach,"3,920",11.2
10037,FL Tallahassee,"4,515",7.6
10040,FL Sunrise,"6,320",8.2
10041,FL Plantation,"5,379",9.0
10043,FL Tampa,398,16.5
10046,FL Tampa,"3,253",5.8
10048,FL St. Petersburg,"4,711",13.1
10049,FL Tallahassee,"2,334",8.4
10050,FL Tallahassee,"2,593",6.0
10051,FL Plantation,"1,871",9.4
10052,FL West Palm Beach,575,12.8
10054,FL St. Petersburg,"2,693",12.5
10055,FL Pompano Beach,"1,761",7.7
10056,FL Plantation,"4,734",7.7
10058,FL St. Petersburg,"4,260",10.8
10059,FL Tampa,"2,958",9.7
10061,FL Tallahassee,151,6.2
10062,FL St. Petersburg,"3,020",9.8
10063,FL Pembroke Pines,"5,496",10.2
10064,FL Tampa,"4,129",17.7
10066,FL Tampa,"3,165",9.7
10067,FL Tampa,"4,457",11.6
10068,FL St. Petersburg,"4,290",9.7
10071,FL Tampa,"5,863",7.4
10073,FL Tampa,"3,009",17.8
10074,FL Tallahassee,"3,418",3.2
10075,FL St. Petersburg,83,12.3
10076,FL Tampa,"1,922",13.0
