City_Name,,Daig12Month,Diag9Moths,Daig6Month,Daig3Month,EstPopByCountyCity,DaigYrlyRate,CrudeRate100K
CA Rancho Cucamonga,,110179,82634.25,55089.5,27544.75,175142,0.63,5.5
CA Oceanside,,110332,82749,55166,27583,172982,0.64,5.5
CA Santa Rosa,,111877,83907.75,55938.5,27969.25,176938,0.63,5.6
CA Garden Grove,,113918,85438.5,56959,28479.5,170488,0.67,5.7
CA Santa Clarita,,117540,88155,58770,29385,224593,0.52,5.9
CA Huntington Beach,,123828,92871,61914,30957,196652,0.63,6.2
CA Glendale,,126618,94963.5,63309,31654.5,192366,0.66,6.3
CA Moreno Valley,,128910,96682.5,64455,32227.5,211600,0.61,6.4
CA Fontana,,130713,98034.75,65356.5,32678.25,210761,0.62,6.5
CA Oxnard,,131933,98949.75,65966.5,32983.25,201879,0.65,6.6
CA Modesto,,134108,100581,67054,33527,218771,0.61,6.7
CA San Bernardino,,139947,104960.25,69973.5,34986.75,222203,0.63,7
CA Irvine,,141566,106174.5,70783,35391.5,309031,0.46,7.1
CA Fremont,,142726,107044.5,71363,35681.5,227514,0.63,7.1
CA Chula Vista,,162611,121958.25,81305.5,40652.75,227220,0.72,8.1
CA Stockton,,191724,143793,95862,47931,322120,0.6,9.6
CA Riverside,,202562,151921.5,101281,50640.5,317261,0.64,10.1
CA Santa Ana,,216352,162264,108176,54088,309441,0.7,10.8
CA Anaheim,,224165,168123.75,112082.5,56041.25,345940,0.65,11.2
CA Bakersfield,,231627,173720.25,115813.5,57906.75,407615,0.57,11.6
CA Oakland,,257981,193485.75,128990.5,64495.25,433823,0.59,12.9
CA Long Beach,,307205,230403.75,153602.5,76801.25,466742,0.66,15.4
CA Sacramento,,309260,231945,154630,77315,2215000,0.14,15.5
CA Fresno,,328467,246350.25,164233.5,82116.75,542107,0.61,16.4
CA San Francisco,,530655,397991.25,265327.5,132663.75,3313000,0.16,26.5
CA San Jose,,621842,466381.5,310921,155460.5,983489,0.63,31.1
CA San Diego,,859037,644277.75,429518.5,214759.25,1381611,0.62,43
CA Los Angeles,,2397632,1798224,1198816,599408,3849297,0.62,119.9
