,TX_City,TX_PopByMM,TX_DiagPer100k
24097,TX Amarillo,"4,193",6.9
24103,TX Arlington,"2,894",12.2
24104,TX Arlington,"4,574",8.7
24109,TX Abilene,"4,014",13.9
24110,TX Arlington,"7,937",8.1
24112,TX Arlington,"7,476",14.7
24114,TX Allen,"7,029",8.4
24115,TX Abilene,623,1.5
24116,TX Arlington,"3,839",10.5
24119,TX Arlington,"3,934",10.0
24121,TX Amarillo,"190,695",11.6
24123,TX Arlington,"8,270",10.4
24128,TX Arlington,"3,429",14.8
24129,TX Allen,"84,246",7.6
24132,TX Amarillo,"3,241",8.0
24135,TX Arlington,"4,311",13.8
24139,TX Arlington,"3,942",9.1
24142,TX Amarillo,"4,934",12.2
24144,TX Abilene,"3,736",8.6
24149,TX Abilene,"117,063",10.9
24150,TX Arlington,558,7.3
24156,TX Arlington,"3,060",10.5
24158,TX Abilene,"2,368",12.8
24159,TX Arlington,"3,944",12.6
24162,TX Amarillo,"4,468",10.1
24166,TX Abilene,"3,409",15.1
24172,TX Allen,"4,391",6.3
24174,TX Amarillo,"4,538",10.2
24177,TX Amarillo,"2,168",16.0
24179,TX Abilene,"6,165",6.1
24182,TX Amarillo,"1,636",12.8
24183,TX Longview,"3,499",11.8
24184,TX Austin,"2,825",3.5
24185,TX Brownsville,"175,023",18.3
24186,TX Austin,"5,000",8.3
24187,TX Baytown,"7,453",11.6
24188,TX Brownsville,"4,185",15.5
24189,TX Carrollton,183,7.9
24190,TX Baytown,"71,802",12.3
24191,TX Austin,"3,546",11.5
24192,TX Austin,"790,390",9.7
24193,TX Austin,"6,647",7.6
24194,TX Beaumont,"2,206",20.3
24195,TX Austin,"3,743",5.3
24196,TX Corpus Christi,"5,987",21.6
24197,TX Corpus Christi,"3,825",11.9
24198,TX Austin,"1,707",6.0
24199,TX Brownsville,"9,944",11.5
24200,TX Beaumont,"3,195",13.6
24201,TX Corpus Christi,"2,325",11.7
24202,TX Carrollton,"5,892",9.9
24203,TX Austin,"5,627",3.7
24204,TX Beaumont,"6,357",12.0
24205,TX Corpus Christi,"305,215",13.5
24206,TX Austin,"6,353",5.8
24207,TX Austin,"5,512",5.8
24208,TX Austin,"3,143",4.4
24209,TX College Station,296,8.5
24210,TX Austin,"1,964",7.0
24211,TX Austin,"4,455",11.2
24212,TX College Station,"93,857",10.0
24213,TX Carrollton,"119,097",10.4
24214,TX Carrollton,"5,252",8.6
24215,TX Brownsville,"2,117",15.6
24216,TX Austin,"3,943",6.7
24217,TX Austin,524,4.7
24218,TX Corpus Christi,"4,265",10.6
24219,TX Bryan,"2,181",9.9
24220,TX College Station,"3,093",5.8
24221,TX Brownsville,"2,784",25.0
24222,TX Austin,"5,207",5.7
24223,TX Austin,"11,408",6.2
24224,TX Brownsville,"2,553",19.2
24225,TX Austin,"1,914",6.2
24226,TX Corpus Christi,"5,714",11.7
24227,TX Austin,"4,305",7.9
24228,TX Corpus Christi,"4,312",21.8
24229,TX Carrollton,"2,755",12.2
24230,TX Austin,"9,207",2.2
24231,TX Austin,"5,488",6.1
24232,TX Beaumont,"2,574",21.5
24233,TX Austin,"7,067",12.3
24234,TX College Station,"2,547",4.3
24235,TX Austin,"6,573",10.2
24236,TX Carrollton,"3,831",11.3
24237,TX Corpus Christi,"3,886",9.7
24238,TX Austin,"6,451",8.2
24239,TX College Station,"6,280",5.8
24240,TX Corpus Christi,"4,609",13.9
24241,TX Bryan,"5,263",15.4
24243,TX Austin,"2,798",6.5
24244,TX Austin,"2,322",8.8
24245,TX Corpus Christi,"3,439",11.4
24246,TX Austin,"4,599",7.3
24247,TX Austin,"4,446",5.4
24248,TX Austin,"4,159",8.7
24249,TX Corpus Christi,"1,267",1.6
24250,TX Baytown,"3,253",16.6
24251,TX Corpus Christi,"4,695",23.2
24252,TX Austin,"4,987",6.5
24253,TX Carrollton,"1,874",13.3
24255,TX Austin,"1,035",7.0
24256,TX Brownsville,"1,124",23.3
24257,TX Austin,"1,498",15.7
24258,TX Brownsville,"2,068",18.5
24259,TX Bryan,"6,709",7.1
24260,TX Austin,"2,670",7.4
24261,TX College Station,"4,572",7.4
24262,TX Austin,"2,272",9.3
