,TX_City,TX_PopByMM,TX_DiagPer100k
24736,TX El Paso,"6,397",22.0
24738,TX Dallas,"7,336",12.6
24739,TX Dallas,"1,803",8.7
24740,TX Dallas,"3,185",15.3
24741,TX Fort Worth,"1,629",20.5
24742,TX Fort Worth,"2,154",14.0
24743,TX Fort Worth,"5,649",11.3
24744,TX Dallas,"3,819",9.6
24745,TX Dallas,"4,794",9.8
24746,TX Denton,"5,037",6.7
24747,TX El Paso,"6,598",19.5
24748,TX Fort Worth,"3,865",7.6
24749,TX El Paso,"2,854",20.9
24750,TX El Paso,"2,505",15.3
24751,TX Dallas,"3,370",10.2
24752,TX Fort Worth,"2,968",17.1
24753,TX El Paso,"4,263",7.9
24754,TX Dallas,"1,451",11.5
24755,TX Dallas,"4,605",14.6
24756,TX Dallas,"2,919",14.5
24757,TX El Paso,"2,930",9.3
24758,TX Fort Worth,463,11.1
24759,TX Dallas,"2,625",7.9
24760,TX Dallas,"7,169",11.0
24761,TX Frisco,"2,966",8.0
24762,TX Dallas,"9,859",12.8
24763,TX Fort Worth,"3,179",7.1
24764,TX Dallas,"3,972",6.1
24765,TX Dallas,"5,297",17.7
24766,TX Fort Worth,"5,053",10.8
24767,TX Edinburg,"2,616",17.6
24769,TX Fort Worth,"4,751",17.7
24770,TX Dallas,"3,358",5.3
24771,TX Fort Worth,"3,674",15.8
24772,TX Dallas,"3,752",14.2
24773,TX Dallas,"3,998",17.4
24774,TX Dallas,912,10.0
24775,TX El Paso,"3,050",29.4
24776,TX Dallas,"5,013",12.1
24777,TX Dallas,"1,724",23.0
24778,TX Fort Worth,"7,660",11.4
24779,TX El Paso,"5,015",13.3
24780,TX Dallas,"3,368",9.6
24781,TX El Paso,"6,362",13.4
24782,TX Dallas,"3,164",2.8
24784,TX Dallas,"2,798",18.0
24785,TX Fort Worth,"741,206",11.3
24786,TX Fort Worth,"6,162",15.0
24787,TX Denton,"5,638",6.9
24788,TX Dallas,"2,605",9.8
24789,TX Fort Worth,"4,763",9.5
24790,TX Frisco,"2,824",4.3
24791,TX Fort Worth,"5,922",4.2
24792,TX Dallas,"3,033",23.0
24793,TX Dallas,"4,499",13.9
24794,TX Dallas,"5,051",22.4
24795,TX Frisco,"3,190",5.7
24796,TX Fort Worth,"3,115",6.7
24797,TX Fort Worth,"1,110",11.4
24798,TX Edinburg,"10,660",11.2
24799,TX Dallas,"1,854",6.6
24800,TX El Paso,"6,597",9.8
24801,TX El Paso,"5,300",15.2
24802,TX El Paso,"2,774",22.6
24803,TX Dallas,"3,202",4.3
24804,TX Dallas,"3,408",11.1
24805,TX Dallas,"1,197,816",12.0
24807,TX Fort Worth,"4,019",8.8
24808,TX El Paso,"6,253",13.0
24809,TX Dallas,"6,019",11.7
24810,TX El Paso,"3,445",14.3
24811,TX Dallas,"4,624",8.8
24812,TX Fort Worth,"4,348",18.0
24813,TX Fort Worth,"1,947",14.1
24814,TX Dallas,"4,830",11.3
24815,TX Dallas,"3,970",11.6
24816,TX Dallas,"5,504",12.2
24817,TX El Paso,"7,344",11.4
24818,TX Dallas,"3,263",10.0
24819,TX Fort Worth,"5,787",12.5
24821,TX Dallas,"2,713",21.7
24822,TX El Paso,"7,871",17.1
24823,TX El Paso,"3,715",9.5
24824,TX Dallas,"5,741",10.5
24825,TX Dallas,"6,211",14.6
24826,TX Fort Worth,"2,935",14.5
24827,TX El Paso,"649,121",15.0
24828,TX El Paso,"5,613",8.5
24829,TX Fort Worth,"8,308",5.5
24830,TX Dallas,"2,710",11.8
24831,TX El Paso,"4,796",13.1
24832,TX Dallas,"4,186",14.6
24833,TX Fort Worth,"2,286",9.2
24834,TX El Paso,"4,225",20.8
24835,TX Frisco,"2,395",6.6
24836,TX Fort Worth,"5,327",13.3
24837,TX Edinburg,438,19.6
24838,TX Dallas,"2,265",8.5
24839,TX Dallas,"2,424",23.6
24840,TX Denton,228,8.3
24841,TX Denton,"3,642",9.8
24842,TX Dallas,"8,211",11.8
24843,TX Frisco,"4,609",6.1
24844,TX Fort Worth,"5,432",7.2
24845,TX Dallas,112,15.4
24846,TX Denton,107,12.1
24847,TX Frisco,"5,554",7.1
24848,TX Dallas,"6,270",7.3
24849,TX El Paso,"6,496",17.1
24850,TX Dallas,467,20.3
24851,TX Dallas,"3,066",7.1
24852,TX Dallas,"3,261",14.2
24853,TX El Paso,"5,459",13.8
24854,TX Dallas,"5,734",12.1
24855,TX Dallas,"4,634",12.5
24856,TX Dallas,"2,572",15.5
24857,TX Dallas,"4,833",9.9
24858,TX El Paso,"1,552",24.1
24859,TX Fort Worth,"4,771",15.7
24860,TX Dallas,"3,676",22.7
24861,TX Dallas,"4,773",16.8
24862,TX Dallas,"6,008",12.3
24863,TX Dallas,"1,413",17.3
24864,TX Dallas,"3,377",12.6
24865,TX Fort Worth,"5,086",11.4
24866,TX Fort Worth,"4,782",9.8
24867,TX El Paso,"6,744",10.5
24868,TX Frisco,"1,460",5.1
24869,TX Fort Worth,"2,711",14.3
24871,TX Dallas,"9,363",15.0
24872,TX El Paso,"3,250",17.9
24873,TX El Paso,"4,238",10.1
24874,TX Dallas,"4,176",7.5
24876,TX El Paso,"1,459",17.6
24877,TX Edinburg,"77,100",16.6
24878,TX Fort Worth,"2,800",21.6
24879,TX Dallas,"2,363",10.3
24880,TX Dallas,"5,296",9.1
24881,TX Fort Worth,"3,467",20.4
24882,TX El Paso,"6,997",13.5
24883,TX Dallas,"1,839",9.8
24884,TX Frisco,"6,038",6.2
24885,TX Dallas,"4,039",16.3
24886,TX Fort Worth,"4,557",5.9
24887,TX Dallas,"2,145",5.8
24888,TX Fort Worth,"2,797",6.1
24889,TX Fort Worth,"1,002",8.8
24890,TX Dallas,"4,470",22.5
24891,TX Dallas,"4,322",15.0
24892,TX Dallas,"6,069",8.4
24893,TX Frisco,"2,093",13.1
24894,TX Dallas,"6,073",9.9
24895,TX El Paso,"3,431",13.5
24896,TX Dallas,"2,279",5.8
24898,TX Dallas,"4,235",12.7
24899,TX El Paso,"2,779",9.7
24900,TX El Paso,"4,863",19.5
24901,TX Fort Worth,"4,187",12.9
24902,TX El Paso,"7,642",10.8
24903,TX Dallas,"3,133",6.9
24904,TX Fort Worth,"6,648",8.5
24905,TX Dallas,"3,010",17.1
24906,TX El Paso,"7,923",12.2
24907,TX Dallas,"4,428",13.4
24908,TX El Paso,"3,825",10.9
24909,TX Dallas,"4,374",13.4
24910,TX Dallas,"8,148",15.9
24911,TX Fort Worth,"9,675",14.0
24912,TX Denton,"1,752",10.5
24913,TX Dallas,"6,084",20.3
24914,TX Dallas,"2,375",14.2
24915,TX Dallas,"2,477",9.0
24916,TX Dallas,"2,474",4.2
24917,TX Dallas,"7,418",10.9
24918,TX El Paso,"3,429",12.9
24919,TX Dallas,"3,111",16.0
24920,TX Denton,"3,266",7.1
24921,TX El Paso,"4,841",12.7
24922,TX Fort Worth,"2,598",15.3
24923,TX Dallas,"4,061",16.4
24924,TX Fort Worth,"4,842",14.2
24925,TX El Paso,"2,587",11.8
24926,TX Fort Worth,"3,012",19.5
24927,TX Fort Worth,"3,206",16.8
24928,TX Dallas,"1,155",21.2
24929,TX Dallas,321,18.7
24930,TX Dallas,"5,140",9.1
24931,TX El Paso,"3,904",12.7
24932,TX Dallas,"2,758",4.4
24933,TX Frisco,"1,363",6.7
24937,TX Dallas,"6,206",8.6
24938,TX Dallas,"2,049",4.5
24939,TX Fort Worth,"3,581",10.4
24940,TX Dallas,"7,200",11.0
24941,TX Fort Worth,"2,405",12.2
24942,TX Fort Worth,"4,931",12.2
24943,TX El Paso,"6,939",17.6
24944,TX Fort Worth,"3,479",10.1
24945,TX Dallas,"2,247",8.7
24946,TX Fort Worth,"3,143",11.0
24947,TX Fort Worth,"2,282",6.4
24948,TX Dallas,"6,448",16.1
24949,TX El Paso,"2,171",25.2
24950,TX Frisco,"6,031",5.8
24951,TX Dallas,"1,926",6.0
24952,TX Dallas,"6,953",12.1
24953,TX Dallas,"1,956",24.0
24954,TX Dallas,"5,784",11.9
24955,TX El Paso,"3,585",11.7
24956,TX Dallas,75,10.0
24957,TX Fort Worth,"5,368",13.1
24958,TX El Paso,"5,916",17.7
24959,TX Dallas,"3,456",17.0
24960,TX Dallas,"3,625",20.9
24961,TX Dallas,"5,304",11.7
24962,TX Fort Worth,"3,759",9.4
24963,TX Dallas,"2,766",14.7
24964,TX Dallas,"3,178",16.9
24965,TX Dallas,"7,085",13.9
24966,TX Fort Worth,"3,695",12.4
24967,TX Dallas,"4,933",16.8
24968,TX Dallas,"5,028",6.0
24969,TX Dallas,"1,197,816",13.5
24970,TX El Paso,"3,373",14.8
24971,TX Fort Worth,"3,775",15.8
24972,TX Frisco,"2,691",7.0
24973,TX Fort Worth,"1,896",12.0
24974,TX El Paso,"5,657",16.8
24975,TX El Paso,"5,807",15.9
24976,TX Dallas,"3,213",21.0
24977,TX Fort Worth,"4,769",14.8
24978,TX Fort Worth,"5,452",12.5
24979,TX Fort Worth,"6,058",8.0
24980,TX Dallas,"4,846",12.0
24981,TX Fort Worth,"4,512",8.6
24983,TX El Paso,"5,683",14.1
24984,TX Dallas,"7,979",14.8
24985,TX Dallas,"2,204",8.2
24986,TX Dallas,"5,706",13.8
24987,TX Frisco,"2,182",5.6
24988,TX El Paso,"5,788",13.5
24989,TX Fort Worth,"1,676",6.2
24990,TX Frisco,"3,699",7.4
24991,TX El Paso,"3,316",13.1
24992,TX Fort Worth,"8,129",7.5
24993,TX Fort Worth,"4,423",12.7
24994,TX El Paso,"649,121",14.9
24996,TX Dallas,"2,294",9.0
24997,TX Dallas,"2,022",10.7
24998,TX Denton,"4,242",12.2
24999,TX Fort Worth,"4,344",9.0
25000,TX Dallas,"4,388",11.0
25001,TX Fort Worth,"13,102",7.7
25002,TX Dallas,"4,080",5.1
25003,TX Denton,"3,403",8.1
25004,TX Dallas,"2,363",6.2
25005,TX Denton,"2,877",6.3
25006,TX Fort Worth,"4,459",9.2
25007,TX Dallas,"2,909",7.8
25008,TX Fort Worth,"2,105",21.2
25009,TX Dallas,"1,818",3.7
25010,TX Dallas,"2,969",13.4
25011,TX Dallas,"4,400",22.5
25012,TX Fort Worth,"1,316",7.0
25013,TX Dallas,"6,278",18.4
25014,TX Edinburg,"7,483",13.6
25015,TX Fort Worth,"1,718",12.3
25016,TX Fort Worth,"3,335",15.1
25017,TX Dallas,"6,248",14.3
25018,TX Dallas,"4,135",3.9
25020,TX Fort Worth,"5,463",11.3
25021,TX Dallas,"4,922",9.1
25022,TX Dallas,"7,747",12.7
25023,TX Fort Worth,"3,329",14.5
25024,TX El Paso,"5,921",21.5
25025,TX Dallas,"4,339",9.3
25026,TX Edinburg,"3,239",13.2
25027,TX Fort Worth,"3,468",9.2
25028,TX El Paso,"6,921",20.4
25029,TX Dallas,"7,581",11.9
25030,TX Frisco,"3,796",8.1
25031,TX Fort Worth,507,6.1
25032,TX Fort Worth,"3,651",20.4
25033,TX Dallas,"3,723",14.1
25034,TX El Paso,"4,712",20.1
25035,TX Fort Worth,"6,603",8.6
25036,TX Fort Worth,"4,131",20.1
25037,TX Fort Worth,229,7.9
25038,TX Fort Worth,"4,849",12.9
25039,TX Dallas,"1,709",10.7
25040,TX Dallas,"6,221",13.1
25041,TX Dallas,"2,402",13.4
25042,TX Fort Worth,"3,463",21.2
25043,TX Dallas,"5,859",10.8
25044,TX Denton,"8,716",9.3
25045,TX El Paso,"6,366",14.2
25046,TX Fort Worth,"2,840",12.7
25047,TX El Paso,"6,638",10.7
25048,TX Dallas,"6,485",16.1
25049,TX Frisco,"5,389",8.5
25050,TX El Paso,"4,248",16.9
25051,TX Dallas,"3,094",5.2
25052,TX Fort Worth,"5,754",6.9
25053,TX Dallas,"4,967",5.5
25054,TX Dallas,"3,727",14.3
25055,TX El Paso,"3,925",19.5
25056,TX Dallas,"6,610",13.4
25057,TX Dallas,"7,818",11.4
25058,TX Fort Worth,"8,326",5.9
25059,TX Dallas,"2,605",8.3
25060,TX Dallas,"1,477",9.1
25061,TX El Paso,"8,507",15.6
25062,TX Dallas,"3,878",15.1
25063,TX El Paso,"5,740",7.7
25064,TX Fort Worth,"2,799",18.9
25065,TX Denton,"2,843",5.1
25066,TX Dallas,"3,060",8.7
25067,TX Dallas,"2,568",21.2
25068,TX Fort Worth,"2,889",11.3
25069,TX Fort Worth,"3,698",9.6
25070,TX Edinburg,"2,539",12.1
25071,TX Dallas,"3,077",20.8
25072,TX El Paso,"6,417",18.2
25073,TX Dallas,"4,975",11.9
25074,TX Fort Worth,"4,328",13.9
25075,TX El Paso,"7,040",11.9
25076,TX Frisco,"1,690",6.1
25077,TX Dallas,"3,339",7.5
25078,TX Dallas,"1,082",22.7
25079,TX Dallas,"3,975",11.5
25080,TX El Paso,"5,203",14.1
25081,TX El Paso,"3,845",21.4
25082,TX Dallas,"2,570",15.0
25083,TX Frisco,"6,130",7.6
25084,TX Fort Worth,"7,514",16.6
25085,TX El Paso,"4,923",19.6
25086,TX El Paso,"5,271",20.0
25087,TX Dallas,"3,107",9.2
25088,TX Fort Worth,"3,824",13.3
25089,TX Dallas,"4,872",9.1
25090,TX Fort Worth,"4,399",22.1
25092,TX Dallas,"1,665",8.1
25093,TX Fort Worth,"7,343",7.3
25094,TX Dallas,"3,035",8.2
25096,TX Fort Worth,"7,326",7.3
25097,TX Frisco,"116,989",8.0
25098,TX Frisco,"8,025",5.9
25099,TX El Paso,"5,709",11.8
25101,TX Dallas,"5,005",10.8
25102,TX El Paso,"2,001",6.5
25103,TX Dallas,"5,326",6.7
25104,TX Fort Worth,"2,071",10.4
25105,TX Dallas,"4,974",13.7
25106,TX Dallas,"3,190",10.3
25107,TX El Paso,"6,084",18.7
25108,TX Edinburg,"77,100",13.4
25109,TX Dallas,"1,987",7.8
25110,TX Fort Worth,"3,344",10.9
25111,TX Fort Worth,"5,851",15.0
25112,TX Dallas,350,9.0
25113,TX Dallas,"2,544",8.4
25114,TX Dallas,"1,146",18.1
25115,TX El Paso,"7,464",15.7
25116,TX Dallas,"5,738",11.7
25117,TX Dallas,"1,382",19.7
25118,TX El Paso,"4,316",17.4
25119,TX Fort Worth,"2,801",18.0
25120,TX Denton,"4,022",7.5
25121,TX El Paso,"4,846",12.4
25122,TX Dallas,"2,382",8.5
25123,TX Dallas,"6,484",19.3
25124,TX Dallas,"4,072",8.3
25125,TX Fort Worth,"5,901",17.1
25126,TX Dallas,"5,429",10.9
25127,TX Frisco,"4,353",6.0
25128,TX Dallas,"3,048",23.2
25129,TX El Paso,"8,836",9.7
25130,TX El Paso,"4,727",18.4
25131,TX Dallas,"4,800",6.3
25132,TX Dallas,"4,140",17.5
25133,TX Dallas,"3,575",2.4
25134,TX Fort Worth,"6,634",12.4
25135,TX El Paso,968,20.0
25136,TX Fort Worth,"6,137",6.4
25137,TX Fort Worth,"5,065",14.0
25138,TX Dallas,"5,537",6.7
25139,TX Denton,"3,368",3.6
25140,TX Fort Worth,"1,366",7.9
25141,TX Denton,"6,474",8.6
25142,TX Dallas,"1,459",6.3
25143,TX Frisco,"1,800",5.6
25144,TX Frisco,"116,989",6.8
25145,TX Dallas,"4,738",12.4
25146,TX Fort Worth,"12,407",6.0
25147,TX Dallas,"5,684",14.8
25148,TX Dallas,"6,059",14.4
25149,TX Dallas,"6,128",15.5
25150,TX Fort Worth,"4,574",8.5
25151,TX Dallas,"6,638",17.5
25152,TX El Paso,"5,958",17.3
25153,TX Dallas,"4,048",3.2
25154,TX Edinburg,"8,169",10.5
25156,TX Dallas,"5,328",14.0
25157,TX Fort Worth,"4,502",13.0
25158,TX Frisco,"5,214",5.6
25159,TX El Paso,"4,188",22.2
25160,TX Dallas,"2,469",7.9
25161,TX Fort Worth,"3,557",13.3
25162,TX Denton,"113,383",7.9
25163,TX Fort Worth,"1,171",8.4
25164,TX Fort Worth,"2,723",19.5
25165,TX Fort Worth,"4,539",7.4
25166,TX Dallas,"3,409",5.4
25167,TX Edinburg,"5,035",21.4
25168,TX El Paso,"4,418",15.2
25169,TX Dallas,"4,138",8.4
25170,TX Dallas,"6,144",12.7
25171,TX El Paso,"2,997",28.7
25172,TX Dallas,"5,080",19.0
25173,TX Fort Worth,"2,620",21.3
25174,TX Fort Worth,"5,025",7.8
25175,TX Dallas,"3,616",7.3
25176,TX Fort Worth,"4,322",13.8
25177,TX Dallas,"2,984",9.6
25178,TX Dallas,"4,549",20.4
25179,TX Dallas,"3,696",9.0
25180,TX Dallas,"3,825",7.7
25181,TX Fort Worth,"4,916",14.6
25183,TX Denton,"5,724",4.2
25184,TX El Paso,"5,584",18.8
25185,TX Denton,"4,695",10.1
25186,TX Frisco,"5,961",9.4
25187,TX Denton,"2,052",15.8
25188,TX Dallas,"3,643",10.6
25189,TX Dallas,"6,525",6.8
25190,TX Dallas,"1,860",7.5
25191,TX El Paso,"3,571",15.9
25192,TX Fort Worth,"3,559",21.4
25193,TX El Paso,"7,079",17.9
25194,TX Dallas,"5,731",13.4
25195,TX Dallas,"4,694",11.4
25196,TX Fort Worth,"3,905",9.8
25197,TX El Paso,"5,269",15.2
25199,TX El Paso,"5,023",8.9
25200,TX Dallas,"1,602",7.1
25201,TX Frisco,"1,893",6.7
25202,TX Dallas,"4,713",12.6
25203,TX Dallas,"4,824",9.4
25204,TX Dallas,"3,458",10.0
25206,TX Fort Worth,"3,681",11.7
25207,TX Dallas,"2,880",9.0
25208,TX El Paso,698,28.1
25209,TX Dallas,"4,820",20.0
25210,TX Fort Worth,"4,557",11.2
25211,TX El Paso,"4,722",12.2
25212,TX Dallas,"6,153",15.4
25213,TX Dallas,"5,940",15.9
25214,TX Fort Worth,"4,690",17.8
25215,TX El Paso,"11,245",8.5
25216,TX Dallas,"5,068",11.3
25217,TX Fort Worth,"2,535",5.7
25218,TX Dallas,"3,630",10.1
25219,TX Fort Worth,"2,626",8.3
25220,TX Dallas,"3,247",17.3
25222,TX Dallas,"3,756",9.8
25223,TX Dallas,"4,263",15.8
25224,TX El Paso,"4,684",12.7
25225,TX Frisco,"2,704",7.7
25226,TX El Paso,"4,277",8.4
25227,TX Fort Worth,"3,856",8.4
25228,TX El Paso,"4,787",18.1
25229,TX Dallas,"5,221",11.1
25230,TX Fort Worth,"3,284",8.5
25231,TX El Paso,"5,283",15.5
25232,TX Dallas,"4,442",20.1
25234,TX Dallas,"4,743",8.3
25235,TX Fort Worth,"11,198",6.2
25236,TX Fort Worth,"8,234",10.4
25237,TX Dallas,"1,786",7.6
25238,TX Dallas,"1,901",9.8
25240,TX Fort Worth,"3,001",20.7
25241,TX Fort Worth,"5,159",8.4
25242,TX El Paso,"3,489",15.9
25243,TX Denton,"3,969",8.0
25244,TX Dallas,"4,807",11.7
25245,TX Dallas,"3,205",12.6
25246,TX Dallas,"6,265",7.6
25247,TX Dallas,"1,660",9.4
25248,TX El Paso,"3,372",19.6
25249,TX Dallas,"5,308",19.7
25250,TX Dallas,"5,331",10.7
25251,TX Dallas,"5,228",15.1
25252,TX Dallas,"4,847",16.9
25254,TX Fort Worth,"10,244",8.5
25255,TX El Paso,"3,337",20.5
25256,TX Fort Worth,"5,882",13.0
25257,TX Dallas,"2,048",8.2
25258,TX Dallas,"1,394",3.4
25259,TX Fort Worth,"3,671",16.2
25260,TX Fort Worth,"4,185",9.2
25261,TX Denton,"4,906",7.1
25262,TX Dallas,"3,281",13.4
25263,TX Fort Worth,"3,687",17.3
25264,TX Frisco,"4,733",6.1
25265,TX El Paso,"5,956",14.3
25266,TX Fort Worth,126,17.1
25267,TX El Paso,"4,417",20.2
25268,TX El Paso,"3,799",22.8
25269,TX Fort Worth,"4,943",9.8
25270,TX Edinburg,"3,192",16.9
25271,TX Dallas,"1,938",8.1
25272,TX Dallas,"4,029",7.4
25273,TX Dallas,"1,237",19.7
25274,TX Dallas,"5,987",9.4
25275,TX Dallas,"3,670",12.3
25276,TX Fort Worth,"6,893",8.8
25277,TX Fort Worth,"5,523",13.8
25278,TX Fort Worth,"4,504",16.8
25279,TX Dallas,"3,801",8.1
25280,TX El Paso,"4,803",8.2
25281,TX Frisco,"1,775",6.0
25282,TX Dallas,"2,088",10.8
25283,TX Dallas,"1,860",22.3
25284,TX Dallas,"3,505",21.0
25285,TX Dallas,"6,608",12.9
25286,TX Edinburg,"4,594",17.5
25287,TX Dallas,"4,324",8.9
25288,TX El Paso,"3,622",23.5
25289,TX Dallas,"2,463",12.5
25290,TX Dallas,"11,780",9.2
25291,TX Fort Worth,"7,483",13.8
25292,TX Edinburg,"7,882",18.6
25293,TX Denton,"4,644",4.9
25294,TX Fort Worth,870,14.6
25295,TX Dallas,"5,230",10.0
25296,TX Dallas,"7,486",14.4
25297,TX Dallas,"3,917",16.6
25298,TX Fort Worth,"2,009",18.2
25299,TX El Paso,"4,738",22.4
25300,TX Fort Worth,"5,089",9.1
25301,TX El Paso,"8,377",12.1
25302,TX Dallas,376,9.2
25303,TX Dallas,"2,619",5.2
25304,TX El Paso,"5,902",6.8
25305,TX Frisco,"4,214",6.0
25306,TX El Paso,"2,939",20.5
25307,TX Fort Worth,"1,153",7.9
25308,TX Frisco,"4,008",5.3
25309,TX El Paso,"4,445",13.9
25310,TX El Paso,"6,146",4.2
25311,TX Dallas,"3,550",14.5
25312,TX El Paso,"6,081",13.0
25313,TX Fort Worth,"741,206",12.8
25314,TX Denton,"113,383",10.4
25315,TX Dallas,"4,446",10.7
25316,TX El Paso,"3,957",15.3
25317,TX Dallas,"4,504",7.1
25318,TX Denton,"6,750",7.5
25319,TX Fort Worth,"5,053",14.1
25320,TX Dallas,"2,827",8.7
25321,TX Dallas,"3,407",22.0
25322,TX Fort Worth,147,11.0
25323,TX Fort Worth,"5,491",10.3
25324,TX Dallas,"1,733",8.9
25325,TX Dallas,"3,953",10.2
25326,TX Dallas,"3,062",12.7
25327,TX Denton,"6,646",7.8
25328,TX Dallas,"2,828",10.0
25329,TX Dallas,"3,046",15.8
25330,TX El Paso,"2,232",13.1
25331,TX Dallas,"3,697",11.9
25332,TX Dallas,"2,878",14.8
25333,TX Dallas,"7,184",15.0
25334,TX Dallas,"4,060",13.8
25335,TX Fort Worth,"7,491",15.7
25336,TX El Paso,"3,223",20.4
25337,TX Dallas,"5,919",12.9
25338,TX Fort Worth,"5,973",7.1
25339,TX Fort Worth,"8,403",12.5
25340,TX Dallas,"5,518",8.8
25341,TX Fort Worth,"6,211",13.1
25342,TX El Paso,"5,626",20.6
25343,TX El Paso,"4,988",12.2
25344,TX El Paso,"9,390",9.2
25345,TX Fort Worth,"2,025",15.2
25346,TX Dallas,"2,535",10.2
25347,TX El Paso,"3,867",17.6
25348,TX Dallas,"2,237",11.7
25349,TX El Paso,"3,950",20.5
25350,TX Dallas,813,9.5
25351,TX Dallas,565,8.3
25352,TX Fort Worth,"9,152",13.0
25353,TX El Paso,"6,440",9.1
25354,TX Dallas,"3,729",9.2
25355,TX El Paso,"11,009",8.6
25356,TX Frisco,211,9.4
25357,TX Dallas,"3,136",2.9
25358,TX Fort Worth,"1,900",13.6
25359,TX Denton,"6,576",9.0
25361,TX Dallas,"2,284",5.0
25362,TX Dallas,"3,543",14.9
25363,TX Dallas,"2,875",5.9
25364,TX El Paso,"4,411",14.4
25365,TX El Paso,"1,369",30.3
25366,TX Garland,"4,031",9.2
25367,TX Houston,"7,116",12.8
25368,TX Grand Prairie,"6,809",9.1
25369,TX Houston,577,5.2
25371,TX Houston,"8,823",7.9
25372,TX Houston,"2,753",18.1
25373,TX Houston,"3,607",9.4
25374,TX Houston,"3,610",22.4
25376,TX Houston,"2,622",6.7
25377,TX Houston,"5,777",14.1
25378,TX Houston,"2,323",15.8
25379,TX Houston,"2,774",3.8
25380,TX Houston,"4,084",18.9
25381,TX Houston,"4,037",15.9
25382,TX Garland,"6,611",11.9
25383,TX Houston,"3,093",4.3
25384,TX Houston,"6,635",12.9
25385,TX Houston,"3,473",20.7
25386,TX Houston,"2,886",8.0
25387,TX Grand Prairie,"7,115",12.0
25388,TX Houston,"2,448",17.1
25389,TX Houston,"5,109",8.1
25390,TX Houston,"4,705",9.8
25391,TX Houston,"3,725",11.4
25393,TX Grand Prairie,"5,390",11.0
25394,TX Grand Prairie,"3,797",9.0
25395,TX Houston,"5,058",14.3
25396,TX Houston,"4,254",18.5
25397,TX Houston,"4,577",8.9
25398,TX Houston,"3,989",10.9
25399,TX Houston,"4,362",13.3
25401,TX Garland,"4,813",11.3
25402,TX Houston,"4,424",6.5
25403,TX Houston,"5,548",9.8
25404,TX Houston,"4,537",15.9
25405,TX Houston,"5,217",12.6
25406,TX Houston,"5,439",13.3
25407,TX Houston,"3,886",21.6
25408,TX Houston,"2,352",19.4
25410,TX Houston,"2,572",20.3
25411,TX Houston,"3,450",7.8
25412,TX Houston,"3,729",8.1
25413,TX Houston,"3,701",12.8
25414,TX Houston,"5,431",14.8
25416,TX Houston,"3,941",13.0
25417,TX Houston,"2,339",7.0
25418,TX Houston,"4,947",14.0
25419,TX Grand Prairie,"3,550",14.2
25421,TX Houston,"3,266",13.8
25422,TX Houston,"3,000",13.2
25423,TX Houston,"4,985",18.7
25424,TX Houston,"9,385",7.1
25425,TX Houston,602,9.0
25426,TX Houston,"5,196",14.1
25427,TX Grand Prairie,"2,092",12.1
25428,TX Houston,"5,734",8.1
25429,TX Houston,"6,449",13.1
25430,TX Houston,"3,133",16.4
25431,TX Houston,"6,774",15.9
25432,TX Houston,"4,592",7.8
25434,TX Houston,"6,233",11.4
25435,TX Houston,"5,928",10.9
25438,TX Grand Prairie,"8,935",9.1
25439,TX Houston,"6,472",7.8
25440,TX Houston,"3,920",11.1
25441,TX Houston,"7,508",14.7
25442,TX Houston,"4,734",7.2
25443,TX Houston,"2,690",9.5
25444,TX Houston,"5,123",14.6
25445,TX Houston,"6,174",12.5
25446,TX Houston,"4,831",19.8
25448,TX Houston,"2,676",7.2
25449,TX Houston,"6,100",10.6
25450,TX Houston,329,4.3
25451,TX Houston,"4,695",13.4
25452,TX Houston,"4,908",15.6
25453,TX Houston,"5,562",13.1
25454,TX Houston,"5,233",5.3
25455,TX Houston,"3,629",8.3
25456,TX Houston,"4,235",8.3
25457,TX Houston,"3,364",21.0
25458,TX Houston,"4,763",18.8
25459,TX Houston,"5,432",4.9
25460,TX Houston,"3,460",6.8
25461,TX Houston,"8,214",12.5
25462,TX Houston,"2,264",7.4
25463,TX Houston,"2,811",16.8
25464,TX Houston,"3,690",16.3
25465,TX Houston,"1,712",9.1
25466,TX Houston,391,13.2
25467,TX Houston,"4,831",18.9
25468,TX Garland,"4,967",10.9
25469,TX Grand Prairie,"3,852",14.5
25470,TX Houston,"7,108",14.1
25471,TX Houston,"8,569",8.3
25472,TX Houston,"6,467",11.4
25473,TX Houston,"3,020",10.1
25474,TX Houston,"5,239",9.6
25475,TX Houston,"5,529",12.0
25476,TX Garland,"6,610",11.8
25477,TX Houston,"8,311",9.1
25478,TX Garland,"4,731",13.0
25479,TX Houston,"2,103",11.5
25480,TX Houston,480,7.9
25481,TX Houston,"1,613",11.8
25482,TX Houston,"2,191",13.8
25483,TX Grand Prairie,"1,474",6.2
25484,TX Houston,"2,541",12.3
25485,TX Houston,149,9.9
25486,TX Houston,"3,062",9.4
25487,TX Houston,"2,759",5.5
25489,TX Houston,957,11.6
25490,TX Houston,"1,936",6.5
25491,TX Houston,"5,328",17.9
25492,TX Houston,214,7.5
25493,TX Houston,"2,943",11.9
25494,TX Grand Prairie,"5,745",8.4
25495,TX Houston,239,15.4
25496,TX Houston,"8,313",13.1
25497,TX Houston,"7,145",17.6
25498,TX Houston,"3,352",9.3
25499,TX Houston,"2,556",6.5
25500,TX Houston,"4,998",13.8
25501,TX Houston,"4,363",14.7
25502,TX Garland,"6,523",12.9
